,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,2.0316858247134843E-5,5.139193220841226E-5,1.1139694601856651E-5,0.002948186416507662,5.2152441998157175E-5,8.187321840644982E-6,7.378059686940693E-5,1.9322407932250935E-5,6.123450027322357E-5,2.340162251323402E-5,8.583756540190594E-5,0.002965276195779414,6.868553200431923E-5,1.9007481948516986E-5,3.5044730351083165E-5,0.059605061735928326,4.010668770750756E-5,3.828845791983661E-5,1.672130771667571E-4,1.4113649945711747E-4,2.9868906325815705E-4,0.2205822805695504,1.157106160544213E-4,0.002974652555702927,9.813248536188983E-5,1.3191062806339635E-4,1.1423039575819203E-4,1.0838979833519853E-5,1.2388347306067895E-5,3.647269045335191E-5,1.4920123554521963E-5,1.4586136848276323E-5,0.017635859495117992,1.0967963945703354E-4,1.3813341305825424E-5,6.749050849864454E-5,7.996016360764921E-5,2.647332955222908E-5,5.740971100774037E-5,7.11760379580023E-5,1.1831420105557308E-5,6.333875401214888E-5,0.006012137238078276,8.731064552964782E-5,8.441638180780601E-4,4.828982356185366E-5,3.9211536651155935E-5,3.829652309252437E-5,2.2995556412138548E-5,5.1121519772739085E-5,0.002952495573565384,7.828405799912559E-5,1.1007800067090732E-5,4.609182458531386E-5,3.0745873536207966E-5,2.84357024806615E-5,3.29472015364627E-5,2.35039850029173E-5,1.0749219178560037E-4,5.370816026374331E-5,0.0030379700516855465,0.006088418781459616,6.430285605768578E-5,2.811823137222926E-5,3.232898161997961E-5,1.0541282650223979E-4,0.5109584624296006,5.781856580360594E-5,5.699561809287056E-5,1.4098349376668874E-4,1.9628465003090774E-5,1.4108918547145675E-4,1.1581529391145363E-5,2.2529198647186713E-5,3.5101840022982815E-5,7.034189083966325E-5,1.2371344281945005E-5,2.5156604047119535E-5,9.244382197684548E-5,7.641354719204036E-6,1.1808262137682022E-5,1.461295345623598E-4,1.0970495945792683E-5,8.627619664354672E-6,2.1952857046792984E-4,6.828768504311515E-5,4.079108914672574E-5,4.492474463185111E-5,1.7661769938138205E-4,9.048654445924241E-5,2.9326388881957537E-5,2.7449832681645885E-5,5.5136059261630165E-5,0.1343812246061194,3.5836875877045664E-4,5.981826973496334E-5,8.19329538392356E-6,2.1892172317311754E-4,1.2037407769345506E-4,0.023429461891473623
1,6.986522859041923E-5,1.7672560628070522E-4,3.8306971497225936E-5,1.0203148916639089E-4,1.793408329884701E-4,2.815440778205264E-5,2.537153236547102E-4,6.644553162122979E-5,2.1057204353001652E-4,8.047305771325957E-5,0.08058426702239006,1.6079949949835987E-4,2.3619451078333203E-4,6.536257009366497E-5,1.2051115714277878E-4,0.08453512541471912,1.3791812053838242E-4,0.1908182553808048,5.750091730452659E-4,4.8533752990148756E-4,0.12146076194640294,0.22661895812936325,3.979034820563575E-4,1.9304274899264168E-4,3.374561380779071E-4,0.010489748080392736,3.928133284458789E-4,3.727287922888379E-5,4.2600814843899195E-5,1.2542159938485494E-4,5.130703921119192E-5,5.015853203088989E-5,4.290428777357295E-4,0.03048557318219925,4.750105730865506E-5,2.320850865121527E-4,2.749655010938294E-4,9.103598589003386E-5,1.9741943040978423E-4,2.447588156400835E-4,4.068566410067926E-5,2.1780811156248383E-4,0.03071056033762701,0.04044478741104289,0.002902894601142477,1.6605813362977523E-4,1.3483989198482244E-4,1.3169336063339449E-4,7.907668527069177E-5,1.7579571710186714E-4,1.1684973710648443E-4,2.692017407694347E-4,3.785341506103101E-5,1.5849969624395958E-4,1.0572832948333531E-4,9.778415686986121E-5,1.1329821465305519E-4,8.082505991034215E-5,3.696421198314576E-4,1.8469060759069208E-4,4.107777588444951E-4,8.644669603222938E-4,2.211234474759696E-4,9.669244321553181E-5,1.1117229167525758E-4,3.62491637750132E-4,0.050931143035438185,1.9882539256328136E-4,1.9599545551154268E-4,4.848113768217443E-4,0.0703204521149904,4.8517482746081E-4,3.982634462949696E-5,7.747298299266502E-5,1.2070754480436791E-4,2.4189036627690424E-4,4.254234516553533E-5,8.650805508073726E-5,3.178940698222939E-4,2.62769463518286E-5,4.060602891793516E-5,5.025074847608684E-4,3.77251343529535E-5,2.9668495626105977E-5,7.549107037763977E-4,2.3482640216385852E-4,1.4027162728716007E-4,1.5448636373259703E-4,6.073496103726744E-4,3.111634208450333E-4,1.008470324519016E-4,9.439396641665322E-5,1.8960083970817333E-4,4.4534834064116554E-4,0.0012323517222301652,0.04035024714817227,2.8174949489908062E-5,7.528238887553047E-4,4.1394010590196077E-4,2.797008186248233E-4
2,1.5211450034488024E-5,3.8477691750116116E-5,8.340409022615246E-6,2.221486898007225E-5,3.9047093599886624E-5,6.129935818831973E-6,5.524032550416397E-5,1.4466894400313104E-5,4.5846928199360845E-5,1.752104618026805E-5,6.426750737296337E-5,3.5010170317046774E-5,5.14255957031778E-5,0.1879348928311671,2.623836610086033E-5,0.0752186856910508,3.0028307954434934E-5,2.8666979779087015E-5,1.251942272518349E-4,1.0567041337886239E-4,0.04829635912857362,0.06900686835092504,0.008827129675520868,4.203035172240838E-5,7.347284603184283E-5,9.876290435246103E-5,8.552552448607918E-5,8.115260644970147E-6,9.275288716586446E-6,2.7307495170064062E-5,1.1170856792782169E-5,1.09207973577829E-5,9.341362547584905E-5,8.211832435443649E-5,1.0342197032975068E-5,5.0530868766291646E-5,5.986703350842998E-5,1.9820866239840888E-5,4.2983267386422484E-5,5.329026426630997E-5,8.858311338471955E-6,4.74224055797802E-5,1.3110379169262382E-4,6.537041828996516E-5,0.02248327425497459,3.615510968035471E-5,2.9358098741899225E-5,2.8673018260522832E-5,1.7217020127992756E-5,3.82752310544755E-5,2.5441181162643405E-5,5.861211523285566E-5,8.241658167487497E-6,3.45094442334244E-5,2.3019765820764653E-5,2.1290115933212708E-5,2.4667923743514175E-5,1.759768607597843E-5,0.008820976452979924,4.021187657847738E-5,8.94368411871035E-5,1.8821660271804466E-4,4.814423913866228E-5,2.1052421903724093E-5,2.4205055850480856E-5,7.892371565663232E-5,1.6339469806564506E-4,4.328938136443122E-5,4.2673231572441943E-5,1.0555585637469188E-4,1.4696042617234807E-5,1.0563498888950208E-4,8.671215476005332E-6,1.686785305927234E-5,2.628112472574319E-5,5.266572935753213E-5,9.262558369761439E-6,1.8835019708528177E-5,6.921368264191138E-5,5.72116436966151E-6,8.840972719136709E-6,1.0940875240254236E-4,8.213728171111913E-6,6.45959152958136E-6,1.6436339911395627E-4,5.112772340923776E-5,3.0540726664530885E-5,3.363563893427807E-5,0.0023173595424874076,6.77482479373677E-5,2.1956982410544324E-5,2.055198462344922E-5,4.128095989817394E-5,0.011022583610201225,0.02648980222225281,0.4960679285768567,6.1344082748586706E-6,0.03949614056991114,9.012536515284268E-5,6.0898033441779164E-5
3,3.96343059981327E-5,1.0025583395851827E-4,2.1731414336072236E-5,5.78821159631968E-5,1.0173944315412686E-4,1.597189955209144E-5,1.439318381551111E-4,3.769432356577968E-5,1.1945680242238958E-4,4.5652091295813854E-5,1.6745267855346912E-4,9.1221007875419E-5,1.339923407442996E-4,3.707996318317305E-5,6.83655686061971E-5,0.13335847710314516,7.824047959753192E-5,7.469346091467859E-5,3.262007435746737E-4,0.011662262145923663,5.82685255144648E-4,0.026077775990020043,2.2572928885695851E-4,1.095124933913735E-4,0.028658767266192584,2.573324149568165E-4,2.228416620668434E-4,2.1144777317619884E-5,2.41672970282736E-5,7.115124574968094E-5,0.02280296994803131,2.8454764223043693E-5,2.4339456186692055E-4,2.1396400659624514E-4,2.6947187872856217E-5,1.316610783649132E-4,1.5598699137122987E-4,5.1644404439865904E-5,1.1199536983854447E-4,1.388508416925142E-4,2.3080838540685696E-5,1.2356179914834955E-4,3.4159845285491164E-4,1.703263762400159E-4,0.0016468022108180142,9.420421309068573E-5,7.649421103324762E-5,7.470919452458747E-5,4.485993396959161E-5,9.972831099749734E-5,6.628845750194625E-5,1.5271722978873816E-4,2.147411331606187E-5,0.03994417770663013,5.997932087190731E-5,5.547261883117863E-5,6.427369092179716E-5,4.5851780942189664E-5,2.096967144140638E-4,1.0477435204777042E-4,2.3303282218849726E-4,0.006183875069391299,1.2544257790958463E-4,5.4853293396895786E-5,6.306766206408801E-5,2.05640270306411E-4,4.257342624748821E-4,1.1279296737508414E-4,1.1118755373331948E-4,2.7503184127510396E-4,3.829138239500437E-5,0.005968703935483666,2.259334953423502E-5,4.3950159134532514E-5,6.847697865710116E-5,1.3722358014776366E-4,2.4134127379069826E-5,4.907572472815815E-5,1.803402220608544E-4,1.4906822083277496E-5,2.3035661773003444E-5,2.8507078298024006E-4,2.1401340107697983E-5,1.6830836424266684E-5,0.07444331509734774,1.3321621738856306E-4,0.011466507435752806,0.5694342305774858,3.4454736341703286E-4,1.7652194784186263E-4,5.721017770706049E-5,5.354937534474968E-5,1.075599099882879E-4,2.5264459538536634E-4,0.01208604075054649,0.045664421286616304,1.598355279292801E-5,4.2707442559951293E-4,2.3482681089327447E-4,1.5867332086314353E-4
4,1.445346720966985E-5,3.6560357806336205E-5,7.924808486389728E-6,2.110790750668846E-5,3.7101386501570673E-5,5.824482620262613E-6,5.2487713631226846E-5,1.3746012600153766E-5,4.356238701051966E-5,1.6647976745902568E-5,6.106507324129703E-5,3.3265622115914435E-5,4.886307088071343E-5,1.3521973414370029E-5,2.4930914752655385E-5,0.02371704204758211,2.8532004733097842E-5,2.7238511206880367E-5,1.1895582961005031E-4,0.22018182175541745,2.1248819719936712E-4,0.15899906320584922,8.231684124631458E-5,0.027031053153251557,6.98117121322881E-5,0.014627520045782428,8.126380857490463E-5,7.71087919718812E-6,8.81310335447682E-6,2.5946769382529995E-5,1.0614215738297891E-5,1.0376616703620974E-5,8.875884742680331E-5,7.802638839025239E-5,9.826847891104489E-6,4.801292796767275E-5,5.688387391027722E-5,1.8833197335906348E-5,4.0841421713616316E-5,5.0634823466629226E-5,8.416903856855767E-6,4.5059358739437025E-5,1.245709219039947E-4,6.211302637777845E-5,0.015134218867107889,3.435350943152949E-5,2.7895191881263133E-5,2.7244248792267094E-5,0.002092598882056339,0.1723642698766616,2.417345334441109E-5,5.56914879046232E-5,7.830978362155696E-6,3.278984709024273E-5,2.1872696535199117E-5,2.0229234677370875E-5,2.343872715284625E-5,1.6720797694404586E-5,7.647023227559395E-5,3.820812862998537E-5,0.0436860156435247,0.025093715197391175,4.5745223509099836E-5,2.000338488308046E-5,2.2998923853410754E-5,0.09765826071175743,1.5525278033135204E-4,4.1132282107171145E-5,4.054683490821438E-5,1.0029603393767308E-4,1.3963742417621732E-5,1.0037122329867647E-4,8.239130935333151E-6,1.602733207793938E-5,2.49715427257463E-5,5.0041408979197125E-5,8.80100735771216E-6,1.7896475295483556E-5,6.576478180957529E-5,5.436080152158699E-6,8.400429216669938E-6,0.1703556190502663,7.804440110650057E-6,6.137711667788919E-6,1.561732112439866E-4,4.858004149013131E-5,2.90188897445334E-5,3.195958329486405E-5,1.2564630296695253E-4,6.437236935698117E-5,2.086287136167695E-5,1.952788426975628E-5,3.922393979003953E-5,9.213206294755702E-5,0.002331184273770213,4.255487682380249E-5,5.8287322149023094E-6,0.022994379098467913,8.563444030929141E-5,5.786349936978627E-5
5,7.686682929214857E-6,1.9443630663785274E-5,4.2145935799317735E-6,1.1225665783124885E-5,1.9731362041699345E-5,3.097592465476242E-6,0.001132105747559376,7.310442461009176E-6,2.3167469212203048E-5,8.853773063744907E-6,3.2475796239472336E-5,1.7691415211226164E-5,2.5986493576884447E-5,7.191293321231359E-6,1.3258828076265058E-5,0.07996894970814551,1.5173969715131792E-5,0.005535443992629807,0.598535103271288,5.3397602516578036E-5,1.1300606106327649E-4,0.09780962083714678,0.007773119075420798,0.0055421968007290075,0.022120959186824805,4.990708507108429E-5,0.003355792702894314,4.100821113331863E-6,4.6870090148985496E-6,1.3799082696747876E-5,5.64488158716636E-6,5.518521011025356E-6,4.720397586510866E-5,4.149620979984507E-5,5.226141439751418E-6,2.5534368220230175E-5,3.025213924041732E-5,1.001592312518574E-5,2.172039791814704E-5,2.6928751940181504E-5,4.47630110165198E-6,0.05633773450151732,0.004483015998195095,3.3033121576566516E-5,0.002527764227328707,1.8269978453978942E-5,1.483529814198652E-5,1.448911178701083E-5,8.70014195949366E-6,1.9341322785871643E-5,1.2855992853973544E-5,2.9618001215143817E-5,4.164692583601059E-6,1.7438387220438542E-5,1.1632398000704527E-5,1.0758367567444032E-5,1.2465248737532745E-5,8.89250090209813E-6,4.0668610548522476E-5,2.0319952703173055E-5,4.51944186015891E-5,0.027699899683085342,2.432835135954537E-5,1.0638255504839612E-5,1.2231351329738341E-5,3.988190320269238E-5,0.018853823932826766,2.187508409755919E-5,2.1563729948074085E-5,5.333971432272518E-5,7.4262361350690845E-6,5.33797017367691E-5,4.381757414568349E-6,8.523700098889173E-6,1.3280434957345994E-5,2.661316060529119E-5,4.6805760884253395E-6,9.51775301741257E-6,3.497520825598145E-5,2.8910311900445685E-6,4.467539512917295E-6,5.5286668101501794E-5,4.150578937244763E-6,3.2641748043453448E-6,0.002291439642277877,2.583597210314435E-5,1.5432906249293532E-5,1.6996834031151706E-5,6.682156455088352E-5,3.423469161215355E-5,0.014365585973757854,1.038537345278605E-5,0.027625649845312086,4.8997928678215876E-5,1.355852852294847E-4,2.263165235657219E-5,3.0998524966576307E-6,8.282687470078772E-5,0.022129374073910888,3.077312636325762E-5
6,1.4023722265599665E-4,3.547330867876367E-4,7.689180153731113E-5,2.0480306087644065E-4,0.020505051948475527,5.651303277093806E-5,5.09270964290283E-4,1.3337302404160865E-4,4.226714654691141E-4,1.6152982449256357E-4,5.924942540372032E-4,3.227653536542877E-4,0.4638106993441959,1.3119924575542678E-4,2.4189643858234258E-4,0.02866793791798156,2.7683662629409946E-4,2.6428628546522966E-4,0.0011541891589924244,9.74195441957516E-4,0.002061702855802144,0.031835232297801275,7.986931458546158E-4,3.8748572814831066E-4,0.020822429443583146,9.105138153448328E-4,7.884759173472749E-4,7.481611624137511E-5,8.551063350288725E-5,2.517529408215105E-4,1.0298623259162369E-4,1.006808875664145E-4,8.611978059461468E-4,0.020902133736450973,9.5346662203616E-5,4.658535956870002E-4,5.519254567342949E-4,1.8273229874924597E-4,3.9627083711844504E-4,4.912929824814656E-4,8.166644052427068E-5,4.3719608815047774E-4,0.0012086705465264148,6.026621974933917E-4,0.02597191470561777,3.333207652722331E-4,2.7065784134254153E-4,2.643419553628199E-4,1.5872695105909808E-4,3.528665635048945E-4,2.3454704050226028E-4,5.40356128811724E-4,7.598139880603816E-5,3.1814906558711397E-4,2.1222355643783487E-4,1.9627758837774878E-4,2.2741823472694178E-4,1.6223638212478804E-4,7.419654284069331E-4,3.70720863321114E-4,8.245350826363207E-4,0.0017352043074842919,4.4385080767346926E-4,1.9408624235473185E-4,2.231509684486806E-4,7.27612598423148E-4,0.001506366493758952,3.990929595324683E-4,3.9341255855999437E-4,9.731393193614295E-4,1.3548558460912955E-4,9.738688569185728E-4,7.99415685322344E-5,1.5550791409357087E-4,2.4229063839791354E-4,4.8553527753814014E-4,8.539327003798817E-5,1.7364359391158153E-4,6.380939753599176E-4,5.2744491796687537E-5,8.150659252721901E-5,0.0010086598934620603,7.572390690936666E-5,5.9552190852736184E-5,0.001515297131159799,4.7135611104657E-4,2.8156071088681744E-4,3.10093289969632E-4,0.0012191046141019212,6.245838568319021E-4,2.0242555602391943E-4,1.894726168200094E-4,3.805769437869592E-4,8.939270029746712E-4,0.3449398227326776,4.128959266082162E-4,5.655426518535044E-5,0.0015111083644634136,8.308827147468979E-4,5.614304392891203E-4
7,2.049631468880667E-5,5.184587115766206E-5,1.1238090226329839E-5,2.993290872032868E-5,5.261309844176876E-5,8.259639500515026E-6,7.443229228498501E-5,1.9493080510160087E-5,6.177537747937993E-5,2.360832631824603E-5,8.659575861571012E-5,4.7173640021167185E-5,6.929222330559708E-5,1.9175372821905514E-5,3.535427637102653E-5,0.021855717867698073,4.046094540698467E-5,3.862665540745084E-5,1.686900507944869E-4,1.4238314171225868E-4,0.06802010073154811,0.3314695544637404,1.1673267444397127E-4,5.66328202393957E-5,9.899927817115407E-5,0.017798842748644354,1.1523937953433374E-4,1.0934719279482198E-5,1.249777213439022E-5,3.67948494784994E-5,1.505191126745618E-5,1.4714974495548836E-5,0.2680566670533065,1.1064842693299991E-4,1.3935352940113985E-5,6.80866442965353E-5,8.066644241621203E-5,2.6707165387615624E-5,5.791680429596125E-5,7.180472760818694E-5,1.193592566080807E-5,6.389821784640341E-5,1.7665275600520472E-4,8.808185028858394E-5,0.018517387188098013,4.8716361946871576E-5,3.95578875856511E-5,3.863479181886924E-5,2.31986734825925E-5,5.157307020045178E-5,3.4280128060258934E-5,7.897553196214028E-5,1.1105030682506065E-5,4.649894830147253E-5,3.101744825478819E-5,2.8686871727478386E-5,3.323822032878075E-5,2.371159296387388E-5,1.0844165779115614E-4,5.418255818552981E-5,1.2050959228657106E-4,2.5360808537126355E-4,6.487083569297587E-5,2.8366596433735614E-5,3.261453974780745E-5,1.0634392571652552E-4,0.0885489972339112,5.832927045860086E-5,5.749905374662256E-5,0.003086523279435874,1.9801840947446318E-5,0.0708054032872992,1.168382769083182E-5,2.2728196433840666E-5,3.5411890486003915E-5,7.096321256554251E-5,1.2480618924536363E-5,2.537880939953813E-5,0.07075632824497677,7.708849915103922E-6,1.19125631413008E-5,1.4742027971482055E-4,1.1067397058251093E-5,8.703826423600105E-6,0.009054351125438873,6.889086220853994E-5,4.115139208437222E-5,4.532155966676354E-5,1.7817774294135114E-4,9.128580156338278E-5,2.9585425457978465E-5,2.7692293855396998E-5,5.56230696488929E-5,0.026629301994461937,3.6153418826122773E-4,6.03466375417878E-5,8.265665807405375E-6,2.2085543324617242E-4,1.2143732789629792E-4,8.205563930606493E-5
8,2.0376326874719816E-5,5.154235938766401E-5,1.1172301136864669E-5,2.9757677985382215E-5,5.230509523386465E-5,8.211286608599607E-6,7.399655697430369E-5,1.9378965745835623E-5,6.141373722254931E-5,2.3470120425519248E-5,8.608881695603866E-5,4.6897480036574864E-5,6.888657855755866E-5,1.9063117955402245E-5,3.514730831824294E-5,0.08612305349084526,4.022408231871822E-5,3.840053046654342E-5,1.6770251958410376E-4,1.415496142124978E-4,2.995633435455194E-4,0.18903029698320511,1.1604930776797591E-4,5.630128511177542E-5,9.841972486294787E-5,0.003059354990056643,1.1456475478071393E-4,1.0870706158883742E-5,1.2424608720277533E-5,3.657944814291241E-5,1.4963795625291604E-5,1.4628831320501422E-5,1.2513117177738006E-4,1.1000067815077175E-4,1.3853773760480961E-5,6.768805714847048E-5,8.019421166436031E-5,2.655081852995022E-5,5.757775257608481E-5,7.138437436724487E-5,1.1866051361408985E-5,6.352415023474525E-5,0.6821801913030913,8.756620887512416E-5,0.006700751238549442,4.843117068839321E-5,3.9326311103080406E-5,3.840861924646145E-5,2.3062865745291747E-5,5.127115543903959E-5,3.407944819682894E-5,7.85131999970842E-5,1.1040020539112382E-5,4.6226738040811457E-5,3.083586849905402E-5,2.8518935438256112E-5,3.3043639914597035E-5,2.3572782536172638E-5,1.0780682769258131E-4,5.3865367177437706E-5,1.1980411509349983E-4,2.521234340931941E-4,6.449107426313021E-5,2.82005350733962E-5,0.020521831373738426,1.0572137598590934E-4,0.0031459317826841326,5.798780411375445E-5,5.7162447587131474E-5,1.413961606655003E-4,1.9685918663550215E-5,1.4150216173604491E-4,1.1615429202319347E-5,2.2595142923995674E-5,3.520458515347898E-5,7.054778565169979E-5,1.2407555927312575E-5,2.5230238892585456E-5,9.271441042880004E-5,7.663721409590583E-6,1.184282560881273E-5,1.4655726422234695E-4,1.100260722647826E-5,8.652873209687483E-6,2.2017114338164596E-4,6.84875670751238E-5,4.091048704081668E-5,4.50562419763403E-5,1.7713466967578804E-4,9.075140384588781E-5,2.941222893053292E-5,2.753017994090999E-5,5.5297445718869205E-5,1.2988669106369846E-4,0.003286475976903899,5.999336129500548E-5,8.217277636787334E-6,2.1956251980945174E-4,1.2072641963088262E-4,8.15752760337733E-5
9,2.4371126455502985E-5,6.164729129911024E-5,1.3362642122869488E-5,3.559170098039858E-5,6.255956228269773E-5,9.82111768872529E-6,8.850365713017566E-5,2.317823166424419E-5,7.345396278525104E-5,2.8071461374418016E-5,1.0296661696388875E-4,5.609177863326306E-5,8.239186225443233E-5,2.280046159367798E-5,4.203797381446498E-5,0.02598752370934042,4.811005451440193E-5,4.5928993469358704E-5,2.0058076889026437E-4,1.6930055985607472E-4,0.10188471190526135,0.026537951979313648,1.3880089243149303E-4,6.733920924525184E-5,1.1771501189091007E-4,1.5823364804994975E-4,0.021142491263172008,1.3001919143114145E-5,1.4860465880025913E-5,4.375088610643868E-5,1.7897462956914732E-5,1.7496828559934713E-5,1.4966326510472847E-4,1.3156642283401754E-4,1.65698201780174E-5,8.095836950570955E-5,9.591636831740665E-5,3.175613347140252E-5,6.886592945249465E-5,8.537935346971178E-5,1.4192402783603666E-5,7.597812441211312E-5,0.04922280275141508,1.0473365306935298E-4,0.008014440325069736,0.6267209943110523,4.703627434003865E-5,4.593866806279574E-5,2.7584364000468163E-5,6.132291754088604E-5,4.076075863158245E-5,9.390579260529489E-5,1.3204427779565534E-5,5.52895369879326E-5,3.688127183943402E-5,3.4110101698671454E-5,3.952187908350992E-5,2.8194250496142737E-5,1.2894246576512322E-4,6.442572712563463E-5,1.432918335470836E-4,3.0155248943832994E-4,7.713461487840371E-5,3.3729278618869636E-5,3.878029219154818E-5,0.021131914130981932,2.6178390881133323E-4,6.935637201062905E-5,6.836920349861627E-5,1.6911702158531992E-4,2.3545363013260242E-5,1.6924380427341403E-4,1.389264589565824E-5,2.70249436449735E-5,4.210647983142726E-5,8.437875068672975E-5,1.484006986967902E-5,3.0176652854770455E-5,1.1089116476684714E-4,9.166201776268172E-6,1.4164623598619654E-5,1.752899647368115E-4,1.3159679548987396E-5,1.0349277791492404E-5,2.633359196776507E-4,8.191462416557528E-5,4.893102957947464E-5,5.3889563981105414E-5,2.1186210158800962E-4,0.0036094543040575966,3.517852628746061E-5,3.292749968175483E-5,6.61385661197293E-5,1.5535110877748772E-4,4.298819350638587E-4,7.17551207143835E-5,9.82828326407453E-6,0.10879084882938829,1.4439495682583937E-4,9.75681917592416E-5
