,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,2.1099234136301304E-4,1.3599555996249277E-4,1.1496871389145168E-4,5.77508241464647E-5,1.0329371324928238E-4,1.4849779109757396E-4,0.027770938858607087,1.8464456940882231E-4,1.8554153995508103E-5,6.90082946622718E-4,2.8267895318719326E-4,4.63549030490716E-5,8.387869980895445E-5,3.737647724274758E-5,1.38281048784717E-4,5.515984683161167E-4,4.255478242779111E-5,1.971619704827513E-4,4.455965131306832E-4,2.618772553563798E-4,8.288262162307654E-5,2.1511864401249005E-5,6.667101798343293E-5,6.138816068072902E-5,1.0305521227466674E-4,1.9403124801469193E-4,3.554124939686298E-4,6.599901149189808E-5,2.039253901941782E-4,1.0837281284881762E-4,5.586200425106488E-4,1.235282649835149E-4,5.7628991846944316E-5,6.004852030689142E-5,2.882109388602017E-4,2.7455181492259122E-5,0.0023434970247148434,0.3469305809413637,5.863708649244973E-5,2.4019279808028303E-4,1.0388255903429424E-4,4.545392246676651E-5,0.06465263703997118,9.6813470809686E-5,2.3003585663191226E-5,1.2547813126955858E-4,1.1260165481592189E-4,0.018475475273264444,1.1154514216667819E-4,0.040202744671999184,0.1323983667591259,6.92513925797922E-5,1.3490772447287842E-4,8.20240653682955E-5,1.0100586912153573E-4,4.7774906071247836E-4,3.300220053008777E-4,1.1057878092903198E-4,8.010251568563865E-4,3.046357041962254E-5,3.5365197886686795E-4,1.7438974447582495E-4,0.03675030642564538,0.027733543896950336,2.497271594064348E-4,6.145040416993E-5,2.803250740723815E-4,2.420149754913668E-4,4.994648698485913E-4,1.446504057053473E-4,4.595819776465723E-4,3.358679690108965E-5,0.1187527834525827,3.600843623928311E-4,1.545174551070039E-4,2.966960536232628E-4,9.624953847029305E-5,1.6730611263409532E-4,2.1356458581889637E-4,7.831916168710254E-5,0.10082706852430331,6.65119241787572E-6,2.268736546826734E-4,1.4889695694339004E-4,5.837091124027718E-5,1.4515289515404308E-4,2.451067349422241E-5,6.156363083595245E-5,7.665114366305524E-5,1.7178558277685838E-4,0.06514414588418944,0.0025088000470503326,1.1365861144922346E-4,1.3232720363117974E-4,4.930513270285738E-5,3.87335288151748E-4,4.1922767994238004E-5,2.218722110755241E-4,2.855925835378639E-4,3.0554266859801827E-4
1,5.742088107728863E-5,3.7010750367522525E-5,3.1288362436870564E-5,1.5716699402487748E-5,2.8111048894964008E-5,4.041319200389046E-5,1.0534859811441602E-4,5.025042043279474E-5,5.049452805648302E-6,1.8780383475300067E-4,7.693015987764037E-5,1.2615336453139089E-5,2.282731598471128E-5,1.0171887003003897E-5,3.76327387345724E-5,1.501157333341324E-4,1.158114595662967E-5,5.3656990518796924E-5,1.2126764518390602E-4,7.126904531000885E-5,0.0025066970037206965,5.854384095438139E-6,1.8144301211112945E-5,1.6706588737914982E-5,2.80461416286066E-5,5.280497455763395E-5,9.672435699665067E-5,1.796141682495791E-5,5.549763324742305E-5,2.9493309370394435E-5,1.5202663196767997E-4,3.361781649267781E-5,1.5683543137492818E-5,1.6342009957019252E-5,7.843567182844887E-5,7.471838556974028E-6,0.0031219158783157967,1.8682735335092464E-5,1.5957892824217352E-5,0.00254950845780592,2.8271301364677375E-5,1.2370137511152484E-5,2.060200162853197E-4,2.6347471942017357E-5,6.26035119656185E-6,3.4148466275528915E-5,0.007483066476536699,5.975911232075537E-5,3.035664850072554E-5,0.023361750349157353,0.0608731935811647,1.8846541784752917E-5,3.671469946881559E-5,2.2322583239574825E-5,2.7488419539158668E-5,1.3001785668020712E-4,8.981441789238318E-5,3.0093656425533983E-5,2.1799639728454178E-4,8.290561841982556E-6,9.624523852419808E-5,4.745960310197536E-5,0.8148630852139557,9.517168063811842E-5,6.796243612167298E-5,1.6723528101534327E-5,7.628955931437455E-5,6.58635902935612E-5,0.0026200685108556947,3.936613855333203E-5,1.2507374397208832E-4,9.140537794717302E-6,2.435471607376821E-5,9.799579082909131E-5,4.205142403154501E-5,8.074486827884802E-5,2.6193999585690416E-5,4.553181568110665E-5,5.812090905957862E-5,2.1314305724351786E-5,1.1421109778691453E-4,1.8101004348395542E-6,6.174292896579667E-5,4.05218236936222E-5,1.5885454093019894E-5,3.9502889426324666E-5,6.67050025960192E-6,1.675434237129622E-5,2.086036003146616E-5,4.675088894554483E-5,0.005308064087763522,0.07023870327339148,3.0931822308218106E-5,3.6012419094981036E-5,1.3418231880557764E-5,1.0541204185100207E-4,1.1409145279288759E-5,0.00254452256949893,7.772309492347311E-5,8.315244583886956E-5
2,0.05600101414615107,1.3852444718910102E-4,1.1710659921726569E-4,5.88247218645253E-5,1.052144976638404E-4,1.5125916188930987E-4,3.943004713774227E-4,1.880781027768921E-4,1.889917528188469E-5,7.029152916602743E-4,0.04677635074260813,4.7216889442184675E-5,8.543845494059166E-5,3.807150652091569E-5,1.4085243551271098E-4,5.618556437792423E-4,4.33461041866957E-5,0.009498511323665575,4.538825434289382E-4,2.6674695879517314E-4,8.442385431617484E-5,2.1911885395462724E-5,6.791078997164911E-5,6.252969600330342E-5,1.0497156167628459E-4,1.9763933010797898E-4,3.6202151941344685E-4,6.722628727337701E-5,2.0771745748362052E-4,1.1038804497992961E-4,5.690077867165784E-4,1.2582531829560868E-4,5.8700624048791514E-5,6.116514452626083E-5,0.009591253380943788,2.7965720643677996E-5,0.01168475826402223,6.99260500955687E-5,5.972746458330194E-5,2.446592710971672E-4,1.058142932518059E-4,4.629915479609513E-5,7.71095116484229E-4,9.861375274360906E-5,2.343134576040232E-5,1.2781144305910362E-4,1.1469552381162641E-4,2.2366739167785658E-4,1.1361936492287195E-4,0.031652646373575184,0.423088537540086,7.05391475783243E-5,1.374163830002917E-4,8.354933289351157E-5,0.27903337573500875,4.8663297940433197E-4,3.361588853132488E-4,1.1263503384421882E-4,8.15920512910104E-4,3.103005166454195E-5,3.6022826688882845E-4,1.7763258561988895E-4,2.4295961158689433E-4,0.1026307237324677,2.5437092736278776E-4,6.259309693297396E-5,2.855378214540988E-4,2.465153325643244E-4,5.087526019616693E-4,1.4734023295715496E-4,4.681280727776951E-4,3.421135568587114E-5,9.115523319750757E-5,0.009664463317100466,1.573907637548442E-4,3.0221322536328046E-4,9.803933387590479E-5,1.7041723105068582E-4,2.1753589747997004E-4,7.977553517197076E-5,4.2747118139155267E-4,6.774873775942988E-6,2.3109245335182983E-4,1.5166575037016685E-4,5.9456339704866275E-5,1.478520663811148E-4,2.496645844140892E-5,6.270842909030433E-5,7.807649974209104E-5,1.7497999858072483E-4,0.001271743747606211,0.002555452102417799,1.1577213494048484E-4,1.3478787642879147E-4,5.0221979696486214E-5,3.945379296416006E-4,4.270233721336494E-5,2.259980060697355E-4,2.909032821865709E-4,3.112243463823109E-4
3,0.010903125282065216,8.02938205812714E-5,6.78792549418945E-5,3.4096953707280406E-5,6.09861592621009E-5,8.767532556498304E-5,0.0056178270483456805,1.090169262254372E-4,1.0954651110400122E-5,4.074353333123624E-4,1.6689789839884476E-4,2.736863078111453E-5,0.11322432171829266,2.2067633373595756E-5,8.164320749862948E-5,0.11350047049245253,2.5124982507329423E-5,1.1640738776882187E-4,2.630868720039308E-4,1.546162636611091E-4,4.8935144292535255E-5,1.2700927744103585E-5,3.93635700857359E-5,3.624449181188082E-5,6.0845344705585024E-5,1.1455896221574173E-4,2.0984087297357294E-4,3.8966807362926195E-5,1.2040061231949779E-4,6.398493592857417E-5,3.298176608032114E-4,0.03779786576725637,3.402502208832615E-5,3.545354802040697E-5,1.7016406580320126E-4,1.6209951393807913E-5,0.060665673127262065,4.0531688335604805E-5,3.462021630361874E-5,1.418134344922057E-4,6.13338226551177E-5,2.683667831705786E-5,4.4695484580826116E-4,5.716012682463312E-5,1.3581662375415741E-5,7.408417276130082E-5,6.648170772220381E-5,1.296457757578821E-4,6.585792679050564E-5,0.12613255033917575,0.17517695382297221,4.0887061991866396E-5,7.965154617430457E-5,4.8428239788451964E-5,5.963538173699737E-5,2.820702188681627E-4,1.948499472248091E-4,6.528737260584212E-5,4.729372800365693E-4,1.798614938761758E-5,2.0880143842327975E-4,0.03782789514843602,1.4082824986569133E-4,0.005595748501496512,1.4744266457802745E-4,3.628124130249385E-5,1.655081328258597E-4,1.4288927539578486E-4,2.948915586459693E-4,8.540377146074867E-5,0.15117107539955718,1.983014919766108E-5,5.283689693713858E-5,2.1259921423953475E-4,9.122942558167482E-5,1.7517380496369017E-4,5.682717270398622E-5,9.878004100793439E-5,1.2609173814928486E-4,4.6240809025781146E-5,0.005637054001367137,3.926963871465476E-6,1.3394961224272311E-4,8.791099907384589E-5,3.446306243810275E-5,8.57004487761602E-5,1.4471469659847745E-5,3.634809202621696E-5,4.5255986139018385E-5,1.0142478743966626E-4,0.08696556693278241,0.001481233217523437,6.710575078875619E-5,7.81279679227298E-5,2.9110490666539863E-5,0.05951072586613925,2.4751831696034685E-5,1.309966848401627E-4,1.6861814950617073E-4,1.8039697927710538E-4
4,3.2304401094334945E-4,2.0821870062659928E-4,1.7602513071596999E-4,8.84205452531577E-5,1.5814988931692978E-4,2.273604896864625E-4,5.926804507985949E-4,2.827037318767344E-4,2.8407705643007884E-5,0.0010565651886722334,4.32801220446887E-4,7.097259412889406E-5,1.2842414773898435E-4,5.722599714013419E-5,2.1171794363858724E-4,8.445357802275339E-4,6.515434404627668E-5,3.0186874717248605E-4,6.822393833548915E-4,4.009523682170517E-4,1.2689908246741813E-4,3.293616684926339E-5,1.0207798502974434E-4,9.398956152924094E-5,1.5778472766719398E-4,2.9707539241515717E-4,0.3499322158894621,1.0104909615632365E-4,3.1222401512751366E-4,1.659263455428535E-4,8.552863007264528E-4,1.8913040126177262E-4,8.823401149347113E-5,9.193847855252958E-5,4.4127107688217405E-4,4.2035800414089236E-5,0.045514624166041,0.2935910729724583,8.977747480399142E-5,3.6775194962200986E-4,1.5905145334047904E-4,6.959312993029005E-5,0.14091426938030896,1.48228185542996E-4,3.522009628743286E-5,1.9211578273001763E-4,1.7240099794906831E-4,3.361986610502652E-4,1.7078340329317097E-4,0.01962664342444727,0.07693144696010987,1.0602871875761015E-4,2.0655314851441658E-4,1.2558457287729143E-4,1.546470401676856E-4,7.314671793297211E-4,5.052867398088976E-4,1.693038367448653E-4,0.015201947642591754,4.664185397648363E-5,5.414658797242622E-4,0.028218047241730226,3.6519715946101004E-4,5.354261527296129E-4,3.823497227197738E-4,9.40848606584733E-5,4.291972671203712E-4,3.7054183050453017E-4,7.647155998121525E-4,2.21469873938418E-4,7.036521063140894E-4,5.1423731854798354E-5,1.370171446040105E-4,5.513143081588182E-4,2.3657701571567913E-4,4.542623802094254E-4,1.4736476574471653E-4,2.5615734358655934E-4,3.26982296858314E-4,1.199121065801751E-4,6.425399685815851E-4,1.0183440130321344E-5,3.4735941083269576E-4,2.2797164047530638E-4,8.936994190246426E-5,2.2223922037969054E-4,3.7527553016123266E-5,9.425821859223216E-5,1.1735825448614598E-4,2.6301572523430584E-4,0.0019115819339461787,0.003841148093899846,1.7401927237556733E-4,2.0260219087472195E-4,7.548960178142887E-5,5.930373787793482E-4,6.418668580678727E-5,3.397018513548345E-4,4.372621920101511E-4,4.678071656090034E-4
5,3.4731344469471603E-4,2.238616154910357E-4,1.8924942865609194E-4,9.506334466310416E-5,1.7003126811220565E-4,2.444414760387881E-4,0.2109937286679782,3.039425082032507E-4,3.054190069623921E-5,0.10631420296833245,4.6531642020704696E-4,7.63045755711251E-5,1.3807231096146728E-4,6.152523346521788E-5,2.276237472846834E-4,9.079834977971538E-4,7.004921589927058E-5,3.245473399119609E-4,7.334942060911296E-4,4.310748487715781E-4,1.3643267160921556E-4,3.541057309823833E-5,1.0974683141361001E-4,1.0105074625819702E-4,1.6963867284300446E-4,3.193938732138779E-4,5.850427402737176E-4,1.0864064486710113E-4,3.3568057149144416E-4,1.7839194872490668E-4,0.10609780253511399,2.0333926317624688E-4,9.48627971202495E-5,9.884557089550865E-5,4.7442259433489706E-4,4.519383782935124E-5,0.0038576188075242234,1.1300358064545824E-4,9.652221670698415E-5,3.9538017139966857E-4,1.7100056423293342E-4,7.482147591157372E-5,0.0012461237130061567,1.5936417323277204E-4,3.786608805514435E-5,2.0654892838079938E-4,1.853530244738013E-4,3.614563685305268E-4,1.8361390425170257E-4,0.21643219660665292,0.1578384302855031,1.1399437321477127E-4,2.2207093489704635E-4,1.3501940642439466E-4,1.6626525926184102E-4,0.16606654456178213,5.432475830433092E-4,1.8202318182027128E-4,0.0013185635303997177,5.014593189397113E-5,5.821447651127235E-4,2.870620918373658E-4,3.926334466772448E-4,5.756512895599602E-4,4.110746362023154E-4,1.0115320495648227E-4,4.614417114926029E-4,3.983796485816368E-4,8.221666404121041E-4,2.3810831406233818E-4,7.565156097368292E-4,5.5287059485772225E-5,1.4731087673065744E-4,5.927330796722369E-4,2.5435041505294327E-4,4.883898995837563E-4,1.5843588701108243E-4,2.754017606613283E-4,3.5154760351203854E-4,1.2892078288448435E-4,6.908122803156992E-4,1.0948494789227193E-5,3.734555956358129E-4,2.4509854095412705E-4,9.608406694701027E-5,2.3893545944696148E-4,4.03468978450711E-5,1.0133958680879746E-4,1.2617506670349743E-4,2.827753942048011E-4,0.0020551939791617502,0.004129723291198391,1.870928755358515E-4,2.178231523621586E-4,8.116093394450282E-5,6.375906931538823E-4,6.900886008068453E-5,3.65222744166305E-4,4.7011253264942914E-4,5.029522685347879E-4
6,1.8121772228471203E-4,1.1680426624981354E-4,9.874466689559127E-5,4.960119758034914E-5,8.871720802964897E-5,1.275422192728496E-4,3.3247544513441744E-4,1.5858807046905397E-4,1.5935846316814165E-5,0.016272373898953574,2.427881301448504E-4,3.9813435374076505E-5,7.204198422268635E-5,3.210201862874084E-5,1.1876723360680428E-4,0.2199891865268536,3.65495766058059E-5,1.693390526937541E-4,3.827152428657189E-4,2.2492190677293573E-4,7.118646966279187E-5,1.8476173323205293E-5,5.726259988069292E-5,5.2725243873518996E-5,8.851236361158466E-5,1.6665012857877318E-4,3.052577274248619E-4,5.668542497012608E-5,1.7514803849410393E-4,9.307956002185412E-5,4.797892239709262E-4,1.0609631929521354E-4,4.949655789685557E-5,5.1574649611854256E-5,2.4753945825893326E-4,2.358078697453974E-5,0.12745017704853365,5.896187379842675E-5,5.036239318891291E-5,2.0629749637410757E-4,8.922295762817685E-5,3.9039598523443294E-5,6.501899203885888E-4,8.315143835682499E-5,1.9757387265031492E-5,1.0777102618188981E-4,9.67116402396955E-5,1.8859707509446175E-4,9.58042195502804E-5,0.042369288219912135,0.058835841375380456,5.947883959808171E-5,1.1586994290719886E-4,7.044907034327332E-5,8.675221774092856E-5,4.103305174334296E-4,2.834502698918445E-4,9.497422837022528E-5,0.008527823555797268,2.6164640898532997E-5,3.037456510398702E-4,1.497803762902925E-4,2.0486433792445914E-4,0.11005807155713995,2.1448639665268211E-4,5.277870374446591E-5,2.407664235323538E-4,2.078625334645635E-4,4.289818554099358E-4,1.2423776559919122E-4,0.2904686855657013,2.8847126838517845E-5,7.686239031822851E-5,3.092703155082891E-4,1.327124059898703E-4,2.5482717856552375E-4,8.266708649169423E-5,1.436963657543218E-4,1.8342697916315327E-4,6.726699178036046E-5,0.023879955240411678,5.712595692613496E-6,1.9485791134601614E-4,1.2788505600770618E-4,5.0133779806002116E-5,1.2466934521377108E-4,0.007860888514046746,5.287595219616766E-5,6.583435955733758E-5,1.475437062363029E-4,0.001072338481121323,0.05703362256140216,9.761944225944315E-5,1.1365357758218314E-4,4.2347337290241486E-5,0.016012349100229972,3.6006750191540454E-5,1.9056225676079283E-4,0.008085127312299852,2.624253852364321E-4
7,1.4307929874448255E-4,9.222206467825712E-5,7.796322300079268E-5,3.916230971898487E-5,7.004610670201218E-5,1.0070014711477172E-4,2.6250387070230423E-4,1.252122012454356E-4,1.2582045989560314E-5,4.679628816878621E-4,1.9169182222714614E-4,3.143444439160248E-5,5.6880289923016114E-5,2.5345944401984365E-5,9.37719130559742E-5,0.02513362565296526,2.8857485483403104E-5,1.3370057080516195E-4,3.0217038310425203E-4,1.7758565932521076E-4,5.620482384965336E-5,1.4587745002182635E-5,4.521132112202153E-5,4.162888057771016E-5,6.988437309605551E-5,1.3157754789162954E-4,2.4101429499077343E-4,4.4755616346486016E-5,1.38287018555702E-4,7.349037394062523E-5,3.788145267771689E-4,8.376767334201565E-5,3.9079692123165065E-5,4.0720436204704684E-5,1.9544320308602183E-4,1.86180602074856E-5,0.001589185222268737,4.655297202381446E-5,0.43333228442095656,1.6288087468385457E-4,7.044541807722076E-5,3.082346643351245E-5,5.133533116246343E-4,6.565168869630621E-5,1.559931931195207E-5,8.508992750086516E-5,7.63580597497206E-5,1.489056197681421E-4,7.564161152230182E-5,0.008692829096808047,0.13311196814951523,4.69611390792049E-5,9.148437563230455E-5,5.562261491224264E-5,6.849466113142875E-5,3.239738473017364E-4,2.2379635575234692E-4,7.498629727097371E-5,5.43195629658016E-4,2.0658125620747468E-5,0.10546800414384555,1.182581423886912E-4,1.617493335554253E-4,0.037376504344183235,1.6934636875681362E-4,4.167108947841601E-5,1.9009559664426065E-4,1.641165397534096E-4,3.386998924405897E-4,9.809113675750737E-5,0.0126914406015469,2.2776065314206165E-5,6.068621086230598E-5,2.4418240836229695E-4,1.0478223511655745E-4,2.0119717625027267E-4,6.526927176525345E-5,1.134545506093337E-4,1.448236034456374E-4,5.311022504445634E-5,2.8458713056307694E-4,4.51034355473104E-6,1.5384882316531894E-4,1.009708316757997E-4,3.9582806624086035E-5,9.84318876941596E-5,1.662131408492484E-5,4.174787137423751E-5,5.197909939490857E-5,1.1649219378933273E-4,0.007036551178535887,0.13168903776038363,0.04340632692046324,0.0062796276172751575,3.343507051514785E-5,0.04359191406894627,2.842890034441179E-5,1.5045721643969947E-4,1.9366762942792673E-4,2.0719629194648032E-4
8,3.5807389896680246E-4,2.3079728905496592E-4,1.9511274853091666E-4,9.80085942318275E-5,1.752991715386177E-4,2.520147541980275E-4,6.569488759105073E-4,3.1335924547853564E-4,3.14881489076016E-5,0.0011711358322838783,4.797328389727818E-4,7.866864154301907E-5,1.4235006297779967E-4,6.343140632260278E-5,2.3467597909808394E-4,9.361146141046245E-4,7.221947851361355E-5,3.346024554382821E-4,7.562193006247477E-4,4.444303962429131E-4,1.4065962437045972E-4,3.650766236556252E-5,1.131470043092218E-4,1.0418149731572464E-4,1.7489441289507494E-4,3.292893241962706E-4,6.031685161401399E-4,1.1200654592575431E-4,3.460806164500737E-4,1.8391888249635926E-4,9.480308876171073E-4,2.0963911386314153E-4,9.780183333127757E-5,1.0190800127897482E-4,0.3412907768233791,4.659403189834354E-5,0.0039771354326695344,1.1650465404382987E-4,9.951266500370602E-5,4.076298274939654E-4,0.015667282847592175,7.713959253623878E-5,0.001284731078876924,1.6430158905952595E-4,3.9039254010002014E-5,2.12948220814594E-4,1.9109562607621373E-4,3.7265499842619907E-4,1.8930262448583107E-4,0.006263911258028827,0.2866564503858689,1.1752614331751202E-4,2.289511296508647E-4,1.3920257344792006E-4,0.04664436953201221,8.107852057185296E-4,0.03154204716111819,1.8766261834182125E-4,0.0013594152244254943,5.169955158626532E-5,6.001807560034191E-4,2.959558405811859E-4,4.047980038321682E-4,5.934860997943357E-4,4.238105377138669E-4,1.0428713038619304E-4,4.7573808415423113E-4,4.10722234384097E-4,8.47638981530271E-4,2.4548537839546095E-4,7.79953952677593E-4,5.6999961432190386E-5,1.5187485770246957E-4,6.110971173931848E-4,2.6223069165055423E-4,5.035211801653049E-4,1.6334454270317274E-4,2.839342493896387E-4,3.624392403600676E-4,1.3291500254439256E-4,7.122150047609529E-4,1.1287700712082296E-5,3.8502598521006684E-4,2.5269217627800635E-4,9.90609405015834E-5,2.463381503724997E-4,4.159692417118711E-5,1.0447928671522262E-4,1.3008421867063144E-4,2.9153633261674926E-4,0.002118867934693406,0.05073062329663188,1.9288938114940836E-4,2.2457174245044318E-4,8.367545945950929E-5,0.18654915669882072,7.11468904236208E-5,3.7653806379403157E-4,4.846775444207281E-4,5.185347199753527E-4
9,1.1942416787365759E-4,7.697510003498107E-5,6.507365575117559E-5,3.268765147187705E-5,5.846546690598604E-5,8.405151115126125E-5,2.1910441690255897E-4,1.0451101642641881E-4,1.0501871239491762E-5,3.905951331305843E-4,1.5999964046891737E-4,2.6237424959301824E-5,4.747633900973769E-5,0.33067878494752273,7.826871381743148E-5,0.09847619500927927,2.4086511612948935E-5,1.1159601390802335E-4,2.5221291182545155E-4,0.2894736513735678,4.691254694166017E-5,1.2175970411694157E-5,3.773658698948823E-5,3.4746427094133445E-5,5.83304725254008E-5,1.0982398785638537E-4,2.011676872720156E-4,3.735622334434925E-5,1.154241896882417E-4,6.134029752449803E-5,3.161855700705362E-4,6.991846319744671E-5,3.2618692945248245E-5,3.398817475254605E-5,1.6313080997687297E-4,1.553995838120059E-5,0.001326447113117935,3.8856424337934435E-5,3.318928647200684E-5,1.3595197273360234E-4,5.879876060483155E-5,2.5727459262836165E-5,4.284812170867766E-4,5.479757282049947E-5,1.3020302339839304E-5,7.102211064346955E-5,6.373387223781775E-5,1.2428723014836117E-4,6.31358735466385E-5,0.04858785764302288,0.002607689578966255,3.9197109617853895E-5,7.635937224461968E-5,4.642659391778457E-5,5.717051999267275E-5,2.70411635130615E-4,1.8679636951961028E-4,6.25889016237444E-5,4.533897400515293E-4,1.724274219775898E-5,2.0017121484226428E-4,9.87066638778768E-5,0.03113416026590246,1.9793842504865766E-4,1.4134853433497076E-4,3.478165764731543E-5,1.5866731696965856E-4,1.3698334676183046E-4,2.8270304068130997E-4,8.1873845383927E-5,2.6012885062847677E-4,1.9010525432072935E-5,5.065303155125848E-5,2.0381202021496126E-4,8.745871238217377E-5,1.6793348557801065E-4,5.4478380427382334E-5,9.469724423374653E-5,1.2088008874607911E-4,4.432957448892636E-5,2.3753667758563856E-4,3.7646538008968303E-6,1.2841317958701712E-4,0.05174953204032754,3.3038628122069024E-5,8.215826037211152E-5,1.3873331928357656E-5,3.484574528330964E-5,4.338545650230531E-5,9.723267746728735E-5,7.066810528918097E-4,0.07891789247934257,6.433212222923999E-5,7.489876683965724E-5,2.7907289937165513E-5,2.1923636742833349E-4,2.3728783946988963E-5,1.2558230318130347E-4,0.056993428846037274,1.7294077458686194E-4
