,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,6.910430022041008E-5,1.2205188801305697E-4,4.4431635531488786E-5,1.1073097093137713E-4,9.702903619728636E-5,2.4093543556276246E-4,0.005356610817199466,0.01695696784069773,6.25842693674909E-5,5.8969570870712204E-5,1.831455498247442E-4,1.7983402356476722E-4,5.1642724735951256E-5,2.9937808313570865E-4,3.572222327230583E-5,1.6761963909593522E-5,2.9503029846426886E-5,0.010724279900446191,1.4161632706041768E-5,2.0192654336879624E-5,1.3631302188170862E-4,0.010763018916981424,6.270339431715765E-5,8.580905760019195E-5,6.671541573632074E-5,2.7877112718127303E-5,3.120716257505528E-4,1.9811658258956033E-4,2.1981004113912262E-4,0.23988922426552303,7.010081101881135E-5,0.03818624427320595,8.010070531043996E-4,6.465282099336458E-5,1.2633870550067777E-4,3.566008610274568E-5,6.105202395950033E-5,7.340226816210682E-5,2.2143132124638186E-4,2.89752034173932E-5,9.81756463620055E-5,1.73824693267533E-4,9.814741583491777E-4,2.0514742482386853E-5,3.764675842313611E-5,5.710243046337456E-5,8.501809310736453E-5,2.6142652386908856E-4,1.5419488594481729E-4,4.3377207680223674E-5,6.28406208380195E-5,9.361727105492045E-5,1.1526828296416864E-4,4.2849936509047173E-5,0.14172593570833936,1.1686868195840437E-4,0.03251735688947398,5.2695148558639805E-5,2.3321742909239662E-4,2.5140877990457847E-5,0.404880655036325,9.107110627823805E-5,2.78644344867226E-5,5.145448249540295E-4,0.016404288842162967,3.9400795733044204E-5,4.955076955475815E-5,0.06417019976090144,9.788089220928558E-5,4.744388859770761E-5,0.005610997760577289,4.155295035792048E-5,1.4203498362742818E-4,4.481179604743167E-5,0.0011135651368921443,8.843429284706444E-4,9.64218197241481E-5,4.134819092830858E-5,2.61800518784385E-4,1.1360899349781352E-4,2.1757908381250786E-5,2.7166581708270824E-5,1.8216750568900855E-6,1.0058168957607238E-4,1.3761823810255769E-4,2.9269740193410034E-5,4.004187869403291E-5,3.0186331745319614E-4,9.290688670399436E-5,1.3606346921528617E-5,1.5228032180680166E-4,9.679151350025751E-5,1.8385701876142644E-4,2.1838827997562807E-5,2.0263508329333133E-4,1.8112284100681863E-4,1.9341633988728302E-4,8.950609193210176E-5,2.7089066087181633E-5,4.0833566477788873E-4
1,3.166277485402682E-5,5.5922734740680146E-5,2.035805105822052E-5,5.0735624133163054E-5,4.4457559335945844E-5,1.1039377327096481E-4,1.3742163862585898E-5,0.046818981732278594,2.867537366077495E-5,2.701916146698025E-5,8.391512961019916E-5,0.06841902138989889,2.3662087032898732E-5,1.371715047011848E-4,1.6367501141734082E-5,7.680134053713067E-6,1.3517940107338582E-5,3.2551094728289754E-5,6.488692983022037E-6,9.252035921564443E-6,6.245701798218657E-5,5.0300854941608945E-5,2.8729955306906452E-5,3.931669755088034E-5,3.0568216174888946E-5,1.2772964066767224E-5,1.4298753612950247E-4,9.077468014833814E-5,1.0071436684900867E-4,8.769516121840032E-5,3.21193643419277E-5,0.03702123607547841,3.6701197896569344E-4,0.009791997954253322,5.788690392433326E-5,1.633903062392876E-5,2.7973316897019562E-5,3.363205304414986E-5,0.007423238314247834,1.3276096266489407E-5,4.498292258215549E-5,7.964442313207334E-5,0.010212074671526716,9.399612908840472E-6,1.724930043620696E-5,2.6163659766654412E-5,3.8954286954520265E-5,1.1978254811547963E-4,7.06502770701832E-5,1.9874924660182528E-5,0.004909980228203723,4.289432881030566E-5,5.281456696130145E-5,1.9633335231930858E-5,0.09910546300046581,5.354785089398688E-5,2.5550699410568836E-4,2.4144295208692687E-5,1.0685747378723255E-4,1.1519253605136951E-5,2.6417001002268365E-5,4.172770615718259E-5,1.2767155050754706E-5,0.1247060369983692,1.9447046279012775E-4,1.805297963203188E-5,2.270357785625463E-5,1.1490386736143292E-4,0.0024854415683699944,2.1738229865253264E-5,0.0050114866565961645,1.903907148335177E-5,6.507875332861531E-5,2.0532236120312138E-5,0.09325278295359035,0.4177467179648379,4.4179339913778045E-5,0.014662507445102236,1.1995390817211593E-4,5.205430010926345E-5,9.969216852971102E-6,1.2447407143100624E-5,8.346700132920468E-7,0.007367866439175449,6.305505265158855E-5,1.3411049541401488E-5,1.8346716279270848E-5,1.3831020973695138E-4,4.256883908403023E-5,6.234267589542852E-6,6.977304637611304E-5,4.434872923919704E-5,8.424111628086876E-5,1.0006293266224541E-5,9.284500384751378E-5,8.298834830002078E-5,0.0025292147830723935,4.101063505267845E-5,1.2411890400287384E-5,0.04411778115870943
2,3.5471972440379624E-5,6.265053251514953E-5,2.2807231185715195E-5,5.6839385344273996E-5,4.980603648295383E-5,1.236747221653937E-4,1.539541812276864E-5,0.0032357721854256263,3.2125171242950445E-5,3.0269708051093313E-5,0.002828220457455723,9.231071738496431E-5,2.6508759986527267E-5,1.5367395488229024E-4,1.8336597221630912E-5,8.604094389948385E-6,1.5144219075834838E-5,3.64671618463419E-5,7.2693167206275384E-6,1.0365104282241953E-5,6.997092424104631E-5,5.63523111427287E-5,3.218631934687542E-5,4.404670211000791E-5,3.4245732621546465E-5,1.4309618517238201E-5,1.601896853414426E-4,1.0169534942376085E-4,0.024720719918193055,9.824534824363721E-5,3.5983492034163024E-5,0.0031961460233721688,4.111654415375592E-4,3.318698079793414E-5,6.485100153506317E-5,1.830470155147536E-5,3.133865337487591E-5,3.767816510698987E-5,0.038392601630585534,1.4873280154750777E-5,5.039460367823763E-5,8.922606421564286E-5,5.038011264836482E-4,1.053043555373106E-5,1.9324481587915698E-5,2.9311285017213306E-5,4.364069162149411E-5,1.341930157789177E-4,7.914987529338417E-5,2.2265982152570397E-5,3.2256759179860853E-5,4.8054741140738534E-5,5.916843587900536E-5,2.1995328251251313E-5,0.045407331507147194,5.998993770792301E-5,0.011223085416864072,2.7048980330484694E-5,0.013790762479405479,1.2905080123234844E-5,2.95951045298473E-5,4.6747767674556646E-5,1.4303110646186097E-5,2.641213324191735E-4,0.08497837312842967,2.0224847598685044E-5,2.5434937137629153E-5,0.19152342029311328,5.0243303236027515E-5,2.4353452729201783E-5,1.4597494234788245E-4,2.132957146243237E-5,7.290806807582495E-5,2.3002371622727587E-5,0.01971107411985703,0.030530251515442412,4.9494345807673055E-5,2.122446626896489E-5,0.05208437306119876,5.831670494426714E-5,1.1168565834519244E-5,1.3944895391191407E-5,9.350851858311262E-7,5.1629651255704235E-5,7.06409056122059E-5,1.5024469015186727E-5,2.055392230245394E-5,1.549496520955841E-4,4.7690093296280877E-5,6.984282620260981E-6,0.0028123770075672723,4.968411355578289E-5,9.437576361636409E-5,1.1210102734401755E-5,1.0401474390318953E-4,0.4703770748081628,9.928266484311253E-5,4.5944429161933244E-5,1.3905105798268756E-5,2.096030406389579E-4
3,5.6717654743277505E-5,0.004472019833493986,3.646745796884314E-5,9.088292564489088E-5,0.0044514822191132255,1.9774880587870963E-4,2.4616392877030672E-5,0.04452042156437375,5.1366311083738267E-5,4.839953158249985E-5,1.5031750599595213E-4,1.475995564256995E-4,4.2385990773852E-5,2.457158628744825E-4,2.9319170004741735E-5,1.3757454728740784E-5,2.4214739970929145E-5,0.34980592618182904,1.1623221592006699E-5,1.6573208807217226E-5,1.118795051457031E-4,9.010412185990158E-5,5.1464083403911673E-5,7.042815696404744E-5,5.47569674205205E-5,2.2880261421404084E-5,2.561341431436049E-4,0.0482529024216754,1.804100465914594E-4,1.570886916756988E-4,5.7535545312046736E-5,7.386094385618161E-4,0.11869725085083162,0.00442490929977285,0.048193990417097564,2.9268170652768035E-5,5.01087140057678E-5,6.024523061102115E-5,1.8174071928581245E-4,2.378152413528904E-5,8.057808843730583E-5,1.4266737246681788E-4,8.055491810950458E-4,1.683756405248438E-5,3.089874059409637E-5,4.6867067978312714E-5,6.977896941891219E-5,2.145669556633877E-4,1.2655612279269097E-4,3.560203172721994E-5,5.157671266731553E-5,7.68367820926513E-5,9.460694421562491E-5,3.5169271621879355E-5,0.037628963807088814,9.592047864571153E-5,4.5769069650369046E-4,4.324977220031118E-5,1.9141421852457416E-4,2.0634484876593845E-5,4.732087914300159E-5,7.474700628618545E-5,2.286985570787723E-5,0.13157767137992638,3.483557147832574E-4,3.233837433950563E-5,4.066900946694518E-5,0.013321363403247419,8.033616768541639E-5,3.893977776463376E-5,2.3340558225716835E-4,3.410476460145098E-5,1.1657583011698341E-4,3.677947636453635E-5,0.07960717731295593,0.1056501134848725,7.913862760189779E-5,3.3936707409682646E-5,2.148739136155537E-4,9.324507517459972E-5,1.7857897866957414E-5,2.2297090006992897E-5,1.4951477202082454E-6,8.255285886226624E-5,1.129507670316252E-4,2.402326647430468E-5,3.286454596597724E-5,2.477556297417515E-4,7.625373104919463E-5,1.1167468371014455E-5,1.2498473595543943E-4,7.944205537538271E-5,1.5090144721788195E-4,1.792431299373397E-5,1.6631362529465237E-4,1.4865735894265195E-4,1.587473015781337E-4,7.346251395981329E-5,2.2233468724089736E-5,3.3514327155285614E-4
4,0.016780592899352128,7.6701669623964E-5,2.792239173739001E-5,6.958720989724182E-5,6.09764355102785E-5,1.5141224343259553E-4,1.884827194868369E-5,6.140516814436113E-4,3.93301409001467E-5,3.705853810560002E-5,1.1509506067004856E-4,1.130139818987258E-4,3.2454092072336434E-5,1.8813964453277623E-4,2.2449092859364554E-5,1.0533803605765694E-5,1.8540734477982823E-5,4.464594453982295E-5,8.899664649501663E-6,1.2689769302155773E-5,0.02686512841359698,6.899089566032374E-5,3.9405003179477704E-5,5.392540905298832E-5,4.1926297576693374E-5,1.7518951362285037E-5,1.9611671008949526E-4,1.245033805883248E-4,1.3813630767988837E-4,1.2027961998970354E-4,4.4053798221962723E-5,0.08759879802768054,0.007198246948178475,4.063009099506783E-5,7.93956554690543E-5,2.241004369160026E-5,3.8367224365386046E-5,4.6128549208654835E-5,1.3915517672959615E-4,1.820902991332908E-5,6.169700538816812E-5,1.0923750883777302E-4,0.007311658780718069,1.289218074313117E-5,2.3658537970962482E-5,3.588516185557556E-5,5.342833933779764E-5,1.6428955906526449E-4,9.690145225921407E-5,2.7259752445145787E-5,3.9491241118424345E-5,5.88323631239807E-5,7.243861526413611E-5,2.6928396823924313E-5,0.13592959135923802,7.344436189305561E-5,3.5044446841492696E-4,3.3115471963023666E-5,1.4656197858145054E-4,1.5799405884439847E-5,3.623263584529182E-5,5.723226424236099E-5,1.751098391882758E-5,3.233579407319146E-4,0.2647139413185401,2.4760836283941345E-5,3.113943436578094E-5,1.5759813095229927E-4,6.151177158301965E-5,2.9815396780328562E-5,1.7871391274506784E-4,2.6113325423636476E-5,8.92597449051396E-5,2.816129788437896E-5,6.998032281608636E-4,5.557519857995785E-4,6.059483946886457E-5,2.59846474459488E-5,0.0035119576591981236,7.13958598055292E-5,1.367342961698914E-5,1.7072428857284844E-5,1.1448042357267876E-6,6.320904698548119E-5,8.648410774313605E-5,1.8394127111364512E-5,2.5163715209255863E-5,1.897014525855748E-4,5.838593278457507E-5,8.55070366672641E-6,0.4419568633370177,6.082716795094545E-5,1.1554217260102727E-4,1.3724282330351497E-5,1.273429642589946E-4,1.1382391979690281E-4,1.2154958389765868E-4,5.624875456227092E-5,1.702371533341995E-5,2.566123946573014E-4
5,1.627035514615134E-4,2.873667134891572E-4,1.0461266339662087E-4,2.607120276141008E-4,2.284513226215048E-4,5.672736850522359E-4,7.06160112471771E-5,0.0023005759128066033,1.4735237690327262E-4,1.388417012866663E-4,4.312095093332037E-4,4.2341264167753236E-4,1.215909096089354E-4,7.048747646754038E-4,0.5017372489202749,3.9465431946521434E-5,6.946380644298777E-5,1.6726830609981518E-4,3.334304708125796E-5,4.754286728273231E-5,3.2094403242440315E-4,2.584779059409996E-4,1.4763285224730528E-4,2.0203429272254265E-4,1.5707901017605162E-4,6.563564393627426E-5,7.347612472456046E-4,4.664582592968541E-4,5.175347152950937E-4,4.506337249973873E-4,1.6504979974783565E-4,0.08990811773523255,0.11475789886327316,1.5222270617131623E-4,2.974598687266546E-4,8.396037056788607E-5,1.437447610415172E-4,1.7282296003596345E-4,5.213519601050928E-4,6.822105838989823E-5,2.3115097438480527E-4,4.092638929289487E-4,0.00231084506639641,4.830121205998252E-5,8.863791800106792E-5,1.3444558737794884E-4,2.0017199570698056E-4,6.155192042184377E-4,3.630462283881859E-4,1.0213005152422546E-4,1.4795594707972117E-4,2.2041844617756422E-4,2.713949631111626E-4,1.0088861080548493E-4,0.03269665502164385,2.75163044103041E-4,0.03893694372615124,1.2406880306922624E-4,5.491019206479048E-4,5.919327918611855E-5,1.3574741638554751E-4,2.1442359418642748E-4,6.560579350338924E-5,0.0012114770012740396,9.993133923413481E-4,9.276773479695173E-5,1.1666547752449467E-4,5.904494278393979E-4,2.3045698649544672E-4,1.1170490324582612E-4,6.695607802557246E-4,9.78349042733061E-5,3.3441618241197407E-4,1.055077374494955E-4,0.0026218484519515625,0.11495411013873641,2.2702165360857194E-4,0.05026266703067429,6.163997615897328E-4,2.6748822665311915E-4,5.122820077350496E-5,6.396272461926423E-5,4.289067401298005E-6,2.3681591527343221E-4,3.240171163552147E-4,6.891453447374705E-5,9.427714121886233E-5,7.107261581252982E-4,2.187458721636504E-4,3.203564697839579E-5,3.585384570373086E-4,0.025310549196605223,4.328846369646758E-4,5.141872305525698E-5,4.7709690420665024E-4,4.2644711528248147E-4,4.5539170948805205E-4,2.1073882505639603E-4,6.378021691996433E-5,9.614114119650403E-4
6,3.06890803640226E-5,5.4202997322402594E-5,1.9731999733470855E-5,4.91754008775218E-5,4.309039929504562E-5,1.069989410346789E-4,1.3319564475911067E-5,0.0027994742272959817,2.7793547811302454E-5,2.618826749870927E-5,8.133456932430718E-5,7.986392719066484E-5,2.2934429906441806E-5,1.329532029595058E-4,1.586416731359307E-5,7.443954368102123E-6,1.3102236055517345E-5,3.1550082602010174E-5,6.289152524738607E-6,8.967517068125965E-6,6.05363381127905E-5,4.8754001719648927E-5,2.7846450961208067E-5,3.810762942760479E-5,2.962818158234401E-5,1.238016953785526E-5,0.05218048130639363,8.798317478281611E-5,9.761719597509612E-5,0.040299186800704524,3.11316287999117E-5,3.996505941624083E-4,0.047666535550295125,2.8712187416668392E-5,0.3406939382849223,1.5836572321904538E-5,2.711308071572019E-5,3.259779925914234E-5,9.833720320106575E-5,1.2867829402860357E-5,4.3599606556808436E-5,0.10652651754591196,0.04774668062778314,9.11055576398488E-6,1.6718849492832802E-5,2.5359074209305624E-5,3.775636369149218E-5,1.1609899202677901E-4,6.847763788054629E-5,1.9263730451207267E-5,2.790739298237567E-5,4.1575241275887874E-5,5.119041200080727E-5,1.902957038744486E-5,0.06767128322022004,5.1901145966594473E-5,2.476496362630731E-4,2.34018092036561E-5,1.0357138992622926E-4,1.1165013213510107E-5,2.5604624688539396E-5,4.044449463345865E-5,1.2374539160856845E-5,0.021518372789107888,1.8849010197335506E-4,1.7497813924765E-5,2.2005396829356874E-5,0.15387150262419605,4.3468706832021425E-5,2.1069735245314726E-5,1.2629229300336554E-4,1.8453581453384346E-5,6.307744978448335E-5,1.9900828251924665E-5,4.945320315473422E-4,3.927349110638262E-4,4.2820735683909097E-5,1.836264820363566E-5,0.002481805579085246,5.0453524895117306E-5,9.66264323255575E-6,1.2064624149318422E-5,8.090022189606586E-7,4.4668125495865734E-5,6.111598200421698E-5,1.299863259109192E-5,1.7782517574856766E-5,1.340568905078861E-4,0.1112216631045471,6.042551227690955E-6,6.762738380798883E-5,4.2984915944311324E-5,8.165053124425583E-5,9.698579470967901E-6,8.998983183282072E-5,8.043628841749902E-5,8.589580647779715E-5,3.974947491853157E-5,1.2030199618319833E-5,1.8134104523012066E-4
7,0.05693605323339655,1.6281206096824992E-4,5.92699242169685E-5,1.4771043597805087E-4,1.2943263405604277E-4,3.21397689645406E-4,4.000859455471981E-5,0.029725362412903626,8.348477066428703E-5,7.866291561869843E-5,0.021560760055554025,2.3989098804977373E-4,6.888921249113951E-5,3.993577118514905E-4,4.765193630359821E-5,2.2359751532105713E-5,3.935579508274943E-5,9.476844871877118E-5,1.889101959077745E-5,2.6936147588762715E-5,1.818358109052513E-4,1.4644465975214443E-4,8.36436783131872E-5,1.1446565673884494E-4,8.899554534725411E-5,3.7186890341237246E-5,4.1629036129883047E-4,2.6427914920859017E-4,2.9321730619642544E-4,2.5531351428213523E-4,9.351151959482595E-5,0.01541141680906973,0.0010685095600657993,8.624413112081425E-5,1.6853049434536912E-4,4.7569047945183486E-5,8.144082003930863E-5,9.791552391175044E-5,2.9538002534782E-4,3.865169693118874E-5,1.3096216356258425E-4,2.3187479537418827E-4,0.0013092450523240846,2.7365799564141116E-5,0.007155703062005291,7.61722292165084E-5,1.1341054352981237E-4,3.4873193553825496E-4,2.0568946191765796E-4,5.786336202115526E-5,8.382673269312954E-5,1.2488148352972887E-4,1.5376301849308574E-4,5.7160004560112096E-5,0.12510705431805097,1.558978831220963E-4,0.014954844470873396,7.02931013975174E-5,3.1110219515971543E-4,3.3536868841716447E-5,7.690980059762589E-5,1.2148500731289169E-4,3.7169978116297215E-5,6.863810529694624E-4,5.661764752945444E-4,5.2558996517937464E-5,6.609863268079834E-5,3.345282655629618E-4,1.3056897397851043E-4,6.328814251619342E-5,3.7935002719463286E-4,5.542987984225746E-5,0.00729495254321373,5.977704228049892E-5,0.058329319852926075,0.5767238701443175,1.2862263294049318E-4,5.5156739415833004E-5,0.05008761796891047,1.5154959646284822E-4,2.9024130339801315E-5,3.6239071999547935E-5,2.4300375459575015E-6,1.3417172353611775E-4,1.8357691418833112E-4,3.9044596543926515E-5,5.341417409715716E-5,4.026729094105473E-4,1.2393386082485523E-4,1.8150291819378402E-5,0.021519587145673938,1.2911578881538688E-4,2.452574936392931E-4,2.9132073688478647E-5,2.703066382056366E-4,2.4161021605491345E-4,2.580092240655487E-4,1.1939734430916929E-4,3.613566943665259E-5,5.447025214572373E-4
8,8.277204895127336E-5,0.012906472140016651,0.299919806551488,1.3263182344833222E-4,1.1621986053256646E-4,2.8858869278596965E-4,3.5924427507518925E-5,0.03307107091146369,7.49624580690804E-5,7.063282879904705E-5,2.1936887237046737E-4,2.1540237805940443E-4,6.185684720324813E-5,3.585903811081268E-4,4.278751979128381E-5,2.0077217956322994E-5,3.533826726948127E-5,8.509427296530444E-5,1.696258194983118E-5,2.4186445241430793E-5,1.6327360358040868E-4,1.3149526049793605E-4,7.51051440688472E-5,1.027807458217768E-4,7.991068051507899E-5,3.3390769187522856E-5,3.7379450773020114E-4,2.3730094103924874E-4,2.6328502607099984E-4,0.10231149293279794,8.396565398486257E-5,0.2881842112581224,0.03286013445645656,7.744013682263042E-5,1.5132652357072887E-4,4.271309286236446E-5,7.312715850724358E-5,8.792008766560005E-5,2.652269700017504E-4,3.4706045036097765E-5,1.1759325223727154E-4,2.0820449630760965E-4,0.0011755943815388492,2.4572237379713313E-5,4.509269786565668E-5,6.839639724989423E-5,1.0183334093510241E-4,0.013073412896884835,1.8469222040817142E-4,5.1956540273547074E-5,7.526951184720487E-5,1.121333016574539E-4,1.380665447679542E-4,5.132498311933215E-5,0.13785640627252718,1.3998347762842652E-4,0.0198083605622851,6.311742398199011E-5,2.7934418546393935E-4,0.0064102534997279225,6.905867569050119E-5,1.0908354534907127E-4,3.337558340042859E-5,6.163137359451951E-4,5.083799111054249E-4,4.7193656295378144E-5,5.93511360375276E-5,3.0037887006992926E-4,1.1724020032762613E-4,5.6827547011153424E-5,3.406251257661645E-4,4.977147341229838E-5,0.006550267429440519,5.3674867760790715E-5,0.014094091187026645,0.020199672563996147,1.1549254614723426E-4,4.952621577309194E-5,3.1358056281842895E-4,1.3607907382192884E-4,2.6061282031162195E-5,3.25397062675359E-5,2.181973864163168E-6,1.2047517313160687E-4,1.648369711361112E-4,3.5058836575331316E-5,4.7961535429665534E-5,3.615671558663741E-4,1.1128241440323775E-4,1.629746933034048E-5,1.8239898545684813E-4,1.1593535956456876E-4,2.2022105872452269E-4,2.6158206280754965E-5,2.4271313044346813E-4,2.1694610341459195E-4,2.3167106391445508E-4,1.0720899566613303E-4,3.2446859270130256E-5,4.890980666289075E-4
9,7.34053238707423E-5,1.2964834807759016E-4,4.719704252691962E-5,1.1762282170305225E-4,1.0306808410201013E-4,2.5593115946494113E-4,3.185911511762646E-5,0.012354217660246629,6.647948893891836E-5,6.263981307207907E-5,1.9454445465030335E-4,1.9102682033746382E-4,5.485694700212682E-5,3.180112537466673E-4,3.7945559977063556E-5,1.7805221752755705E-5,3.133928647186423E-5,7.54647582813936E-5,1.5043046988535495E-5,2.144943696240213E-5,1.447970891407867E-4,1.1661487551191192E-4,6.660602817719272E-5,9.114977858244625E-5,7.0867756184143E-5,2.961217292018734E-5,0.2492898743658793,2.1044727842936892E-4,2.334909290506485E-4,2.0330788254696984E-4,7.446385709753174E-5,9.559257218413716E-4,8.508614075873555E-4,6.86767863799792E-5,1.3420197534897416E-4,3.7879555415242865E-5,6.485187719747443E-5,7.797079559594667E-5,0.017209648084831868,3.0778608339719395E-5,1.0428605881886912E-4,1.846434717570168E-4,0.006700705701637753,2.179157174360207E-5,3.9989877416017954E-5,6.065646260220065E-5,9.030958478001909E-5,2.776976048061472E-4,1.6379191317892074E-4,4.607698751335932E-5,6.67517956211201E-5,9.944397207935034E-5,1.2244253419861856E-4,4.551689919809576E-5,0.09962359562754816,1.241425413779053E-4,5.923540731990706E-4,5.597487325718382E-5,2.47732787398562E-4,2.6705636051565295E-5,6.124379569400296E-5,9.673933503846406E-5,2.9598705600796192E-5,0.040153584811407295,4.508501661719321E-4,4.1853085297502894E-5,5.263478937794466E-5,2.663871260984602E-4,1.0397295928709408E-4,5.039677700366238E-5,0.04556723891307965,4.413918915435519E-5,0.05673232507632381,4.760086407936497E-5,0.0011828729798871878,9.393840740755441E-4,1.0242307472157798E-4,4.392168558079595E-5,2.7809487701345963E-4,1.206799712280853E-4,2.311211178438259E-5,2.88574187481262E-5,1.9350553744378267E-6,1.0684185318784844E-4,1.46183541490455E-4,3.1091476965353414E-5,4.253406900226938E-5,0.356783785493036,9.8689373694212E-5,1.4453200441750432E-5,1.6175818734457916E-4,1.0281577808854288E-4,1.9530020512537594E-4,2.319806780483189E-5,0.045480406923071474,1.923958532549856E-4,2.0545449452545413E-4,9.507691483343951E-5,2.877507858618338E-5,0.05701520020398591
