,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,4.193384568260375E-5,1.0440039138673488E-5,5.222871214121596E-5,2.8716771148922893E-5,6.330463876268798E-5,4.870982434759421E-5,7.551508122718702E-6,1.0853545289111368E-5,0.05641531646915983,3.2612943231217096E-5,2.533389612017004E-6,8.79940476164236E-6,6.64261789246413E-5,1.6368711292840945E-5,3.8759484953308806E-5,9.37576265163831E-6,7.547446999009785E-5,3.786074456100446E-6,2.0970865404486937E-5,4.1483866185572286E-5,1.565395602324418E-5,6.962436613473802E-6,2.2144820842693238E-5,9.717221223031352E-6,0.012515973403784148,5.593371987748974E-6,5.956540172379637E-6,0.01564254940657518,1.2812789679328413E-5,1.133506372260338E-5,1.066847607194269E-5,3.0360965460225035E-6,0.00523322477710021,5.394377799019553E-6,2.4446672251991256E-5,1.071673680196897E-5,4.139814948634996E-6,0.0686716855972858,1.0242680623332105E-5,0.0010711131993805306,0.007289778270467684,3.663645365180624E-5,1.0187086586012775E-5,7.581375509328269E-6,9.384627502158803E-6,1.3854518883491614E-5,1.7524669280960165E-5,4.4587941247847945E-5,7.091430038489157E-6,3.535045077755065E-5,2.471845820840136E-5,0.007711735041745769,1.4776204835071831E-5,1.437483356890815E-5,0.01667017081607153,1.0156997023426146E-5,0.0451302878434812,5.193863892507025E-5,3.4693641208088316E-5,6.666219371076598E-6,4.950606268424629E-6,2.884086302160085E-6,3.9453860194940115E-5,9.835620632537145E-6,1.0041030544304439E-5,1.6237830275512236E-5,3.212148947159077E-5,6.9081953365162964E-6,1.530450925871304E-5,1.7648443921450832E-5,1.200464859371311E-5,2.2379661133747768E-5,3.932927946030761E-6,5.35327327583938E-6,6.59906387397374E-5,3.367431435771928E-5,2.1422505194130387E-5,5.675890925151961E-6,2.4386004931308942E-5,2.3805564270676208E-5,7.388382318026227E-6,7.638732702112657E-6,2.611174830544179E-5,6.543241202991825E-6,2.3905207839411516E-5,0.04399636272592014,2.081214261185508E-5,0.003143435637752958,1.2563769629015877E-5,5.4940359136153885E-6,7.551348765191342E-6,0.0021103015280434997,0.0021155741672826242,1.983552980230585E-5,7.691488438148749E-5,1.638271771043398E-5,0.7105667543000695,1.2518762312770013E-5,1.0165815137596748E-5,9.224757650683039E-6
1,1.329313850654129E-4,3.3095196499392835E-5,1.6556638038077245E-4,9.103291389791231E-5,0.06286100531955623,0.013346059406411115,2.3938477803435824E-5,3.440602178660416E-5,0.10298604939365923,1.0338388106826707E-4,8.030911178162157E-6,2.789434271232522E-5,2.1057272056301487E-4,5.1889241935086586E-5,1.2286857871952398E-4,2.9721412263504607E-5,2.3925603935304713E-4,1.2001954822354895E-5,6.647819056088314E-5,1.315049383177385E-4,4.9623449079133075E-5,2.2071105747479054E-5,7.019965993402431E-5,3.080384484508309E-5,1.010183142156377E-4,1.7731135158586424E-5,0.3462996421819933,1.1860983603818402E-4,4.061687762950716E-5,3.5932447785857914E-5,3.3819347538851826E-5,9.624505276951448E-6,9.989911269207818E-5,1.7100318387618433E-5,0.013269144581128127,3.397233531238491E-5,1.312332141444513E-5,2.8843440496365385E-5,3.246956485574735E-5,9.754479438490416E-5,2.340335575455772E-5,1.1613851409387387E-4,3.2293330306734774E-5,2.4033158198368957E-5,2.9749514070980275E-5,4.39191863903264E-5,5.5553658921813456E-5,1.4134493726509215E-4,2.2480018270823797E-5,1.1206185142461108E-4,7.835815754164077E-5,0.004658929329585955,4.6840954907963675E-5,4.556859752055785E-5,0.013269932513745053,3.2197945608156736E-5,0.04742474218246343,1.6464684071621397E-4,1.0997974795015998E-4,2.1132089359376764E-5,1.5693551055542946E-5,9.142628837244292E-6,1.2506976635501607E-4,3.1179174062814754E-5,3.1830328843229236E-5,5.1474345694852344E-5,0.09244336190494928,2.189915948411335E-5,4.8515693716857246E-5,5.5946027762032266E-5,3.805504929989905E-5,7.094410978475655E-5,1.2467484217533285E-5,1.6970015976526656E-5,2.0919204681157453E-4,0.006702572451315693,6.790990047946239E-5,1.7992722343461667E-5,7.730427197798582E-5,7.54642599373491E-5,2.342136474584005E-5,2.42149819962148E-5,8.277492350676052E-5,2.074224535746835E-5,7.57801326504101E-5,0.06691555395662815,6.597503516641486E-5,7.103700459914144E-5,0.08248762742857492,1.741623721143687E-5,2.3937972635915708E-5,9.38869155248827E-5,1.1060131950090092E-4,6.287914707571535E-5,2.438221905609487E-4,0.14186214955836954,4.125850349081415E-5,3.968480320495805E-5,3.2225899260183676E-5,2.924272247004463E-5
2,0.017274500604058825,1.6663628387569022E-4,8.336365781030203E-4,4.583561388614833E-4,0.0010104224338039825,7.774706598036796E-4,1.2053166032352832E-4,1.732363672042538E-4,0.0037802091618867745,5.205439935725537E-4,4.043611570305178E-5,0.033350816014520494,0.0010602461792562155,2.6126542108151823E-4,6.18650605784583E-4,1.496490794734709E-4,0.0012046683963136192,6.043055676910185E-5,3.347216456034272E-4,6.621351903129455E-4,2.498570192140416E-4,1.1112933089413055E-4,3.5345946536252166E-4,1.550991919374811E-4,5.086332236942451E-4,8.9277320706606E-5,9.507394616987256E-5,5.972075829454739E-4,2.0450839598244706E-4,1.809220129483892E-4,1.7028242745372813E-4,4.845995682553458E-5,5.029979774192338E-4,8.610112072475979E-5,3.90199937288394E-4,1.7105272999779782E-4,6.607670429300888E-5,1.4522843937766312E-4,1.6348619131848068E-4,4.911438446366961E-4,1.1783728896221524E-4,5.847643298870476E-4,1.6259883987645185E-4,1.2100838174646441E-4,1.4979057374645463E-4,2.2113571711417535E-4,2.797159786798187E-4,7.116801705930232E-4,1.1318822978363101E-4,5.642380907443621E-4,3.945379863305678E-4,0.023457986428208913,2.3584699547546232E-4,2.2944060031165124E-4,3.941672249046403E-4,1.621185722427504E-4,0.05612938427954144,8.290066411699935E-4,5.537545758441391E-4,1.0640132749899708E-4,7.901796349077634E-5,4.6033680275053246E-5,6.297337165223677E-4,1.56988996884671E-4,1.6026759995439898E-4,2.5917639382138703E-4,5.126997674050958E-4,1.1026357122553038E-4,2.4427940504225687E-4,2.816915791402625E-4,1.9160943788799388E-4,3.572078146633064E-4,6.27745249775652E-5,8.544504033059217E-5,0.0010532944047535638,5.374848247307549E-4,0.5649181581526745,9.059442774955447E-5,0.11662551379618324,3.799670396765792E-4,1.1792796530504018E-4,1.2192387538898598E-4,4.1677666580750293E-4,1.0443843974969977E-4,3.815574775844847E-4,0.13766159829478086,3.3218822824940904E-4,3.576755455819218E-4,2.0053371971510397E-4,8.76917908030731E-5,1.2052911677500192E-4,4.7272620689544243E-4,0.017162067395075187,3.166002474758658E-4,0.001227659239377904,2.6148898129495354E-4,2.077390203774011E-4,1.9981534578692142E-4,1.6225932054423308E-4,1.4723884787648203E-4
3,2.4396086878232846E-4,6.073759696809545E-5,0.11530053462120937,1.6706715837943944E-4,3.6829092154797786E-4,2.833818571284408E-4,4.3932829251563994E-5,6.314327472231848E-5,0.08611225243265155,1.8973413563013952E-4,1.4738641797601489E-5,5.119278700708794E-5,3.864512795464569E-4,9.5229163050629E-5,2.2549321362833028E-4,5.454589639364948E-5,4.390920262605107E-4,2.202645616087685E-5,1.2200337126051642E-4,2.4134299800889798E-4,9.107089152319996E-5,4.050575513444048E-5,1.2883315717579586E-4,5.653241893586357E-5,1.8539275496788163E-4,3.254087163582205E-5,3.465369540369681E-5,2.1767740275756547E-4,7.454167989631719E-5,6.594463132239179E-5,6.206658723348017E-5,1.7663267916826223E-5,1.8333875262753341E-4,3.1383172064632854E-5,1.4222476628006494E-4,6.234735636957124E-5,2.4084431919537562E-5,5.293460832219636E-5,5.958941334504539E-5,1.790180157351458E-4,4.295075237118965E-5,2.1314193622136665E-4,5.926598081881831E-5,4.410659040957175E-5,5.459746992809166E-5,8.060220588783168E-5,1.0195424419849112E-4,2.5940174832457644E-4,4.1256207365131284E-5,2.056602856989077E-4,1.438059505709241E-4,0.08117973160398087,0.0061384212303357945,8.362926960278882E-5,1.436708109870619E-4,5.909092709525869E-5,0.0809832818871543,3.021663114668341E-4,0.0062542960088680585,3.878243559083118E-5,2.880141772318178E-5,1.6778909457619278E-5,0.024439360442215004,5.722123777268041E-5,0.49635988048564716,9.446772926904115E-5,1.8687497773004456E-4,4.0190192637488155E-5,8.9037895625007E-5,1.026743348158859E-4,6.984011250758629E-5,1.3019940061228863E-4,2.2880813885619925E-5,3.114403599154718E-5,3.839174131631299E-4,1.9590893352685067E-4,1.246309012107159E-4,3.302094665236599E-5,1.4187181863075136E-4,1.384949566821394E-4,4.298380317523392E-5,0.018201810922855496,1.5191177194281914E-4,3.806697865529744E-5,1.390746586198351E-4,0.07438638259706457,1.2107996083259832E-4,1.3036988480314812E-4,7.309294208490134E-5,3.1962958626591204E-5,4.393190214840451E-5,1.7230493361272432E-4,2.029798604794058E-4,1.153982661155211E-4,4.474720052633849E-4,9.531064896609663E-5,7.57192167321866E-5,7.283110051530122E-5,5.9142228729035966E-5,5.366738619207245E-5
4,8.222341829358781E-5,2.047071264576843E-5,1.0240947796266939E-4,0.016375439238589935,0.00828369288824485,0.018454532859104138,1.4806913151285588E-5,2.128151090719595E-5,0.010663843429704136,6.394709641901115E-5,4.967442178953769E-6,1.7253775003785525E-5,1.302477129501936E-4,3.209558707649316E-5,7.599916707572645E-5,1.8383891145163094E-5,1.479895014507844E-4,7.423692690884284E-6,4.111943968084432E-5,8.134110349975756E-5,3.069410289222762E-5,1.3651868286665124E-5,4.342131844923291E-5,1.9053419314796923E-5,6.248389799728794E-5,1.0967421593081138E-5,1.1679517730931851E-5,7.336496311614037E-5,2.5123175519965105E-5,2.2225666896912668E-5,2.091862924421411E-5,5.9531443448528704E-6,0.6059095564742163,1.0577236000714157E-5,0.0020878262272279557,2.101325834697134E-5,8.117303114912583E-6,0.03469599572048696,2.008373426359138E-5,6.03353860123046E-5,1.4475918600665546E-5,7.183635090868353E-5,1.9974726093443206E-5,1.4865476790812538E-5,1.8401273245483052E-5,2.7165786559049723E-5,3.436217664488973E-5,8.742753936333178E-5,1.3904797159977598E-5,6.931477077370108E-5,4.846767797605336E-5,0.004921626991663161,2.8973018123397818E-5,2.8186013808110458E-5,4.842213116935692E-5,1.9915726813731116E-5,0.10073031532173914,1.0184070562617918E-4,6.802690587388014E-5,1.3071048811824961E-5,9.707093718437637E-6,5.655084349101156E-6,7.736069032779125E-5,1.928557556030787E-5,1.9688341031062143E-5,3.1838957033163434E-5,6.298345935229501E-5,1.3545512593991187E-5,3.0008911562320467E-5,3.4604872583541124E-5,2.3538581466137427E-5,4.38817906804162E-5,7.711641380871063E-6,1.0496638708760942E-5,1.2939371059901222E-4,6.602822112099215E-5,4.200500995796505E-5,1.1129223807897867E-5,0.028606296305147452,4.667768569470162E-5,1.4487057887467711E-5,1.4977942136589617E-5,0.04900859476489315,1.2829914587409948E-5,4.687306569620213E-5,0.11482605927398175,4.080821779411168E-5,4.393924986642194E-5,2.4634899774513213E-5,1.0772644523576228E-5,1.480660068481806E-5,0.002097964304671602,6.84113729249894E-5,3.8893286257466206E-5,1.5081384997144646E-4,3.2123050704352715E-5,2.5520046970272103E-5,2.4546649929317387E-5,1.9933017273935934E-5,1.808780221852502E-5
5,4.021839249265277E-4,1.0012952184159315E-4,0.020456587571305442,2.7542009429108857E-4,6.071493722836869E-4,4.6717175636300435E-4,7.242586808987808E-5,1.0409542393946246E-4,0.0022714772979653053,3.1278794726852976E-4,2.4297522942232264E-5,8.439433794937263E-5,0.03057058749174221,1.56990909051659E-4,3.717389028576335E-4,8.992213714326117E-5,7.238691819996751E-4,3.6311916067603527E-5,2.0112977524933744E-4,3.978682100831439E-4,1.5013575243511237E-4,6.677613366190046E-5,2.123890813811984E-4,9.319703707688758E-5,3.0563092441047095E-4,5.364555201146762E-5,5.712866698758332E-5,3.5885407625336243E-4,1.2288636919909708E-4,1.0871362602309893E-4,1.0232044091721948E-4,2.911894212082163E-5,0.5391052392887814,5.1737015778789824E-5,2.3446594123794154E-4,1.0278330544838365E-4,3.970461085571853E-5,8.726583343357683E-5,9.823667321238674E-5,0.040206454716228995,7.080685625285692E-5,3.513770913499807E-4,9.770347555861478E-5,7.271232363857384E-5,9.000715916588232E-5,1.3287750483717076E-4,1.6807760318009255E-4,4.276391283352346E-4,6.801329856099086E-5,3.3904314784883715E-4,2.3707261708437533E-4,0.05400692429354962,1.417173159139295E-4,1.3786779845253896E-4,2.3684983148551303E-4,9.741488913913851E-5,0.00379389915516756,4.981390406292317E-4,3.3274374348284905E-4,6.39351394425784E-5,4.7480841010174194E-5,2.7661024882122287E-5,3.7839859637024014E-4,9.433259567994166E-5,9.630266456316963E-5,1.5573564041624564E-4,3.0807445632227937E-4,6.62559102169793E-5,1.4678423842478844E-4,1.6926471516346967E-4,1.1513555721378033E-4,2.146414145132961E-4,3.772037532069403E-5,5.134278581500442E-5,6.329105681753969E-4,3.229674669026525E-4,2.0546141381706242E-4,5.443698407750558E-5,2.338840861576451E-4,2.2831712946001355E-4,7.086134245861135E-5,7.326243156550701E-5,0.09005093462794746,6.275566635787807E-5,2.2927280239950446E-4,0.15256385210881232,1.9960747852990106E-4,2.149224677877824E-4,1.2049803920956681E-4,5.269282822638412E-5,7.242433970547219E-5,0.040195387803203864,3.346243083003799E-4,1.9024086865941696E-4,7.376840731459472E-4,0.010134958475047424,1.248276083361739E-4,1.2006637789151888E-4,9.749946291742792E-5,8.847386110324798E-5
6,0.015667899684077908,7.706212953294295E-5,3.855211390401524E-4,2.1197004231991376E-4,4.6727700993909034E-4,0.023397100457288312,5.574071987587972E-5,8.011438480751096E-5,0.03246492269012965,2.4072925612172536E-4,1.8699968060030875E-5,6.495194707101818E-5,0.061923794740286406,1.2082404416124914E-4,2.8609935369280145E-4,6.920627656023167E-5,5.571074308775194E-4,2.79465389240342E-5,1.547943953803818E-4,3.0620910774919124E-4,1.1554814792768215E-4,5.139254604754247E-5,1.6345983282207052E-4,7.172671966483173E-5,2.352210362439704E-4,4.128692918871698E-5,4.396761968369608E-5,0.007955367424233313,9.457635597257134E-5,8.366866610869926E-5,7.874831445120528E-5,2.2410650208906675E-5,0.1077411986529502,3.9818073014474896E-5,1.8045072424620456E-4,7.910454631769923E-5,3.05576398303291E-5,0.03846308466176149,7.560534692210695E-5,2.271329490456924E-4,5.449468875932978E-5,2.704284054342999E-4,7.519498496385611E-5,5.596118307387588E-5,6.927171158878149E-5,1.0226577837828794E-4,1.2935663518239758E-4,3.2912153473837384E-4,5.234469841932891E-5,2.6093590078376535E-4,1.8245688574616722E-4,0.10299852652388665,1.0906911323612959E-4,1.0610643042497712E-4,1.8228542449915595E-4,7.49728817955786E-5,0.025957431246973306,3.83379991918026E-4,2.5608772507790164E-4,4.920604739554557E-5,3.654241679140027E-5,2.1288601436171103E-5,2.912248167398547E-4,7.260067334553782E-5,7.411688655295044E-5,1.198579587111069E-4,2.3710163818076545E-4,5.099216935781843E-5,1.129687407554033E-4,1.3027026560577903E-4,8.861114145628815E-5,0.16910725334618354,2.903052362112726E-5,3.951466399008087E-5,4.87103456507677E-4,2.485636634593428E-4,1.5812813038936348E-4,4.189603466797841E-5,1.8000291434216707E-4,1.7571844828014133E-4,5.453662267620445E-5,5.638455959203691E-5,1.927413205561251E-4,4.8298296055460364E-5,1.7645395755352714E-4,0.0022291046119449986,0.03854954554010317,0.2228617614897855,9.273823878559661E-5,4.055368965670991E-5,5.573954359385124E-5,2.1861558204556116E-4,2.575350537667665E-4,1.4641402648745853E-4,5.677397090649829E-4,1.209274311651205E-4,9.607038110206808E-5,0.046167513311497876,7.503797184432506E-5,0.0922183062275351
7,1.881585999485303E-4,4.684481272261627E-5,2.3435201788999874E-4,1.288531344184643E-4,2.8405007949881974E-4,2.1856264799448934E-4,3.3883875250205294E-5,4.87002289638406E-5,0.0010626928668969076,1.463353918224675E-4,1.1367405845131446E-5,3.948323015405948E-5,2.9805653697953445E-4,7.344696747191854E-5,1.7391513477539654E-4,4.206936772111587E-5,3.3865652849210376E-4,1.6988245589320826E-5,9.409699039013411E-5,1.8613952655354929E-4,7.023983612863337E-5,3.124069123870239E-5,9.936456859716933E-5,4.360150401073821E-5,1.429870347218748E-4,2.5097651433452476E-5,2.67271995002615E-5,0.07952475654012664,5.7491425559796626E-5,5.086081864552708E-5,4.786981705600848E-5,1.3623069053386468E-5,1.414028535924177E-4,2.4204757701915842E-5,1.0969305460680672E-4,4.808636460242171E-5,1.85754912792151E-5,0.01404498007281606,4.595925831352089E-5,1.3807041831918955E-4,3.312643324003631E-5,1.643890207060793E-4,4.570980596644386E-5,3.4017891235553114E-5,4.21091446086285E-5,6.216570013180802E-5,7.863379050480016E-5,2.0006761753460693E-4,3.181948914903867E-5,0.42961932405203224,1.1091256748980977E-4,0.14663604640441252,6.630133652333286E-5,6.450036992292737E-5,1.1080833899191969E-4,0.009381677083726657,0.14181648037121353,2.3305044944703607E-4,1.5567155481612877E-4,2.9911554339789392E-5,2.2213539664682563E-5,1.2940993889580232E-5,1.770308202360904E-4,4.4132766211108846E-5,4.505444751136981E-5,7.28596998703061E-5,1.4413022199257297E-4,3.09973087736408E-5,6.867185654315978E-5,7.918917155046271E-5,5.386526886572212E-5,1.0041830501597473E-4,1.7647182221844055E-5,2.4020320300403158E-5,2.961022532719746E-4,1.5109780037187687E-4,9.612351357485632E-5,2.546791672818617E-5,1.0942083826374548E-4,1.0681638116518838E-4,3.315192418474061E-5,0.06071894014419052,1.1716430781349861E-4,2.935974709305587E-5,1.072634852664678E-4,0.06670775240224727,9.338479579039292E-5,1.0054979358963654E-4,5.637406407617393E-5,2.4651927070969005E-5,3.3883160207529115E-5,1.3289284972059048E-4,1.5655136234012096E-4,8.900270070835717E-5,0.033021477734435145,0.009409612105403526,5.8399619089074054E-5,5.6172114708678276E-5,4.561436024979933E-5,4.139180311661891E-5
8,1.7209192207010766E-4,4.2844780215490954E-5,2.143409294644529E-4,1.1785049194082649E-4,2.597953224486702E-4,1.9989979834242398E-4,3.0990564452470705E-5,4.4541764287862523E-5,9.719505676833689E-4,1.3383995657120882E-4,1.0396754234857002E-5,3.611179594558629E-5,2.72605782294294E-4,6.717540312226301E-5,1.5906469238592775E-4,3.847710576811998E-5,3.097389804438303E-4,1.5537635998912444E-5,8.606214088370248E-5,1.7024525536745393E-4,6.42421255715786E-5,2.8573079325301718E-5,0.07694099517181788,3.9878414446153286E-5,1.307775123918E-4,2.2954587650045735E-5,2.4444990209373365E-5,0.05565641236875625,5.2582289248763076E-5,4.6517863340618954E-5,0.6618086635458834,1.245980857921127E-5,1.2932860293164223E-4,2.2137937236476953E-5,1.0032647250877939E-4,4.398031720079973E-5,1.6989348339704306E-5,3.7340490446945614E-5,4.2034842426835157E-5,1.262807210304114E-4,3.0297799670939155E-5,0.021497606238846664,4.1806690570448426E-5,3.111313694457542E-5,3.8513486146310974E-5,5.6857432110162506E-5,7.191932843532482E-5,0.021530238275366202,2.910245425106742E-5,1.4507438851183577E-4,1.0144185238555708E-4,0.0017619622968736584,6.0639930575793506E-5,5.899274674293852E-5,1.0134652385663898E-4,4.168320629240307E-5,0.0998207545973964,2.1315050067131498E-4,1.4237891378484922E-4,2.7357436119565655E-5,2.0316747349956334E-5,1.183597514312168E-5,1.6191433252803853E-4,4.0364312689496856E-5,4.120729252959651E-5,6.6638281723833E-5,1.3182308402527484E-4,2.835047904967218E-5,6.280803422149068E-5,7.24272860394711E-5,4.92657665100662E-5,9.184368466787377E-5,1.6140306680158724E-5,2.1969248763366415E-5,0.004540269219954227,1.381957077363172E-4,8.791562124587503E-5,2.3293236355255096E-5,1.0007750045164717E-4,9.769543538439842E-5,3.0321113968934282E-5,3.1348524598393824E-5,1.0715976274884162E-4,2.685274715117111E-5,9.810436170599973E-5,0.02685603622631553,0.004354861606883586,9.196394556149174E-5,5.1560338163793606E-5,2.254692325270096E-5,3.098991046658572E-5,1.215452599245864E-4,1.4318359540927125E-4,8.140284758986035E-5,0.004585101130766421,6.72328839300846E-5,5.3412933025384177E-5,5.137563305426007E-5,0.012850071935878367,3.785739773911439E-5
9,2.2873253680375435E-4,5.694628283305581E-5,2.848869601055774E-4,1.5663862464278876E-4,3.453017575643405E-4,0.03431362410804626,4.119048900683501E-5,5.9201795277335364E-5,0.001291848660412414,1.77890701806244E-4,1.3818637981713203E-5,4.7997271433859094E-5,3.6232852409042094E-4,8.928484371689746E-5,2.114176549816213E-4,5.1141075684093247E-5,4.1168337183812505E-4,2.0651538173399843E-5,1.1438777352415131E-4,2.2627807668472018E-4,8.538613651875124E-5,3.7977336993822786E-5,1.2079123595657225E-4,5.3003597090769704E-5,1.7382031536654404E-4,3.0509631139689013E-5,3.249056989702904E-5,2.0408971646192583E-4,6.98886982383672E-5,6.182828781617945E-5,5.819231592150234E-5,1.6560705407492307E-5,0.022870515385388455,2.9424196573496384E-5,0.0341812782132364,5.8455559109128504E-5,2.2581052600482393E-5,4.963036615946887E-5,5.5869770218030275E-5,0.607355951474808,4.026971455105633E-5,1.9983735922286832E-4,5.556652674059057E-5,4.135340378356723E-5,5.11894299362476E-5,7.557091888024012E-5,9.559013717989988E-5,2.4320957800223777E-4,3.868094509020606E-5,1.9282272235908484E-4,1.3482940951038875E-4,0.12150963646201694,8.059835107515526E-5,7.84090296233467E-5,0.07957987571219939,5.540240008180882E-5,0.007832345078419421,2.8330472548082993E-4,1.8924008602858424E-4,3.636158913679681E-5,2.7003598455151817E-5,1.5731549671050215E-5,2.1520519719070465E-4,5.364941902413847E-5,5.476984882108074E-5,8.857093955128284E-5,1.7521001599431272E-4,3.768147228892852E-5,8.34800426790863E-5,9.626527887154653E-5,6.548060836253658E-5,1.2207219682820817E-4,2.145256585744506E-5,2.9199987662816623E-5,3.5995282470603624E-4,1.836800613630236E-4,1.1685128988247844E-4,3.095973929407576E-5,1.330160084211198E-4,1.2984993427243635E-4,4.030070228400786E-5,4.166626457646507E-5,1.4242925572558612E-4,3.569079188699489E-5,1.3039345051527076E-4,0.08109240521356217,1.1352200349003488E-4,1.2223203919003802E-4,6.853039239029148E-5,2.99677921582448E-5,4.118961977457409E-5,1.615494516221191E-4,1.9030961251802886E-4,1.0819496701706221E-4,4.195402624339682E-4,8.936124318313857E-5,7.099273180322792E-5,6.828489528760348E-5,5.545049940566605E-5,5.031740314997885E-5
