,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,9.734726977448364E-5,2.1388924947960788E-4,1.0036923504246279E-4,2.1358038046034872E-4,1.0480427403277319E-4,9.81887584677255E-4,1.212333729909062E-4,0.0013928494848208617,6.35702359028441E-5,1.044406783352537E-4,6.196748518180158E-4,0.021750444611127843,1.0928632329077723E-4,2.1779436380462786E-4,4.3329575029998495E-4,6.823455639454178E-4,0.0022201007227383375,2.6856862137241734E-4,1.386030434364459E-4,1.4090021676299594E-4,1.0479092196754397E-4,0.20323022971889548,2.73823857765248E-4,3.3311544290719235E-4,7.528545936238478E-5,0.005861987080327435,9.057595394555306E-5,0.0012897149084892215,1.3098499220247267E-4,5.261034831055737E-4,3.526733249515289E-4,0.4767522575631083,0.001739736354006814,0.004650935403817483,0.09040876302451946,2.3539712258155687E-4,1.9582739419075454E-4,3.4481304015409296E-4,7.963237169847723E-5,8.282522983485895E-4,1.1586399507958965E-4,5.033047964825435E-5,8.598885212793323E-4,3.1673582181993086E-4,1.2209025373414694E-4,2.1119082881721518E-4,7.705793699269326E-4,9.95696402736077E-4,5.76603066137634E-4,4.531079001723803E-4,1.351106579822193E-4,7.097871422209002E-4,2.2167720501479178E-4,1.3675531583501216E-4,4.328010618481325E-4,1.4867934336293808E-4,0.02475501198041035,1.7420086364577553E-4,2.0340493777116017E-4,1.2433307943815163E-4,9.953814239083015E-5,1.0727615401765713E-4,0.001003583245631277,1.0164984871143392E-4,6.780566964099441E-5,4.4022426162866303E-4,9.095505870031332E-4,5.905112337150466E-5,2.250767698271512E-5,2.2364426939557651E-4,6.794494971782345E-4,0.04374754527283404,2.7437657723053453E-4,1.605524841701278E-4,2.1120315380700595E-4,1.8498842413048827E-4,8.356484291780656E-4,9.371061578959956E-5,2.3888514556800965E-4,3.136382664182885E-4,1.675128192770163E-4,3.452565941900277E-4,1.1199999180328109E-4,7.528766817184112E-5,7.322889529185417E-5,2.2103107943386056E-4,0.08861849173552369,6.156008540484281E-4,0.001138770871880343,8.841142113235279E-5,2.7798930298148086E-4,6.135892070410344E-4,3.6361738112115417E-4,7.843025830292937E-5,1.9324602130648796E-4,0.0022292749607665443,0.0029625209521760517,7.438083910572493E-5,3.639846735711601E-5,0.002946398056670609
1,1.4348113988960575E-5,3.1525355972038285E-5,1.4793524550921807E-5,3.1479831450331044E-5,1.544720949890109E-5,1.447214187098568E-4,1.7868711253735035E-5,2.0529351489745714E-4,9.369682304928919E-6,1.539361875592503E-5,9.133451231425977E-5,1.2528314608726087E-5,1.610782333847725E-5,3.210093477979645E-5,6.386390528094664E-5,1.00571612886843E-4,0.00990709903398459,3.95846047068029E-5,2.042884480530392E-5,2.0767427539242896E-5,1.5445241524305183E-5,0.18323232987471819,4.03591793916189E-5,4.909822697018558E-5,1.1096401112688378E-5,0.1381755618710028,1.3350082800270627E-5,1.9009240385615492E-4,1.930601241635242E-5,7.754293225762945E-5,5.198088327482435E-5,1.6579672912258987E-5,2.564215265189839E-4,0.06135805483993044,0.04525836072622511,3.469542345972197E-5,2.8863200586099493E-5,5.082234783237616E-5,1.1737096982667685E-5,0.02566841325009909,1.7077313133378398E-5,7.41826104404523E-6,0.03205966021893675,4.668401780951313E-5,1.7995007785804658E-5,3.1127632981513025E-5,1.1357648409520268E-4,0.054432721339112325,8.498611762294623E-5,6.678403838169035E-5,1.9914098529350676E-5,1.0461625526916906E-4,3.26732307302995E-5,2.0156506338007026E-5,6.379099264238322E-5,2.191400099167866E-5,0.029195002913065413,2.567564405612241E-5,2.9980062510423074E-5,1.832558016788563E-5,1.4671028952137812E-5,1.581154242649431E-5,1.4791916444176372E-4,1.4982275513745781E-5,9.993947229959196E-6,6.488510567565699E-5,0.05442002421892938,8.703605671461851E-6,3.3174296076596232E-6,3.296315836796728E-5,1.0014475863411E-4,6.141151762843401E-5,4.0440645280803264E-5,2.3663995399361478E-5,3.1129449574406084E-5,2.726563366606251E-5,1.2316707951151506E-4,1.3812103826226648E-5,3.52095267470733E-5,4.622746594018136E-5,2.4689886333399545E-5,0.17248865770754443,1.65077937252776E-5,1.1096726671380809E-5,1.0793282023905175E-5,3.257799761787775E-5,0.009868278399666601,0.05756999070287814,1.678446074029491E-4,1.3031050087708782E-5,4.097312863658216E-5,0.02883006587352346,5.359393894435818E-5,1.155991625569985E-5,2.848272938770563E-5,0.006715159197604543,0.08665553399516754,1.0963068204746047E-5,5.364807455547679E-6,4.342726331400706E-4
2,4.313899353605793E-5,9.47840342323769E-5,4.447816350418901E-5,9.464716035130988E-5,4.644353057383964E-5,0.16365112621697142,5.372400998944136E-5,6.172348239615277E-4,2.817085678983559E-5,4.6282404817756616E-5,2.746060520132018E-4,3.7667590551577946E-5,4.842973002675958E-5,9.651456763115496E-5,1.920130129452474E-4,3.0237828899146765E-4,9.83827393921533E-4,0.5665745695652851,6.142129932081612E-5,6.243928108357966E-5,4.6437613667726595E-5,0.03245488917330917,1.2134377941485658E-4,1.4761857185748348E-4,3.33624040234188E-5,0.0890061869667111,4.013831616265501E-5,5.715312122216032E-4,5.804539505867244E-5,2.331403316144958E-4,1.5628555706461016E-4,4.984839144309786E-5,7.709561398466352E-4,0.05006574858797585,0.0016604598623628148,1.0431514898134471E-4,8.678000638074738E-5,1.5280230811624525E-4,3.528871817278239E-5,3.6703618527214566E-4,5.134459493706717E-5,2.2303719880820417E-5,0.038784822046416034,1.4036001833211628E-4,5.410373273800399E-5,9.358824156369502E-5,3.4147869308822493E-4,4.412382677091427E-4,0.009856460592602404,2.0079267576743678E-4,5.987366481720527E-5,3.145388978158104E-4,9.823523080183082E-5,6.060248735783758E-5,1.9179379403981467E-4,6.588656515110923E-5,0.001369127760132037,7.719630913326948E-5,9.013795986307502E-5,5.509763060254301E-5,4.410986862946164E-5,4.7538932786319246E-5,4.447332857560189E-4,4.504566154410234E-5,3.0047769712773667E-5,1.950833507792181E-4,4.030631468591075E-4,2.616823291831053E-5,9.974173226618132E-6,9.910692630807629E-5,3.0109491036319245E-4,1.846396720886688E-4,1.2158871449619463E-4,7.114809272882788E-5,9.359370332606542E-5,8.197676679888174E-5,3.703137465307588E-4,4.152742709859925E-5,1.0586085027748573E-4,1.389873509449508E-4,7.423253312330892E-5,1.529988670411479E-4,4.963227970987963E-5,3.336338284714011E-5,3.2451047142525945E-5,9.794890323122875E-5,8.67109399194286E-4,2.728006786950255E-4,5.046410587056214E-4,3.917911343150961E-5,1.231896772471651E-4,2.7190922660345863E-4,1.611353650710743E-4,3.4756007166913585E-5,8.563608289499884E-5,0.010588834518905459,0.020514710701245786,3.296152572970762E-5,1.6129812902596854E-5,0.0013056827070324606
3,5.536472351584001E-5,1.2164613540659343E-4,5.7083418574507095E-5,1.2147047102593326E-4,5.9605777014033325E-5,5.584330693118355E-4,6.894956779048331E-5,7.92161164919494E-4,3.6154568512821536E-5,5.93989876987156E-5,3.5243029332103894E-4,4.834270726907068E-5,6.215487180147453E-5,1.2386710755510198E-4,2.4643012044940903E-4,3.8807327188132606E-4,0.001262647252218498,1.52744165314143E-4,7.882829375790262E-5,8.013477483731078E-5,5.9598183237633706E-5,0.004687071187764229,1.5573299808339767E-4,1.8945415149431826E-4,4.2817416985781625E-5,0.0033339126480650817,5.151364449148058E-5,7.335050021246618E-4,7.44956473336576E-5,2.992130539494115E-4,2.0057738827793404E-4,6.397558644129357E-5,0.2227832774625414,0.0026451461177998147,0.002131039545742441,1.3387839883279687E-4,1.1137374023241884E-4,1.961069753369861E-4,4.5289654781385775E-5,4.710554246221737E-4,6.589581883377637E-5,2.8624666070250813E-5,4.890480271851801E-4,1.8013850047615115E-4,6.943690519137267E-5,1.201114512367251E-4,4.3825485667804E-4,0.062175683801328006,3.279338949007011E-4,2.576979680478125E-4,7.684205464167546E-5,0.13594435404272465,1.2607541222101244E-4,7.77774278422693E-5,2.461487741987464E-4,8.455903033413421E-5,0.0017571429855963753,9.907399225794122E-5,0.049403201096289845,7.071247691807954E-5,5.661074774377622E-5,6.101161974844671E-5,5.707721341155582E-4,5.7811747390276064E-5,3.856340461501099E-5,2.5037060193365887E-4,0.2715986401558542,3.358439457354011E-5,1.2800886106191451E-5,1.2719414904673233E-4,3.8642617960827144E-4,0.09881200264644378,1.560473485572045E-4,9.131169180658774E-5,1.2011846088017666E-4,1.0520924705276106E-4,4.752618573183299E-4,5.329643394940104E-5,1.358621568643187E-4,1.7837681472179754E-4,9.527027256250624E-5,1.963592396955115E-4,6.369822794547804E-5,4.2818673211304264E-5,4.164777862385005E-5,1.2570793849290852E-4,0.0011128510011308144,3.5011327137846255E-4,6.476579632444209E-4,5.0282600610933984E-5,1.581020293181859E-4,3.489691788873857E-4,2.0680164752400019E-4,4.4605971757369014E-5,1.0990562513931154E-4,0.0012678649553248807,0.12490368141140758,4.2302928489978644E-5,2.0701053930895876E-5,0.0016757173997080583
4,5.403314375006669E-5,1.1872041805074684E-4,5.571050238694164E-5,1.1854897858299149E-4,5.817219545605128E-5,5.450021673147979E-4,6.729125824790326E-5,7.731088566724126E-4,3.5285013156726155E-5,5.797037964101621E-5,3.4395397450952015E-4,4.7180014371240525E-5,6.0659981835819796E-5,1.2088797348576898E-4,2.4050321715739435E-4,3.7873970198953785E-4,0.0012322792592873602,1.490705076679695E-4,7.693239047738814E-5,7.820744931427019E-5,5.8164784317951956E-5,0.07672749394946095,1.5198745586910776E-4,1.8489758011363736E-4,4.1787613124038626E-5,0.12350898145952516,5.0274687222119875E-5,7.158634362159425E-4,7.270394875144931E-5,2.9201666565388816E-4,1.9575329136672774E-4,6.243690637573999E-5,0.614267440200873,0.002581527574722139,0.014105311097153865,1.306584826905465E-4,1.0869508477251117E-4,1.913903965535478E-4,4.4200391003368386E-5,4.5972604677735904E-4,6.431095516182076E-5,2.7936212778684044E-5,4.7728590834600923E-4,1.758059802893184E-4,6.776687467231301E-5,1.1722264464747639E-4,4.27714366951989E-4,5.526668286136647E-4,3.2004674020668234E-4,2.5150006118325116E-4,7.499392249861456E-5,3.939713027023552E-4,1.2304316610445772E-4,7.590679899104729E-5,2.4022863757963765E-4,8.2525296818349E-5,0.0017148818507688665,9.669115865872144E-5,1.1290104249994375E-4,6.901176755889908E-5,5.524919978626961E-5,5.954422619574805E-5,5.570444646467838E-4,5.642131412952176E-5,3.7635914219976565E-5,2.443489259221465E-4,5.048511142567226E-4,3.2776654600864575E-5,1.2493011346948834E-5,1.2413499613419358E-4,3.7713222401605676E-4,2.3126784206481724E-4,1.522942458837684E-4,8.911554968816111E-5,1.1722948570163872E-4,1.0267885413013368E-4,4.6383131034796754E-4,5.2014598720609685E-5,1.3259452925730846E-4,1.7408666492815347E-4,9.297892241808354E-5,1.916365936892261E-4,6.216621864313685E-5,4.178883913601767E-5,4.064610579351326E-5,1.2268453050557623E-4,0.001086085765411676,3.4169267937888577E-4,6.320811088101801E-4,4.907325124021375E-5,1.5429950941383625E-4,0.1085703037253913,2.0182785063882724E-4,4.353315127434474E-5,1.0726227938976935E-4,0.001237371471152406,0.03772093961258616,4.128549861707238E-5,2.020317183568995E-5,0.0016354146357654704
5,1.995592148274111E-5,4.38467054957538E-5,2.0575416017627077E-5,4.3783388199736493E-5,2.1484586763438055E-5,2.0128424341114552E-4,2.4852506681482055E-5,2.855302980838936E-4,1.3031722813134395E-5,2.1410050649503167E-5,0.02233381267990656,1.742487290212336E-5,2.2403394484309045E-5,4.464724314854838E-5,8.882443228067167E-5,1.398789563357704E-4,0.6044795589820678,5.505582573863628E-5,2.8413241157089673E-5,2.888415534546988E-5,2.148184962693732E-5,0.01057214241422071,5.613313468701792E-5,6.828774590950999E-5,1.5433311271166736E-5,0.010084403582395585,1.856782043655851E-5,2.6438799473837694E-4,2.6851561691103074E-5,1.0784976122055942E-4,7.229705772020235E-5,2.3059661437115386E-5,0.004797997357650038,9.534289143896519E-4,7.681219222432382E-4,4.8255760088425656E-5,4.0144075038710746E-5,7.068572104262527E-5,1.6324416296221658E-5,1.6978943397215568E-4,2.3751799037008563E-5,1.0317609342060162E-5,1.7627477231065193E-4,6.492996881836326E-5,2.502816486760067E-5,4.329353671155612E-5,1.579666429074595E-4,2.0411501298064338E-4,1.1820203628932681E-4,9.28858682939645E-5,2.7697311783071612E-5,1.4550440410330054E-4,4.544321487430389E-5,2.80344621012299E-5,8.872302251410649E-5,3.04788548166762E-5,6.333528865989594E-4,3.5710695997886056E-5,4.169745054757644E-5,2.5487937943438105E-5,2.0405044319075227E-5,2.199131533433048E-5,2.0573179399492286E-4,2.0837938283396997E-5,1.389997503345537E-5,9.024475797021272E-5,1.864553586440005E-4,1.210531722357856E-5,4.614011627306009E-6,4.5846457640386335E-5,1.3928527064588337E-4,8.541355504088671E-5,0.004497602649949879,3.291281589489344E-5,4.3296063300428206E-5,3.792211610778702E-5,1.7130562036804569E-4,1.9210417458330695E-5,4.897079516859688E-5,6.42949785148158E-5,3.4339665371087394E-5,7.077664839513316E-5,2.2959689035673117E-5,1.5433764071005738E-5,1.5011721315836598E-5,4.531076091446584E-5,4.0112125176968696E-4,0.3287865559632307,2.334448840601529E-4,1.812409718713294E-5,5.698703945361663E-5,1.2578409303860944E-4,7.454055901335309E-5,1.6077986369727794E-5,3.961490072580564E-5,4.569952108935138E-4,0.005048664823598492,1.5247866616628175E-5,7.461585295133926E-6,6.040034652438875E-4
6,2.088342895117878E-5,4.588460421413022E-5,2.153171623353371E-5,4.5818344069044876E-5,2.2483143241855746E-5,2.1063949364121505E-4,2.6007596692053965E-5,2.988011201888555E-4,1.3637408711740738E-5,2.2405142852798167E-5,1.3293578516123734E-4,1.823474278296419E-5,2.3444655130705298E-5,4.672234910149799E-5,9.295279710668633E-5,1.4638022348050728E-4,4.762672421648062E-4,5.761469978500649E-5,2.9733826297621168E-5,3.0226627544792103E-5,2.2480278889252822E-5,0.12725803006689795,5.874207969083817E-5,7.146161058865405E-5,1.6150617734770047E-5,0.0012575431338582217,1.943081201238786E-5,2.7667616894758016E-4,2.8099563394720318E-5,1.1286238161435081E-4,7.565726642013886E-5,2.4131423932325943E-5,3.7321704683501304E-4,0.024236645730982335,0.09375943667059194,5.049858199549017E-5,4.2009883613079424E-5,7.397103834734795E-5,1.7083139367252272E-5,1.776808745256363E-4,2.485573057004795E-5,1.0797149198411038E-5,1.8446763716816695E-4,6.79477713817047E-5,2.6191419085456022E-5,4.5305725357907366E-5,1.6530858605888995E-4,2.136018311726036E-4,1.2369580772642668E-4,9.720299975940339E-5,2.8984622096286816E-5,0.14888124973107744,4.7555315847550704E-5,2.9337442421883668E-5,9.284667403655644E-5,3.1895445150344495E-5,0.056436158215372574,3.737045083655847E-5,4.3635456609142435E-5,2.667256140560496E-5,2.1353426032047582E-5,2.3013423445499373E-5,2.1529375662292775E-4,2.1806439958521804E-5,1.4546015391239745E-5,0.004742219842711886,1.951213948289043E-4,1.2667945821931515E-5,4.828460769506017E-6,4.7977300453114656E-5,1.4575894458166965E-4,8.938338977263533E-5,5.8860651867643796E-5,3.444253140195378E-5,4.530836937708958E-5,3.9684652903662485E-5,1.7926752994030593E-4,2.010327553455718E-5,5.1246850338160817E-5,6.728326812134214E-5,3.593569771281011E-5,7.406619180380245E-5,0.009319588217617485,1.6151091579752606E-5,1.570943320283641E-5,4.741670571812258E-5,4.1976448791827635E-4,1.3206181054268315E-4,2.4429489034132697E-4,1.8966465479386157E-5,5.963567207842897E-5,1.3163026184644257E-4,7.80050407335381E-5,1.6825255918180296E-5,4.1456114438556454E-5,4.78235346134102E-4,0.3724579914902863,1.5956554019356993E-5,7.808383416864698E-6,0.15400883952941252
7,3.275970200209988E-5,7.19788864201037E-5,3.3776666133390205E-5,7.187494455247811E-5,3.5269163622296116E-5,0.007621372827368964,4.0797951304562694E-5,4.687274143611369E-4,2.1392916197904844E-5,3.5146804908717625E-5,2.085355195968184E-4,2.860472487786206E-5,3.6777481199061185E-5,7.329305148983962E-5,1.4581446086251143E-4,2.2962572436896313E-4,7.471173897330834E-4,0.014672267802893147,4.664326395676933E-5,4.74163181348607E-5,3.5264670330609197E-5,0.08297375741640925,9.214832631912393E-5,1.1210137343571969E-4,2.533537118726048E-5,0.001972699905570669,3.048099106103544E-5,0.15354384404190258,4.407960614859619E-5,0.4667974621873749,1.1868307201903863E-4,3.7854811044558696E-5,5.854632045820546E-4,0.0015651518343867698,0.001260951306895612,7.921680398215855E-5,0.10213911656865796,1.1603789677979291E-4,2.67982119334831E-5,2.7872685632901245E-4,3.8991026254493195E-5,1.693741918719683E-5,2.893732076656658E-4,1.0658923624924209E-4,4.1086312322441624E-5,7.107080284486751E-5,2.593185262026636E-4,3.3507583226280294E-4,1.9404082583851975E-4,1.5248172669692252E-4,4.5467992097353295E-5,2.3886047670310345E-4,7.459972111972362E-5,4.602145909522312E-5,1.4564798627823074E-4,5.003418168502584E-5,0.0010397140440292863,5.862278823807221E-5,6.84506628955863E-5,4.184107721596206E-5,3.34969834297387E-5,3.6101010800725954E-5,3.37729944941902E-4,3.4207623491233916E-5,2.2818241709682198E-5,1.4814607187709338E-4,0.14612496559198807,1.987212593656933E-5,7.5743756596504E-6,7.52616856831134E-5,2.2865112811689672E-4,1.4021515430892844E-4,9.233432973776623E-5,5.402977966711182E-5,7.107495050092053E-5,0.007353197057409379,2.812158325735798E-4,3.153588030575911E-5,8.039060776604875E-5,1.0554683421652071E-4,5.6372100149901455E-5,1.1618716340095969E-4,3.769069604327873E-5,2.5336114504866996E-5,2.4643287821646997E-5,7.438228429241171E-5,6.584818789775701E-4,2.0716452117849503E-4,3.8322383871571073E-4,2.975257361185091E-5,9.355009900680159E-5,2.0648755348696862E-4,1.2236601063294868E-4,2.639367180922373E-5,6.503194271146748E-5,7.502047418960834E-4,9.969596866259871E-4,2.5030944672763533E-5,1.2248961339281745E-5,9.915339437839652E-4
8,2.2448461870708013E-5,4.932325963142606E-5,2.3145332694614933E-5,4.9252033859835903E-5,2.4168060952939266E-5,2.2642510731951202E-4,2.7956641797436747E-5,0.025301652646785952,1.465941489764271E-5,2.4084215107328717E-5,1.4289817593754036E-4,1.960127951413047E-5,2.5201629866623497E-5,0.20488998725202198,9.991880770649612E-5,0.01514562553451833,5.119593650543881E-4,6.193242471529096E-5,3.1962120180207654E-5,3.249185263136864E-5,2.4164981941808417E-5,0.03687308622190653,6.314429202352994E-5,0.28985014096923556,1.736096726523933E-5,0.011343968731487688,0.08495444744522611,0.035270053204930325,0.06997549046923031,1.2132044389022817E-4,8.132712613646804E-5,2.593986606783425E-5,4.0118644619906293E-4,0.03104906512480701,8.640621130146774E-4,5.42830152606043E-5,4.5158162133516076E-5,7.951452981017234E-5,1.8363373352828024E-5,1.9099652390742368E-4,2.671845324226881E-5,1.1606302425694058E-5,1.982918958869278E-4,7.303987092482173E-5,2.8154240094101313E-5,4.870099879667247E-5,0.06512689033312546,2.2960944650427935E-4,1.3296574187144597E-4,1.044875263980171E-4,3.1156769584462744E-5,1.6367823807875457E-4,5.111917669502069E-5,3.153603075105026E-5,9.98047316273722E-5,3.428573372603889E-5,7.12460115550959E-4,4.0171043876791054E-5,4.690555780811928E-5,2.867143988219635E-5,2.2953681179945632E-5,2.4738081085174944E-5,2.3142816717742524E-4,2.344064459381461E-5,1.5636113812743657E-5,1.0151653533401882E-4,2.097440608156823E-4,1.3617299124039337E-5,5.190312267772821E-6,5.15727854079468E-5,1.5668232058086226E-4,9.608190407219393E-5,6.327175016252476E-5,3.7023702128370074E-5,4.870384096229269E-5,4.265867543317709E-5,1.9270208546349912E-4,2.1609842682868942E-5,5.508735986314869E-5,7.232556887518788E-5,3.862876837846939E-5,7.961681419766821E-5,2.5827406884035557E-5,1.7361476620817306E-5,1.6886719757025435E-5,5.0970178931644026E-5,4.512222166072402E-4,1.4195870445771552E-4,0.04023133702056777,2.0387838516914974E-5,6.410485145501422E-5,1.4149481490798892E-4,8.385084588951154E-5,1.8086163763008622E-5,4.456289273458192E-5,0.07545545183915761,6.831628538752252E-4,1.7152360147791216E-5,8.393554421313642E-6,0.005675536675965207
9,2.7709070054068685E-5,6.08817505757733E-5,2.8569246692873042E-5,6.0793833643824306E-5,2.9831642714453598E-5,0.0064463697981198215,3.450804560701278E-5,0.04356464982856219,1.8094725451121907E-5,2.9728148300308595E-5,1.7638516128441785E-4,2.4194674465208356E-5,3.1107419807776594E-5,6.199330806117377E-5,1.2333393968835856E-4,1.9422384496501277E-4,6.319327352061981E-4,7.644576741774814E-5,3.9452174151208504E-5,4.010604494572767E-5,2.982784216296756E-5,0.2675218031537267,7.794162563438819E-5,9.48184696395762E-5,2.142936388825011E-5,0.2421770356244153,2.5781672756777027E-5,3.671063485590619E-4,3.728376084278535E-5,1.4975086926251912E-4,1.0038545395183456E-4,3.201865545205431E-5,4.952011147355319E-4,0.062992687812132,0.02573408328709743,6.700378321085944E-5,5.5740597519660864E-5,9.81480909256126E-5,2.2666675409350955E-5,2.3575495245579112E-4,3.297969798066325E-5,1.4326141756816983E-5,2.4475993348366026E-4,9.015615020095753E-5,3.4751949402131476E-5,6.011366814939606E-5,2.19338845280304E-4,2.8341648861763863E-4,1.6412514485523224E-4,1.2897329916919124E-4,3.8458096418662364E-5,2.0203485616841952E-4,6.309852569440069E-5,3.892623424896397E-5,1.2319313083979943E-4,4.232030698324159E-5,0.02554695463693631,4.958479005546065E-5,5.789748066999092E-5,3.5390350609430884E-5,2.833268325808068E-5,3.053524226917221E-5,2.8566141117987177E-4,2.893376245122891E-5,1.9300305540133658E-5,1.2530608134391294E-4,2.5889581691786894E-4,1.6808398613161355E-5,6.406618282291837E-6,6.365843379304892E-5,0.14203172855532628,1.1859788996673739E-4,7.809895251596742E-5,4.5699895246480956E-5,6.01171763526186E-5,5.2655377138959503E-5,2.378601980138615E-4,2.667392751475554E-5,6.79966192041618E-5,8.92744574753238E-5,4.7681095269073886E-5,9.827434479881266E-5,3.1879842404637127E-5,2.142999260702264E-5,2.0843980466269944E-5,6.291461155867583E-5,5.56962346994326E-4,1.7522553256694951E-4,0.01882479303131561,2.5165556953075073E-5,7.912728408757713E-5,1.7465293440388794E-4,1.0350058619727217E-4,2.2324504084286213E-5,5.500583174501184E-5,6.345441038126849E-4,0.105680282141672,2.1171871447813038E-5,1.0360513286048236E-5,0.05017373805091143
