,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,1.0806504569974996E-4,5.541535338474836E-4,0.0042608611333949465,2.727568474026399E-4,1.25892149931925E-4,2.019112560500446E-4,4.177234064951114E-4,0.0032300111681814597,7.416227812100135E-5,3.2092432677552726E-5,1.5575434696316764E-4,1.7105867775124938E-4,6.088712299955157E-4,0.0010970543285299754,1.583261779257525E-4,4.165696886353184E-5,2.0675462442752568E-4,5.518447900574758E-4,1.3113592672474227E-4,2.879981690762719E-4,2.711253786653862E-4,1.214465353235678E-4,1.4433425038869727E-4,0.2984286692907289,0.21278210313249288,8.701045560017144E-5,2.5401639798638596E-4,3.1516561014677784E-4,1.6949629211363424E-4,1.5656390553366327E-4,2.8514317540831793E-4,9.312090508112881E-4,2.4770891003988635E-4,4.064218957380357E-4,1.1313640848264263E-4,4.194428015108898E-4,0.0012644428042179615,0.0013927993020541984,3.203352565636154E-5,3.774975259861726E-4,0.0013855363805130078,8.086090160576939E-4,1.2781302653058822E-4,9.809145055138779E-5,0.0023899763638024567,1.1613111808282886E-4,6.932695138535641E-5,8.110327723258482E-5,6.822695917675822E-4,1.3800327515697586E-4,5.103931378459538E-4,6.954168450458433E-4,2.65672470969038E-4,3.962931269710506E-4,2.5985246137783733E-4,0.026836185261898647,1.1128720895415679E-4,7.301704826890112E-5,9.914141869490206E-5,0.00295549722880843,4.321298693914754E-4,9.345969738225826E-4,1.1286690424329421E-4,0.11444970681232737,8.868380283581501E-4,1.6030597560953426E-4,1.2852976314232773E-4,9.413096137686538E-4,0.302001818865252,5.964056194789449E-5,2.2896990789210078E-4,5.597456274069645E-4,1.392764399536668E-4,9.695697965472038E-5,6.317538709353906E-5,3.6928021979262224E-5,7.005693507276543E-4,3.4304206825334547E-4,6.824164352972672E-4,2.1139740395461053E-4,1.662666568151411E-5,3.8197075954043817E-4,4.1512232959459313E-4,5.258996585399313E-4,2.0534540484559873E-4,3.42412036159208E-4,7.028158533339085E-5,6.045299824708424E-4,1.9337956809772794E-4,2.82878134423257E-4,4.94425784185821E-4,2.3572014880854635E-4,1.822008529345362E-4,6.749896084209956E-4,2.1901570241788447E-4,0.0017351431374859187,1.149949584816085E-4,6.071044914574862E-4,3.7799732200251453E-4,1.62273078123344E-4
1,2.098229300484385E-5,1.0759641789412076E-4,8.27303927694084E-4,5.295943803309671E-5,2.4443666865422844E-5,3.920380644810007E-5,8.110665991308787E-5,0.053759224002799276,1.4399611265284194E-5,6.231180686764793E-6,3.0241817079681818E-5,3.321336029015516E-5,1.182206000771176E-4,2.1300796399423936E-4,3.074117291177776E-5,8.088264995665517E-6,4.0144212050750345E-5,1.0714814400165741E-4,2.546181718781841E-5,5.5918747170167326E-5,5.26426662698347E-5,2.3580490546982796E-5,2.8024450576780264E-5,3.8422376791807467E-4,0.0014654735456592813,1.6894259027662425E-5,4.932072582834904E-5,6.119367399819072E-5,3.2910001946828456E-5,3.0399003846417818E-5,0.4339672985242451,0.00903615245010528,4.8096041571187046E-5,7.8912318453582E-5,0.00444963976388006,8.14405037548086E-5,0.009100854298957585,2.7043085822440755E-4,6.219743090355403E-6,7.329626011404959E-5,2.6902066358781927E-4,1.5700239787452637E-4,2.4816631086724167E-5,1.9045784355265696E-5,4.640462974427859E-4,2.2548430260828297E-5,1.3460767056368153E-5,1.574730029981483E-5,1.3247188663147654E-4,2.6795205944917814E-5,9.909974401621186E-5,1.3502460401300454E-4,5.1583910348599655E-5,7.694568074320085E-5,5.045387661990567E-5,0.29743701363052527,2.1607919664006606E-5,1.4177249370565477E-5,1.924964989837738E-5,5.73849836719275E-4,8.390386990543622E-5,1.8146466712900468E-4,2.1914638910738294E-5,8.359749262219472E-5,0.017882882808965668,3.112557746019055E-5,2.4955795212343485E-5,0.00461044081420629,0.12062516469819255,1.1580023287466747E-5,4.4457610373224346E-5,1.086821986367814E-4,2.7042408142766735E-5,1.8825511457538153E-5,1.2266357489673776E-5,7.1700758764402804E-6,1.3602503281238948E-4,6.66062660916081E-5,1.3250039829263178E-4,4.1045670609930045E-5,3.228292448905317E-6,7.416479902510024E-5,8.06016255858324E-5,1.0211054513677682E-4,3.9870592972678524E-5,6.648393682300838E-5,1.3646122173560095E-5,1.1737768804224621E-4,3.754726361982254E-5,5.492462306103588E-5,9.599946593055103E-5,4.576826111921736E-5,3.537676458886416E-5,1.3105837921416726E-4,4.252486649162979E-5,3.3690155295199064E-4,2.2327829478228276E-5,1.1787756384900293E-4,0.039922448475906286,3.150751706932187E-5
2,1.9119851212679255E-5,9.804588567502746E-5,7.538703230159071E-4,4.82586233671486E-5,2.227398470945434E-5,3.5723976692409515E-5,7.39074261110366E-5,0.008640805521915755,1.3121465077677421E-5,5.678085211314111E-6,2.7557476336408716E-5,3.0265257799720735E-5,1.077270383759455E-4,1.941008343437679E-4,2.801250807243747E-5,7.370329984913743E-6,3.658090949751772E-5,9.763740171550744E-5,2.3201761414881656E-5,5.0955256684586796E-5,4.796996907276096E-5,2.1487426120501646E-5,2.5536928934384097E-5,0.08911266719075549,0.14658320036714606,1.539468154804622E-5,4.49428925295097E-5,5.5761967566295216E-5,2.9988826315936172E-5,2.7700710805201078E-5,5.045012522611236E-5,1.6475797871663974E-4,4.3826914367635674E-5,7.190785999088568E-5,2.0017122862606026E-5,7.421163712269753E-5,2.2371672659780576E-4,2.464267261625875E-4,5.667662845106197E-6,6.679029729986817E-5,0.16970091535616935,1.430664649808208E-4,2.2613843676121513E-5,1.7355232005262162E-5,0.06497743680456722,2.0546974135142667E-5,1.2265955073017002E-5,1.4349529799451947E-5,0.1776458095514615,2.4416795188288332E-5,9.030339822092637E-5,1.2303947610414154E-4,4.7005191024914435E-5,7.011578605487442E-5,4.597546196942225E-5,0.020886747199550134,0.14123283465580047,1.2918840591335066E-5,1.7541001923296744E-5,0.09332012284393575,7.645634861688348E-5,1.653574008838772E-4,1.9969439720252626E-5,7.617716616198353E-5,0.012260891285972533,2.836279189363056E-5,2.274065523934626E-5,1.6654506222415707E-4,9.823132234909123E-4,1.0552150913373102E-5,4.0511439593903487E-5,9.90352897522878E-5,2.4642055089159392E-5,1.715451109121506E-5,1.1177564342941639E-5,6.5336416715518645E-6,1.2395110429409692E-4,6.0694124193655914E-5,1.2073932531544653E-4,3.74023522979749E-5,2.9417409851171295E-6,6.75817424840469E-5,7.344721991754807E-5,9.304695296219706E-5,3.6331577546025295E-5,6.0582653182644735E-5,1.243485759770296E-5,1.069589453611164E-4,3.421447282661251E-5,5.0049373564513004E-5,0.012191462141016128,4.170575364000838E-5,3.223663282029821E-5,1.1942530352480042E-4,3.875025098407075E-5,0.05679225519670997,2.0345954440119853E-5,1.0741445091753009E-4,6.687872575892512E-5,2.8710829569833723E-5
3,6.59533514777027E-5,3.382063326193427E-4,0.002600452996700392,1.6646666929358503E-4,7.683344007287185E-5,1.2322878273306304E-4,2.549414426342958E-4,0.0019713132999903023,4.526209898519351E-5,1.9586384093501974E-5,9.505868546970522E-5,1.0439909615533839E-4,3.7160117757344656E-4,6.695449879390558E-4,9.662830375208557E-5,2.5423731523565068E-5,1.2618474666078422E-4,3.36797279491494E-4,0.19492423131357636,1.7576862478545325E-4,1.654709649901608E-4,7.412022988635109E-5,8.808886800089998E-5,0.04296005330035204,0.004606402732810425,5.3103490802913986E-5,1.5502915553326684E-4,1.9234922934699837E-4,1.0344555406932801E-4,9.555276846014816E-5,1.740261890179031E-4,5.683276903247254E-4,1.5117962244157052E-4,2.480439994660265E-4,6.904846303690536E-5,2.5599080936588187E-4,7.717041171827516E-4,8.500415773802065E-4,1.9550432454857214E-5,2.3039112094121715E-4,8.456089320779315E-4,0.07008071687194752,7.80057733526719E-5,5.986635061579715E-5,0.001458630310333825,7.087616905929028E-5,4.231104296480762E-5,4.9498271292792375E-5,4.163970495456904E-4,8.422500034646453E-5,3.114988551033356E-4,4.244209707943495E-4,1.6214299214247472E-4,2.4186229434389664E-4,1.585909727481689E-4,0.016378435297352046,6.791987510484186E-5,4.456315191614602E-5,6.0507158358589305E-5,0.0018037742570762613,2.6373387412592083E-4,5.703953790551232E-4,6.888398147205356E-5,2.6277084264781953E-4,0.09796334630823561,9.783659725390846E-5,7.844320602449375E-5,0.042326820224472456,0.12864544403854644,3.6399327081266275E-5,1.3974299196599404E-4,3.4161925221454074E-4,8.500202759687166E-5,5.917396986210722E-5,3.8556671889046775E-5,2.2537600361004127E-5,4.2756560480641955E-4,2.09362555233744E-4,4.1648666985596587E-4,1.2901828888528928E-4,1.0147447016697043E-5,2.331211872909417E-4,2.533539752165977E-4,3.209626646349364E-4,1.253246835960415E-4,2.0897803933521444E-4,4.2893667141751894E-5,3.689516638292707E-4,1.1802179456613422E-4,1.7264380821908142E-4,3.0175379386455654E-4,1.43862742333365E-4,1.1119929497384638E-4,4.1195399122558133E-4,1.3366782484723548E-4,0.0010589779930199705,7.018275766961437E-5,0.3761414753067676,2.3069615225008774E-4,9.903714274617088E-5
4,1.2197221451751451E-4,6.254689781363818E-4,0.0048092023172391155,3.078586279873543E-4,1.4209353466829088E-4,2.2789573517474412E-4,4.7148130661574803E-4,0.003645689617288601,8.370641253616089E-5,3.622249042313976E-5,1.7579877468067203E-4,1.9307265918091452E-4,6.872284354082106E-4,0.0012382370731476554,1.787015811879931E-4,4.7017911383568536E-5,2.3336240909229225E-4,6.22863116166886E-4,1.4801214659052644E-4,3.250613945680655E-4,0.05178304653200626,1.3707580247596555E-4,1.6290899649039402E-4,0.15666462003887335,0.008518947554475192,9.820805503768308E-5,2.867064219104244E-4,3.557250835406354E-4,1.9130920611506606E-4,1.7671251742686338E-4,3.218389844181512E-4,0.0010510487398652745,2.7958720710886286E-4,4.587253753568653E-4,1.2769622402721071E-4,4.73421975000672E-4,0.0014271672025171563,0.20748015955102816,3.6156002505804474E-5,0.1033801373153623,0.001563844622758941,9.126709911493016E-4,1.4426161381947902E-4,1.1071509174419126E-4,0.002697548572250102,1.31076330512211E-4,7.824881516003057E-5,9.154066668487214E-5,7.70072621234686E-4,1.55763271764435E-4,5.760769441636211E-4,7.84911828369504E-4,2.998625449200974E-4,4.472931092726262E-4,2.932935433178192E-4,0.28767494965485485,1.2560904625280958E-4,8.241380010734336E-5,1.1190018299000541E-4,0.003335847772643616,4.877417742947803E-4,0.0010548726634071251,1.273920365937781E-4,4.8596077182254345E-4,0.001000967496351507,1.809361641303669E-4,1.4507058911018071E-4,0.0010624491702616718,0.1349590927616898,6.731585933961745E-5,2.5843663455310485E-4,6.317807326063159E-4,1.5720028341508104E-4,1.0943462286846752E-4,7.130559022951482E-5,4.168038415563715E-5,7.907274232665875E-4,3.8718903477617014E-4,7.702383624360826E-4,2.3860267986410602E-4,1.876639407391032E-5,4.311275595212382E-4,4.6854549043548157E-4,5.935790389090498E-4,2.317718334159848E-4,3.864779222305598E-4,7.932630340742256E-5,6.823285015681392E-4,2.1826608234502373E-4,3.192824494800324E-4,5.580547106717489E-4,2.6605558134366273E-4,2.05648749560995E-4,7.61855758097452E-4,2.4720139676098925E-4,0.001958443172939086,1.2979395560819976E-4,6.852343307413269E-4,4.2664277008160636E-4,1.8315641812867618E-4
5,1.646295356262708E-5,0.0035584255001451528,0.01107112464000731,4.155259717517161E-5,1.9178788153081426E-5,3.075976705140357E-5,6.363723809693743E-5,0.003966073687299376,1.1298104145506363E-5,4.8890575621485055E-6,2.3728084919857374E-5,2.6059592628384225E-5,0.007040765445055336,1.671285506735302E-4,2.411988537146315E-5,6.3461477253760465E-6,3.149762033383041E-5,8.40696924122518E-5,1.997764085585812E-5,4.3874505885997664E-5,4.1304054328718644E-5,0.5141711063720076,2.198831311511869E-5,0.021145491002266217,0.004623831845056579,1.3255434083548089E-5,3.869762083675634E-5,4.8013275437826785E-5,2.5821574108774852E-5,2.3851415503451685E-5,4.34395675775671E-5,1.418631830610492E-4,3.773671918268622E-5,6.191553201171344E-5,1.723554019740227E-5,6.389917589668833E-5,1.9262901369861198E-4,2.1218322801144874E-4,4.880083489652596E-6,5.750910666881204E-5,2.110767727345608E-4,0.1321353412229244,1.9471420262183497E-5,1.4943546128736463E-5,3.640961759492154E-4,1.7691763250491984E-5,1.05614759509445E-5,1.2355516792790319E-5,1.039389983479943E-4,2.1023833337489602E-5,7.775482324217349E-5,1.059418903913427E-4,4.047334199611395E-5,6.0372484962802166E-5,3.958670425850364E-5,0.05272436226203812,1.6953827588404922E-5,1.1123636390909335E-5,1.5103501428592994E-5,0.03171628610362656,0.06259790552379578,1.423793094259393E-4,1.7194483112305103E-5,6.559157469936846E-5,1.3510356826199686E-4,2.4421493695602054E-5,1.9580610069852538E-5,0.09741551636274502,0.05295587211894261,9.085822297481732E-6,3.488196332549533E-5,8.527332969892723E-5,2.1217791085712193E-5,1.4770717425717366E-5,9.624328174640562E-6,5.625725756813081E-6,1.0672683857899725E-4,5.226005877398562E-5,1.0396136893225236E-4,3.220491530845412E-5,2.5329561769363636E-6,5.819057250081909E-5,6.324098223132637E-5,8.011713316810597E-5,3.128293559107588E-5,5.2164077792886815E-5,1.0706907753189459E-5,9.209591282906631E-5,2.946002408955759E-5,4.30945044323748E-5,7.532230863837485E-5,3.591031529651796E-5,2.7757025053839915E-5,1.0282994382443868E-4,3.3365509772787944E-5,2.64336915900715E-4,1.75186772851504E-5,9.248812125889888E-5,5.758524709474296E-5,2.4721167999426012E-5
6,2.9645487118208168E-5,1.5202095499806113E-4,0.0637266382808675,7.482539385162859E-5,3.453599713879592E-5,5.539032072298173E-5,1.1459407420815546E-4,8.86089057363102E-4,2.0344939905931155E-5,8.803917986373957E-6,4.272809451569219E-5,4.6926532024259525E-5,1.6703166216790286E-4,3.0095494573492E-4,4.3433624978181914E-5,1.1427757475424721E-5,5.6719002110322175E-5,1.5138759724724795E-4,3.597452257831815E-5,7.900654606800311E-5,7.437783298566278E-5,3.331643155446491E-5,3.959521909149813E-5,5.428625345997762E-4,0.15846493031439618,2.386958080609292E-5,6.96843258202265E-5,8.645939096410467E-5,4.649792272701939E-5,4.2950180741794795E-5,7.822333557234429E-5,2.554586058926617E-4,6.795399246909149E-5,1.1149373043468353E-4,3.103671421739176E-5,1.1506575589265679E-4,3.468746311208132E-4,3.8208667289160833E-4,8.787758021543632E-6,1.0355890724251484E-4,0.006635869847682404,2.218257348061327E-4,3.5062951271768345E-5,2.6909430472153575E-5,6.556422851361609E-4,3.1858252988788405E-5,1.9018464582428642E-5,2.2249064393340855E-5,1.871670368796948E-4,3.7858442472727616E-5,1.400161642949185E-4,0.025213876172323083,7.288193665931492E-5,1.0871510500533568E-4,7.12853332595147E-5,0.10119860566454227,3.052942325715807E-5,2.0030768967419227E-5,2.7197468263388724E-5,8.107816404203212E-4,1.185461995919704E-4,2.5638801491052174E-4,3.096278111160189E-5,1.1811332489130968E-4,2.4328630201735527E-4,4.3976742934142266E-5,3.5259573647235686E-5,0.025281331942692033,0.13289437261853831,1.636119708736766E-5,6.28133214668903E-5,1.5355503418627538E-4,3.820770980829629E-5,2.6598211038197295E-5,1.7330905772000798E-5,1.0130465339632566E-5,0.07526149455749727,9.410674052425418E-5,1.8720732046944837E-4,5.799265595252097E-5,4.5611936781998775E-6,1.047860495330772E-4,1.13880520706665E-4,1.4427006856622908E-4,5.6332410861577266E-5,9.393390380161304E-5,1.9280349341055316E-5,1.6584072760866315E-4,5.304982251980038E-5,7.760196681327853E-5,1.3563583970264902E-4,6.466511525310021E-5,4.9983165265156885E-5,1.8516991883727396E-4,6.008258399070598E-5,4.760018671856734E-4,3.1546570292463175E-5,1.6654699273357056E-4,0.00635947162856581,0.3941583799510856
7,1.0114552905433208E-4,5.186705099266074E-4,0.025331711880664444,0.021598970036911407,1.1783114536434527E-4,1.8898266949285823E-4,3.909761447352408E-4,0.003023190212354399,6.941359074852595E-5,3.0037521020722762E-5,1.4578123503387408E-4,1.6010561369266744E-4,0.04325724076050553,0.0010268088052154142,1.481883889999373E-4,3.8989630062327495E-5,1.935159119837415E-4,5.165095973893559E-4,1.2273915770559722E-4,2.69557348440245E-4,2.537649402505185E-4,1.1367018805736104E-4,1.3509237905461784E-4,0.001852157734731423,0.09243905453037171,8.14390861351218E-5,2.3775146529983124E-4,2.94985230160329E-4,1.5864326922336938E-4,1.4653895673179252E-4,2.668851629697063E-4,8.715827721591207E-4,0.02157552594488451,3.8039828140084083E-4,1.0589216723303887E-4,3.9258544510982707E-4,0.0011834792236789372,0.21474039784774515,2.998238587702466E-5,3.533259689600191E-4,0.0012968190530394305,0.06478786722209609,1.1962902624767632E-4,9.181055351878622E-5,0.0022369437053290178,1.0869512248016394E-4,6.488787498483478E-5,7.59101505080744E-5,6.385831641505051E-4,1.291667827149698E-4,4.7771213734145563E-4,6.508885852034488E-4,2.4866118787378815E-4,3.709180681739651E-4,2.4321383951621798E-4,0.003774158470958034,1.0416137386294776E-4,6.834169114834136E-5,9.279329111611267E-5,0.00276625368444306,4.044601469120679E-4,8.747537629559489E-4,1.0563991962887814E-4,4.029832495874268E-4,8.300528721656144E-4,1.50041418190366E-4,1.2029986947286146E-4,8.810365856235397E-4,0.005196514846369031,5.5821715081469786E-5,2.143087278713084E-4,5.239045359516974E-4,1.3035842545292274E-4,9.074872396699033E-5,5.913020171704804E-5,3.45634825381018E-5,6.557111706173319E-4,3.2107672982233516E-4,0.470199638641331,1.9786140953578394E-4,1.556204308133784E-5,3.575127767432395E-4,3.885416174788985E-4,4.922257594773497E-4,1.9219692618916966E-4,3.2048703933481345E-4,6.578138273382002E-5,5.658213024413769E-4,1.8099727434426268E-4,2.647651549016001E-4,4.627671898508584E-4,2.2062674388025053E-4,1.705343438748655E-4,6.317693256671247E-4,2.049919004690185E-4,0.0016240401277729064,1.0763171235331421E-4,5.682309629548489E-4,3.537937625205068E-4,1.518825650956863E-4
8,2.088979980650437E-5,1.0712211621419469E-4,8.23657043807105E-4,5.272598462527271E-5,2.4335915394837347E-5,3.903098999545452E-5,8.074912919038458E-5,0.013848850649883154,1.4336135547903645E-5,6.203712676904431E-6,3.0108506464647917E-5,3.306695065227008E-5,1.1769946535613069E-4,2.1206899188775608E-4,3.060566105887108E-5,8.052610670454557E-6,0.03530520668536878,1.0667581838250013E-4,2.534957755287037E-5,5.5672248669183116E-5,5.2410609241020414E-5,2.3476544091340376E-5,2.790091445682642E-5,3.825300500215328E-4,0.027907943087643283,1.6819786516451024E-5,4.910331242766707E-5,0.004469078852205542,3.2764929559519886E-5,3.026500032776329E-5,5.51203565584066E-5,1.8000983133344267E-4,4.788402676845025E-5,7.856446072800024E-5,2.1870133017810548E-5,8.108150139672879E-5,2.444264644117884E-4,2.6923875710366295E-4,6.192325499192033E-6,7.297315884372103E-5,2.678347788235134E-4,1.563103069804077E-4,2.470723553206805E-5,1.8961827587075685E-5,0.15915557816797848,2.244903328682373E-5,0.04409495072394006,1.5677883760373414E-5,1.318879300314147E-4,2.667708852574736E-5,9.866289699112424E-5,0.004542584324042268,5.13565204799186E-5,7.660649226133645E-5,5.023146811497615E-5,7.794849226996968E-4,2.1512668606425575E-5,1.4114753858867245E-5,1.916479445928857E-5,0.004979475147135838,0.3615522382196965,0.022221439389777258,2.181803578719784E-5,8.322898192300647E-5,1.7143257334725456E-4,3.09883710924789E-5,2.484578620066102E-5,1.819623474013913E-4,0.23470545844829704,1.15289767507295E-5,4.4261634338908144E-5,0.03978159747529443,2.6923201018009272E-5,1.8742525686408074E-5,1.2212285485439853E-5,7.1384690711213574E-6,1.3542541339347535E-4,6.631265535140727E-5,1.3191631600875027E-4,4.0864734934700236E-5,3.214061635633121E-6,7.383786910068956E-5,8.024632113268832E-5,0.03536689986125816,3.9694837221727794E-5,6.619086532917592E-5,1.3585967952833481E-5,0.004525015198411135,3.738174946461123E-5,5.468250681314378E-5,9.557628541158923E-5,4.556650753335448E-5,3.5220818329655434E-5,1.3048065357379479E-4,4.2337410291782514E-5,3.354164387106218E-4,2.2229404946650956E-5,1.1735794128485594E-4,7.306977323607951E-5,3.1368627052639496E-5
9,1.463290213692684E-5,7.50369777490518E-5,5.769558841184823E-4,3.693353599561521E-5,1.7046839686530037E-5,2.734045621313346E-5,5.656320864870386E-5,0.0899843696696838,1.0042186638326423E-5,4.345581160547537E-6,2.1090428470695162E-5,2.3162761603421302E-5,8.244620695640227E-5,0.055729446425651134,2.143867568184967E-5,5.640698569588263E-6,2.799628840218079E-5,7.472435471984135E-5,1.7756890491027692E-5,3.8997337172429916E-5,3.671262161745431E-5,1.644486665185122E-5,1.954405281808333E-5,2.679549272011664E-4,0.28201431933068183,1.1781936272199E-5,3.4395923944147704E-5,4.267603368267773E-5,2.2951201649068595E-5,2.1200049405563286E-5,3.86107473859342E-5,1.2609341736088899E-4,3.354183784023383E-5,5.5032890497845043E-5,1.531960665662051E-5,5.679602897314539E-5,0.0217860089878062,1.8859656007517192E-4,4.337604662035118E-6,5.111629129399833E-5,0.02797806119246325,1.0949235733341587E-4,1.7306942285879763E-5,1.3282394756725458E-5,0.08060713930298546,1.5725115137408965E-5,9.387443354181196E-6,1.0982055400465225E-5,0.06184893626880178,1.868678634123862E-5,6.911145772528122E-5,9.416519996853883E-5,3.597425275668454E-5,0.009317144068695668,3.51861752591685E-5,5.46014164650978E-4,1.5069209726172102E-5,9.887113032040903E-6,1.3424569138751104E-5,0.006575853932544272,5.851396303312781E-5,1.2655217019396931E-4,1.5283113550692167E-5,5.830029769151737E-5,1.2008521345861964E-4,0.06486608563828157,1.7403994358819946E-5,1.2746111723392335E-4,0.03471789219460492,8.075826005752405E-6,3.100442176090262E-5,7.579419352836843E-5,1.885918339852504E-5,1.3128778002106678E-5,8.554470604405315E-6,5.000359998312367E-6,9.486289190873734E-5,4.645073697138867E-5,0.015531542665776448,2.862495919969212E-5,2.251388228317373E-6,5.172200416268162E-5,5.621100129535063E-5,7.121116904571726E-5,2.7805468400225008E-5,4.636542540818209E-5,9.516708696621231E-6,8.185836608917848E-5,2.618519500854456E-5,3.830404207844177E-5,0.009330432043175872,3.191846028364074E-5,2.467150439803901E-5,9.139918295976672E-5,2.9656539903157696E-5,0.2349098477506071,1.5571269718208573E-5,8.220697592696884E-5,5.118396781371107E-5,2.1973118655168168E-5
