,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,7.153887924166681E-5,3.977705669768855E-4,2.695148184523141E-4,8.591513672997377E-5,3.852237650634859E-4,2.577564513889082E-4,1.1103257551732545E-5,2.3118124505061284E-4,2.4125572486839947E-5,9.041191265811732E-5,1.154729102386062E-5,2.6764994061395794E-4,1.4184823115976074E-4,2.1884420556238796E-4,5.099004661472851E-5,5.7827032635432714E-5,6.327380031016748E-5,6.973253492586844E-5,1.1897106779116135E-4,4.740990368425752E-5,1.809551057514245E-5,1.9947373510007812E-4,0.038023695862540785,0.053329061471004885,1.24483835065394E-4,3.937487424524064E-5,2.6011698407849107E-5,3.353035349957197E-5,4.693710721522785E-4,8.718093140890109E-5,3.2291530086861294E-6,0.008084771393800637,2.557340812283674E-4,3.590646069640918E-5,1.9973688806508782E-5,7.40640237938092E-6,6.375274206259064E-4,3.240977345842535E-4,7.675588481262508E-5,7.080166063110494E-5,4.759446317932711E-4,4.235540915653645E-4,6.71850041849032E-4,6.457829374879278E-4,2.7484555689909214E-5,4.5290898935208025E-5,6.838619898834996E-5,2.6933667790237986E-4,1.782308382741492E-4,6.011298498380167E-5,0.07763278719309245,3.4553028562633707E-4,6.003390959718198E-6,0.3793095014048822,2.014024920721584E-4,0.001397517476722657,2.604675240734668E-5,4.441670094179103E-5,3.400930718276283E-4,1.7752063550114853E-4,4.5007701176670035E-5,0.2068826143433033,1.4812450418352006E-5,4.8509629737777894E-5,3.964727482280845E-5,0.022945405608474547,1.3496556123090113E-4,3.310271894495504E-4,0.015624033540064147,0.13661814317287765,1.304712616014181E-4,3.82969262613837E-5,1.0269684345745692E-4,1.8229475668950465E-4,1.3453198850948227E-4,7.06600829630176E-5,1.3294615917893815E-4,9.862055593108003E-5,7.698016610782011E-5,3.643767184881832E-5,1.6633440636055086E-4,5.078290470479851E-6,1.0696304153702946E-4,2.412355307657081E-5,2.379093718702191E-4,3.3924908728732257E-4,4.9071086851808445E-5,0.007920423046464502,6.219631743039115E-5,2.5663474303147976E-4,3.936631000536463E-4,2.5536590863925425E-5,1.1915648161696203E-4,4.3620418849750374E-5,2.562129041422545E-5,0.03880332399703573,4.8628740200492616E-4,9.976232697482273E-5,1.716789468238363E-5,4.38625230198371E-5
1,2.9776801282824195E-5,1.6556500821064677E-4,1.1218080681304246E-4,3.576066581855348E-5,1.6034262240770201E-4,1.0728659316070419E-4,4.6215358307904896E-6,9.622513054661595E-5,1.0041845572506429E-5,3.763236977373272E-5,4.806356960260732E-6,1.1140458418559692E-4,5.9041833424533474E-5,0.06320109802029628,2.1223710820512673E-5,2.406948610061214E-5,2.6336607425457043E-5,2.9024942205493844E-5,4.951961620834973E-5,1.973353924199776E-5,7.5319382721532585E-6,0.028482531021280646,4.9193195032938226E-5,0.1705058033685634,0.041073319386365756,1.6389099443059786E-5,1.0826912340949207E-5,1.3956420392424653E-5,1.953674602053899E-4,3.628753060898372E-5,1.3440781917572635E-6,2.0964361518594087E-4,0.0032619452154033406,1.4945433256155695E-5,8.31369695445238E-6,3.082784832656592E-6,2.65359585131331E-4,1.348999864301475E-4,3.19482881697383E-5,2.9469946991823302E-5,1.9810358888430589E-4,1.7629694720913732E-4,0.012901647366166507,0.05391230256973033,1.1439963301081113E-5,1.885154075392168E-5,2.8464553531581506E-5,0.1105546205987912,7.418545425952727E-5,2.5020973593020915E-5,0.010224780587233905,1.438209091525768E-4,2.4988059852986174E-6,0.003261394579405354,0.019016832637630498,0.08893570324203917,1.0841502952212228E-5,1.848767120203946E-5,1.4155776446073094E-4,7.388984483614348E-5,1.873366466375761E-5,0.22179776965721248,6.165422177344657E-6,2.0191280885539583E-5,1.6502481396391244E-5,8.412065441992965E-5,5.617704302049879E-5,1.3778425024179062E-4,0.07276873775316448,6.589404283039708E-5,5.430636978111931E-5,1.5940422538294497E-5,4.2745756327489676E-5,7.587698888190878E-5,5.599657599467736E-5,2.9411017775522875E-5,0.009521837697249113,4.1049073280016325E-5,3.204164131741506E-5,1.5166540563010097E-5,6.92337735396042E-5,2.113749164075038E-6,4.4521486305303037E-5,1.0041005028470374E-5,0.0032545259933787866,1.4120647072774466E-4,2.042497754238598E-5,1.4123650381287964E-4,2.5888124112091715E-5,1.0681970176947067E-4,1.6385534728716628E-4,1.06291571751799E-5,4.959679145493564E-5,1.8156232774835862E-5,1.0664411874509318E-5,0.08241671006039775,2.0240858522435184E-4,4.15243154118529E-5,7.1458344584191844E-6,1.8257004380972745E-5
2,3.146467689064825E-5,1.7494993630328017E-4,1.1853969155983946E-4,3.778773229159E-5,1.6943152348495143E-4,1.1336805308390116E-4,4.883504116953438E-6,0.013439149849624424,1.0611060043811856E-5,3.9765532379157946E-5,5.078801693281767E-6,1.1771946933597449E-4,0.5202237290996121,9.625342597484489E-5,2.2426760921871887E-5,2.5433846835541627E-5,2.7829478229276662E-5,3.06701992464311E-5,5.232659844640141E-5,2.085212008707393E-5,7.958880533964872E-6,8.773378461650727E-5,0.13676105194031313,1.149480794417984E-4,5.4751258196397075E-5,1.731810323098847E-5,1.144062773216144E-5,1.4747529596169102E-5,2.0644171789717977E-4,3.834446201680427E-5,1.420266254179668E-6,0.10025255412988507,1.12478561602776E-4,1.5792603910982827E-5,8.784952619793288E-6,3.2575301746356988E-6,2.804012938357457E-4,1.4254669080341343E-4,3.375925288019361E-5,3.11404287947179E-5,2.0933294197446122E-4,1.862902072004242E-4,2.9549728357270474E-4,0.006952767421773881,1.2088429025350666E-5,1.9920126177393582E-5,3.0078045361587823E-5,1.1846134067002656E-4,0.006747125735920667,2.6439268681554485E-5,0.007469997024937408,0.010155075991716469,2.640448925089572E-6,1.1189671321696578E-4,8.858210256012616E-5,6.146648692324119E-4,1.1456045401261205E-5,1.9535630953357444E-5,1.495818599793181E-4,7.80782351733141E-5,1.9795568369625134E-5,0.07765493391102421,6.514904501058189E-6,2.1335808471754307E-5,1.7437912155154634E-5,8.88889705114064E-5,5.936139649531867E-5,1.4559444694211887E-4,2.031249260357496E-4,6.962919713854283E-5,5.738468554890116E-5,1.6843993412991358E-5,4.516876740775563E-5,8.01780189862667E-5,5.9170699831733015E-5,3.1078159220068136E-5,0.10675823536928086,4.3375909156544364E-5,3.385789768090525E-5,1.6026244519396605E-5,7.315823797368424E-5,2.2335654472685817E-6,4.704515330516107E-5,1.0610171854168664E-5,0.006773373921478128,1.4921065342502314E-4,2.158275204800533E-5,1.4924238891302354E-4,2.735557297626256E-5,1.1287469630495588E-4,1.731433645349113E-4,1.1231662963404463E-5,5.2408148313854176E-5,1.918540518793511E-5,1.126891604887664E-5,3.9488259208147607E-4,2.1388196379747024E-4,4.387809003154944E-5,7.550890715649591E-6,1.9291888956850804E-5
3,4.195724188201826E-5,2.3329070945909158E-4,1.5806927014318866E-4,5.038885444275507E-5,2.2593206464515848E-4,1.5117303894350364E-4,6.512012317143676E-6,1.35586795879313E-4,1.4149543452491526E-5,5.3026193988836E-5,6.7724360194895605E-6,1.5697552739276052E-4,8.31933713303146E-5,1.2835117581645386E-4,2.9905440818584786E-5,3.391530341715323E-5,3.710980899546958E-5,4.08978287882775E-5,6.97760144020876E-5,2.78057025434221E-5,1.0612938338257664E-5,1.1699047904330313E-4,6.93160680135528E-5,1.5327995865886112E-4,7.300922845878106E-5,2.3093192684788288E-5,1.5255748111085528E-5,1.9665406658366038E-5,2.752840946835128E-4,5.113123752283262E-5,1.8938842108750683E-6,2.95400025940698E-4,1.499869276303233E-4,2.1058983206560514E-5,1.1714481711404062E-5,4.343822819162194E-6,3.7390706252553145E-4,0.044652914644075184,4.5016992984647264E-5,4.1524866369693296E-5,2.791394588548089E-4,2.48412634616394E-4,0.4628074975305661,3.787488872998727E-4,1.611957250833853E-5,2.6562915463900288E-5,4.0108208609939344E-5,1.579647914845653E-4,1.0453161234245137E-4,3.525600453838943E-5,0.03219244260195508,2.0265201139946316E-4,3.5209627167671773E-6,1.4921104953861603E-4,1.1812168662814418E-4,8.196379287285318E-4,1.52763071295024E-5,2.6050202138623466E-5,0.004645746382202972,1.0411508150148854E-4,2.6396821208840956E-5,0.0012861061593233759,8.687437819213414E-6,2.8450687096166357E-5,2.3252954440115836E-5,1.1853088621733592E-4,7.915671531808199E-5,1.941460084989705E-4,2.708612481090515E-4,9.28485322301489E-5,7.652082811040743E-5,2.246098087528908E-5,0.44468855856003614,1.069150828377865E-4,7.890242680058142E-5,4.144183168242952E-5,7.797234478768785E-5,5.78405276068318E-5,4.5148532989912387E-5,2.1370536239656883E-5,9.755440670793691E-5,2.978395298831732E-6,6.273335917166022E-5,1.4148359077141794E-5,1.3953281302936496E-4,1.9896811586164398E-4,2.8779979254353245E-5,1.990104342223538E-4,3.6477869967493054E-5,1.5051516186501718E-4,2.308816979530746E-4,1.4977099600629592E-5,6.988475880540861E-5,2.5583186151006338E-5,1.5026775518912173E-5,5.265645818815048E-4,2.8520544865085525E-4,5.851017136368136E-5,1.0068895647085371E-5,2.5725179194965817E-5
4,1.5493265630081706E-4,0.27997575510603745,5.836916537955619E-4,1.8606749911550041E-4,0.05008974839954685,5.582264094109047E-4,2.4046465422959694E-5,5.006721486595523E-4,5.2249057712200925E-5,1.9580622366251668E-4,2.500811433404871E-5,5.796528642557228E-4,3.072025097138217E-4,4.739536660797263E-4,1.104297893769786E-4,1.2523673654344047E-4,1.3703287024088555E-4,1.5102063355168903E-4,2.576571474311476E-4,1.0267622851560861E-4,3.9189676302524976E-5,4.320027930113344E-4,2.559587346533953E-4,5.66006488688537E-4,2.695962172966371E-4,8.527466355347426E-5,5.633386449359614E-5,7.261711099561591E-5,0.0010165228721805263,1.8880884667387012E-4,6.993417544988936E-6,0.03392777988171853,0.0662277990906901,7.776307642817279E-5,4.32572706718602E-5,1.604013938202482E-5,0.0013807012045647282,7.01902566163904E-4,1.6623119130182323E-4,1.5333605262433367E-4,0.0010307593135020397,9.17296457379788E-4,0.0014550341397976362,0.0013985802819297562,5.952365015253425E-5,9.808707310858529E-5,1.481048567701107E-4,5.833058525516961E-4,3.859967824663937E-4,1.3018745247950466E-4,0.003945428502047986,0.3455365702214025,1.3001619791377944E-5,5.509815044434127E-4,4.3617992639965103E-4,0.0030266212888801713,5.6409781384015686E-5,9.619381144879046E-5,7.365438704981779E-4,3.844586873312785E-4,9.74737481382498E-5,0.021167604968162838,3.2079511364538884E-5,1.050579191498657E-4,8.586460493231372E-5,4.3769094991947513E-4,2.9229662432920834E-4,0.08280935046669594,0.0010001909271466004,3.4285546634594524E-4,2.8256326273354575E-4,8.294013796035045E-5,0.016640899992278912,3.947980620189269E-4,2.9135763039834074E-4,1.5302943607649054E-4,2.879231797440195E-4,2.135837863024023E-4,1.6671692014174215E-4,7.891352714492697E-5,3.6023252928807316E-4,1.0998117952067562E-5,2.3165121297699109E-4,5.2244684249819704E-5,5.152433380762748E-4,7.34716042496223E-4,1.0627387392855167E-4,7.348723086314829E-4,1.3469935192955633E-4,5.557971114228257E-4,8.525611587077009E-4,5.530491807188899E-5,2.5805870050062124E-4,9.44692932428528E-5,5.548835296008646E-5,0.06761836180786601,0.0010531587818664724,2.160565343041823E-4,3.718072682197075E-5,9.499362130852361E-5
5,1.4103879372934892E-4,7.842040795459351E-4,5.313480626148707E-4,1.6938156392629072E-4,0.030651729880282624,5.081664594862075E-4,2.1890055703452415E-5,0.030348035281821666,4.756353017607878E-5,1.7824695096197617E-4,2.2765467031505798E-5,5.276714587378958E-4,2.7965357617403414E-4,4.314510248743131E-4,1.0052680085259078E-4,1.1400590859548804E-4,1.2474420294272698E-4,0.03002973939060101,2.345512827126454E-4,9.346855440471813E-5,3.5675272110613284E-5,3.932621712476693E-4,2.330051781330944E-4,5.15248846264018E-4,2.454196951718603E-4,7.762750584942148E-5,5.1282024616313885E-5,6.610504191605922E-5,9.253643687117141E-4,1.718770762479453E-4,6.366270340552488E-6,9.929838439678277E-4,5.041793597309353E-4,7.078953371081406E-5,3.937809769257103E-5,1.4601711244780836E-5,0.0012568843589331872,6.389582003621109E-4,1.513241124316678E-4,1.3958536833813992E-4,9.383241317398932E-4,8.350362598176672E-4,0.0013245513554846166,0.0012731600981140945,5.4185760551224305E-5,8.929093970232518E-5,1.3482328931195282E-4,5.309968587863604E-4,3.5138183183775287E-4,1.185126602409478E-4,0.04843000785992947,0.06046573604676874,1.183567632341629E-5,5.015712543067721E-4,3.9706471274150967E-4,0.0774858581260426,5.135113352404259E-5,8.756745966211317E-5,6.704929838814166E-4,3.499816681300034E-4,8.87326157437386E-5,0.1537845403088571,2.920272390797216E-5,9.56366626790635E-5,7.816454318182864E-5,3.984402325294031E-4,2.6608440267434307E-4,0.3743058921352469,9.104970200078579E-4,3.121092902651698E-4,2.5722389765777363E-4,7.550233300693702E-5,2.024666737106969E-4,3.593938409325554E-4,2.652296147007114E-4,1.3930624817665965E-4,2.6210315454070523E-4,1.9443027893196327E-4,1.517662826706438E-4,7.183681570552172E-5,3.2792803406285015E-4,1.001184208861025E-5,2.1087747686181652E-4,4.755954891174499E-5,4.690379718157435E-4,6.68829069618952E-4,9.674357454199786E-5,6.689713223095341E-4,1.2261994705224378E-4,0.10512887132011924,7.761062146327894E-4,0.014996476251800166,2.3491682579367877E-4,8.599759070525809E-5,5.0512335839153044E-5,0.04660843358551941,9.587148877866005E-4,1.9668127884182456E-4,3.38464787615182E-5,8.647489871550139E-5
6,2.470883356310919E-5,1.3738608767595846E-4,9.308779872597091E-5,2.967425316856599E-5,1.3305254424455777E-4,8.902657302851235E-5,3.834957239507664E-6,7.984775505877581E-5,8.332738246825314E-6,3.1227395867429804E-5,3.988322084967416E-6,9.244368804640863E-5,0.3194985361492576,7.558666153023046E-5,1.7611466499529562E-5,1.997289501853397E-5,2.1854155633161524E-5,2.408493979331786E-5,4.1091450467748406E-5,1.63749199287856E-5,6.2500134721185135E-6,6.889628930514295E-5,4.0820585695602124E-5,9.026734878598445E-5,4.2995506702554966E-5,1.3599698857559814E-5,8.984187807613757E-6,1.1581058198219491E-5,1.6211620623759925E-4,3.0111446347690718E-5,1.1153180632296951E-6,1.7396258066798703E-4,8.832806603162477E-5,1.240174252927288E-5,6.898717978152431E-6,2.558099394810636E-6,2.2019577459341818E-4,0.424299038487147,2.6510736580280614E-5,2.445420542046714E-5,1.6438664984544173E-4,1.4629146646411262E-4,0.002850489352632677,2.2304714987750733E-4,9.492898397301613E-6,1.5643036284273504E-5,2.361992844630194E-5,0.021040537296870065,6.155919921323578E-5,2.0762440741192558E-5,6.29221356683967E-4,1.1934280225041753E-4,2.0735128871232674E-6,8.787114746945699E-5,6.9562463216616E-5,0.02143019997935321,8.996295118330506E-6,1.534109679417364E-5,0.007972781476261181,6.13139020783051E-5,1.5545222531034196E-5,7.573944713661019E-4,5.116076403887751E-6,1.6754754618809977E-5,1.3693783369435947E-5,6.980344294001779E-5,4.661579304227661E-5,1.1433357379477704E-4,1.595115693505791E-4,5.467897379682032E-5,4.5063505632901595E-5,1.3227386101123772E-5,3.54704915613081E-5,6.296283713437037E-5,0.06550743799798403,2.4405305869983466E-5,4.591831120124306E-5,3.406258146944911E-5,2.6588201159723797E-5,1.2585217698172371E-5,5.7450287258451374E-5,1.7539921697169506E-6,3.694399491239244E-5,8.332040762146148E-6,0.12576723774161933,1.1717333739465289E-4,1.6948676448875834E-5,1.17198258892934E-4,2.1482003519154313E-5,8.863914586437662E-5,0.0053728451650631205,8.82009027978234E-6,4.1155490601037776E-5,1.5066068699100304E-5,8.849344681212977E-6,3.1009656570191185E-4,1.6795894214929465E-4,3.445693809043716E-5,5.9296239587848605E-6,1.5149689126300446E-5
7,6.380008072750201E-5,0.419537213258322,2.403597506249534E-4,7.662117043474928E-5,3.43551752134355E-4,2.298733581091483E-4,9.902150210457753E-6,2.0617295452852097E-4,2.151576161904836E-5,8.063150258239003E-5,1.0298149863622351E-5,2.3869660803877828E-4,1.265036396289404E-4,1.9517048812660553E-4,4.5474141121629524E-5,5.157152850982435E-5,5.642908598116962E-5,6.218913973441922E-5,1.061012390713036E-4,4.228128416886071E-5,1.613800841916231E-5,1.7789544003631806E-4,1.0540184570313707E-4,2.330771351425424E-4,1.1101765656143284E-4,3.5115453053092334E-5,2.3197853752699384E-5,2.9903169895460166E-5,0.16268277902742298,7.775003635431724E-5,2.879835759512955E-6,0.1289083292019483,0.1016431839460722,3.202223903076636E-5,1.7813012613413325E-5,6.605206493501338E-6,0.014090577401517522,2.8903809857329436E-4,6.845273086839358E-5,6.314261156714831E-5,4.244587873351261E-4,3.7773565256799544E-4,0.014121187134686778,5.759246437869304E-4,2.4511383046023756E-5,4.03915051356357E-5,6.098844519725926E-5,2.402008806288461E-4,0.0069199581298023,5.361019539853089E-5,0.0016246972261710416,3.0815215936339993E-4,5.353967408056543E-6,2.2688996175601527E-4,0.08807271451272702,0.0012463394559453687,2.3229115746477792E-5,3.961187449083047E-5,3.03303122266824E-4,1.5831714161345381E-4,4.013894261231833E-5,0.0019556499214057,1.3210096977764175E-5,4.326204612287063E-5,3.535838639260323E-5,1.8023777946684757E-4,1.20365510240603E-4,2.9521795188508667E-4,4.1187096005744825E-4,0.020424208091179723,0.027160387836105318,3.415411330162941E-5,9.158749721129583E-5,1.625748168866582E-4,1.1997883973470481E-4,6.301634922212792E-5,1.1856455927097302E-4,8.795216666085744E-5,6.86527502828825E-5,3.2495985820851844E-5,1.4834099535883383E-4,4.528940702017766E-6,9.53921945277966E-5,2.1513960660750458E-5,2.121732586818147E-4,3.025504367009463E-4,4.3762766983749256E-5,3.026147858980917E-4,5.546816102063163E-5,2.288729918116153E-4,3.5107815259472267E-4,2.2774141500314513E-5,1.0626659554850137E-4,3.890173110736425E-5,2.2849678581745016E-5,8.006928321635269E-4,4.336827167766327E-4,8.897042534110638E-5,1.5310738416200663E-5,3.911764538725978E-5
8,4.866496696924087E-5,0.18592664734562556,1.8333988282645094E-4,5.8444545615509016E-5,2.6205193597249256E-4,1.7534114772158816E-4,7.553090958843613E-6,0.17549909788473497,1.6411637988064423E-5,6.150351794399533E-5,7.85514872775767E-6,1.8207128287957877E-4,0.08776741091714864,1.4887074200766067E-4,3.4686438487291005E-5,3.933735980998546E-5,4.304257258085749E-5,4.743618497831189E-5,8.093114046131214E-5,3.225101401176951E-5,1.2309634058649789E-5,1.356938050019447E-4,8.039766221532523E-5,1.7778490173771323E-4,8.468125005421428E-5,2.6785112862749442E-5,1.769469213454704E-5,2.280932498273258E-5,3.1929389955139036E-4,5.930561384711699E-5,2.1966604197904102E-6,3.4262577472419543E-4,1.7396541220398486E-4,2.442569330545729E-5,1.3587281717666431E-5,5.0382719295321415E-6,4.33683770218682E-4,0.056948711060971165,5.2213881999505396E-5,4.8163467369129623E-5,3.237656227065515E-4,2.88126485824368E-4,0.08297083663562976,4.3929965992317555E-4,0.09284672678388693,3.0809541944925943E-5,4.652032783009593E-5,1.8321870111281035E-4,1.2124313309705541E-4,4.089239948499675E-5,0.06312462831640138,0.07243462910808483,4.083860774100078E-6,1.7306549409661103E-4,1.3700585930490492E-4,9.506738512620338E-4,1.77185379334437E-5,3.0214860885826594E-5,2.3135137539755473E-4,1.2076001126378224E-4,3.0616894118861205E-5,0.001491716589436566,1.0076302815808878E-5,3.2999112565130855E-5,2.6970415809206827E-5,1.374804778355471E-4,9.181153868931967E-5,2.2518422725163832E-4,0.010628389544446233,1.0769227316772668E-4,8.87542508853017E-5,2.6051829037436118E-5,6.986045277309264E-5,1.240076502036328E-4,9.151659694029764E-5,0.015519405519105188,0.10323269356372092,6.708752146733183E-5,5.236645137070862E-5,2.4787054476609474E-5,1.1315047813427132E-4,3.454552833729221E-6,7.27625724432274E-5,1.6410264266039607E-5,1.6183999311235645E-4,0.010545002821458734,3.338104882410747E-5,2.308263311301163E-4,4.2309605146784283E-5,1.7457809550799433E-4,0.03121046959205432,1.7371495948403595E-5,8.105726988637274E-5,2.967318282044272E-5,1.74291135804011E-5,6.107467229731763E-4,3.3080138530244477E-4,6.786422150399962E-5,1.1678614992377386E-5,2.9837876362825244E-5
9,4.495551628325887E-5,2.499617185827449E-4,1.6936493747103139E-4,5.398965386632967E-5,2.4207722327474265E-4,1.619758999632198E-4,6.977362253299113E-6,0.014437323033802065,1.5160673165024629E-5,5.681545831843635E-5,7.256395894840133E-6,1.6819303560567926E-4,0.00961716983827399,1.3752318111417424E-4,3.2042490673203724E-5,0.009564370348004659,3.976168469928533E-5,4.382039727995823E-5,7.47622248491579E-5,0.01432183987811433,1.1371341415157256E-5,1.253506462699945E-4,7.426941058321199E-5,1.642333806583907E-4,7.822648514495294E-5,2.4743437680977893E-5,1.6345927469439536E-5,2.107070125660404E-5,2.9495596102017984E-4,5.4785087816413644E-5,2.0292216232900175E-6,0.005080525105972597,1.607050288558344E-4,2.256386311363197E-5,1.2551601337567024E-5,4.6542334223863425E-6,4.0062654940614635E-4,2.0366521168511175E-4,0.05721642261195615,4.449224311483981E-5,2.9908683042451204E-4,2.6616426007855943E-4,4.22195117066648E-4,4.0581437212089134E-4,1.7271480961868373E-5,2.8461107668280227E-5,4.2974350657430256E-5,1.692529927428197E-4,1.120014660160576E-4,0.23823856163208335,0.10118914228648371,2.1713357193310097E-4,3.7725715429881876E-6,1.5987370633268927E-4,1.2656269021566344E-4,0.024698288070955945,1.6367955640161684E-5,2.791175572784669E-5,2.1371678995308574E-4,1.1155516978295346E-4,2.8283144278578112E-5,0.006142027333322223,9.308244174859024E-6,3.0483779906652087E-5,2.491461604902376E-5,1.2700113130401571E-4,8.481327286521214E-5,2.0801972805904907E-4,2.902170567863016E-4,9.948351024327058E-5,8.198902453595692E-5,2.406604786645363E-5,6.453539204458221E-5,1.1455525987517271E-4,8.454081283027257E-5,4.4403274749238986E-5,8.354426693736147E-5,6.197382535231917E-5,4.8374857806445106E-5,2.2897679799958653E-5,1.0452566762120438E-4,3.191232129393031E-6,6.72162998148304E-5,1.5159404153933051E-5,1.4950386075970526E-4,2.1318642435123783E-4,3.0836603360132345E-5,2.132317667919855E-4,3.9084587159315696E-5,0.46227079628761464,0.047887537803575284,1.604736667070228E-5,7.487874015318952E-5,2.741136666760053E-5,1.610059244182227E-5,5.641930111022517E-4,3.05586297282154E-4,6.269132200998043E-5,1.0788421304951777E-5,2.7563506567972902E-5
