,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0,1.1016089734112128E-5,0.007369395786034366,1.3829980794224158E-5,2.5020009826604307E-5,2.188131244682111E-6,2.2608622320451127E-5,1.1635903864427436E-5,2.3912002241272876E-5,2.1074096140435848E-5,3.8578017503758875E-5,4.40574704939049E-5,0.1399376428411053,0.6884554455799878,5.501625877029792E-6,6.222813399316085E-6,1.4995798617994104E-5,0.02623203661928544,4.5100521616106665E-6,1.2426047021864517E-5,2.2078055491822405E-5,7.713970311759852E-6,2.695241656735385E-5,5.197702462221172E-6,5.190424849647361E-6,1.7580560233895725E-6,4.6393526611093566E-5,2.4422183862103884E-5,4.269599804193276E-6,5.377304942069708E-6,8.010921408317803E-6,3.2812401977667004E-5,3.6728775493193056E-5,9.136601499437516E-5,9.975197310720993E-6,8.87281241970942E-6,1.6965102749984924E-6,1.9522466848971652E-5,3.943236164456872E-5,3.789080543254512E-6,2.85067921159267E-6,3.1025233077788196E-6,6.8457426654752935E-6,0.008717010472137614,1.633253377536677E-5,0.0013114557379656714,3.2099739318515566E-5,9.269448192402727E-6,4.498290043530014E-6,5.0559616802205606E-5,0.11470032810595122,4.311106335791624E-5,6.910354300214E-5,3.3410862281223506E-6,5.511879193902643E-5,1.6138825240132594E-5,3.9365562329854177E-5,0.003711496688982872,1.2102283015148765E-5,5.741804708373435E-6,2.6593709490108436E-5,0.002516316642423745,4.340240666183229E-5,2.4540366316743966E-5,1.4552060087583692E-6,4.5204675933516884E-5,2.184200366368538E-5,2.924228290355565E-5,1.0183376800178677E-5,6.0314132332586055E-6,1.3484398285059156E-5,1.283386785310357E-5,7.161863036913992E-6,1.5801009576455443E-5,7.291782701544339E-6,6.790832976365264E-6,6.189918246354317E-6,2.1675187966534805E-5,2.1750488515947882E-5,9.080829932561269E-5,3.0457175356209567E-5,1.3863970805597938E-4,1.1510872063669263E-6,2.3172315262912897E-5,6.694242789365018E-5,1.592562767566863E-5,1.6641039961156443E-5,1.0277384070055619E-5,6.227077310909888E-6,2.3172688152268172E-5,2.325048786355214E-5,7.055815995152938E-5,2.753645723006157E-5,0.0012814496271855262,0.003746568985699029,6.739931691881863E-5,5.610174412686842E-6,7.474927069993697E-6,1.614110692760376E-5,9.33279797071637E-6,1.9941886235284765E-5
1,1.2318126266445416E-4,7.039434986062223E-5,1.5464602576560152E-4,2.7977226735676836E-4,2.4467553923498444E-5,2.528082751462257E-4,1.3011198754345443E-4,2.673825921909715E-4,2.356492943274136E-4,4.313771058426695E-4,4.926480245014586E-4,4.331297795565865E-4,6.212470849830395E-5,6.151885456610124E-5,6.958313070738802E-5,1.6768213159215617E-4,0.01887923691318188,5.043113603454404E-5,1.3894732151113135E-4,2.468755083064657E-4,8.625715894599846E-5,3.013803250298766E-4,5.81204009502515E-5,5.80390231176755E-5,1.9658478282487492E-5,5.187696655842521E-4,2.730874128450333E-4,4.774241202155778E-5,6.0128705237833895E-5,8.95776485123038E-5,3.669063346630791E-4,4.106989912546704E-4,0.0010216493659066656,0.027556126287508732,9.921526273158556E-5,1.8970277370782314E-5,2.182990675297996E-4,4.409303314022847E-4,4.2369274118210986E-5,3.187612603117541E-5,3.4692231792073016E-5,7.654868885081192E-5,0.0014170498077943586,1.8262942491559825E-4,9.423282424052716E-4,3.5893738303623786E-4,1.0365042043976583E-4,5.02996127271134E-5,5.653546392456471E-4,0.1710666114785315,4.8206535598481286E-4,7.727117232199162E-4,3.7359828231655235E-5,6.163350654782806E-4,1.804633875525274E-4,4.4018338542324304E-4,3.3485972349493525E-4,1.3532701157220153E-4,6.420452002673825E-5,2.97369283746785E-4,6.927193726505353E-4,4.853231395460781E-4,0.13749733003328043,1.627202736381887E-5,5.054760077512088E-4,2.4423599075114555E-4,3.2698547471858325E-4,1.1386991597840504E-4,6.744290539167198E-5,1.507817426251078E-4,0.20597788921672675,8.008352811298624E-5,1.766859528180657E-4,8.153628210468187E-5,7.59346919607774E-5,6.921529905612402E-5,2.423706675100295E-4,2.4321267379174189E-4,0.001015413022345195,3.4057033013747264E-4,0.001550261000587544,1.2871388935595416E-5,2.5911145622802717E-4,7.48546262130518E-4,1.780794250194032E-4,1.8607912280501265E-4,1.1492109969990486E-4,6.963080951417804E-5,0.2747049578483154,2.599855776163713E-4,0.12428960616386407,3.079110331137937E-4,6.068016896301757E-4,7.270360672170321E-4,0.014475947279260692,6.273263785993265E-5,8.35841915807292E-5,1.8048890124663193E-4,1.0435879390716994E-4,2.2298899025546668E-4
2,1.2665732015480674E-4,7.238081112769062E-5,1.5900998879527176E-4,2.8766717332300707E-4,2.5158004908061417E-5,2.59942283025646E-4,1.3378362346520243E-4,2.7492787336662485E-4,2.422990921694313E-4,4.4355015544044515E-4,5.065500808583615E-4,4.453522879312867E-4,6.387780839061261E-5,6.325485783954483E-5,7.154670014535088E-5,1.7241396106777167E-4,0.3298214766521748,5.185425448915339E-5,1.4286828211224856E-4,2.53842099176466E-4,8.869125352308947E-5,3.098849897297239E-4,5.976050311104641E-5,5.967682887381961E-5,2.0213221749185963E-5,5.334088496843043E-4,2.807936786066272E-4,4.908965725452066E-5,6.182547982599931E-5,9.210544413108679E-5,3.772600807221495E-4,4.2228852422381897E-4,0.0010504793344754048,1.1468967572759027E-4,0.014211537100743552,1.9505600465564993E-5,2.2445925855569426E-4,4.5337296389396184E-4,4.356489453542163E-5,3.2775639839179785E-5,3.5671213412892865E-5,7.870881968159709E-5,0.001457037598892133,1.877830527215246E-4,0.32548792764172263,3.690662528974713E-4,1.065753362309709E-4,5.171901971970278E-5,5.813084067744687E-4,0.006579682803923018,4.956687795515534E-4,7.945169094575218E-4,3.841408687419475E-5,6.337274519060661E-4,1.8555589185446117E-4,4.526049398133553E-4,3.4430914481839317E-4,1.3914581048729273E-4,6.601631021240451E-5,3.057607606955521E-4,7.122672512152602E-4,4.990184946509856E-4,2.821524795382934E-4,1.6731208422510407E-5,5.197400575338721E-4,2.51128096958701E-4,3.362126922681239E-4,1.1708321616546971E-4,6.93460797169463E-5,1.5503665927820413E-4,1.4755719576807106E-4,8.234340872899601E-5,1.8167186152243028E-4,8.383715804973148E-5,7.807749638621087E-5,7.116848863647779E-5,2.492101360786782E-4,2.500759029728341E-4,0.0010440670072595995,3.501808993219354E-4,0.0015940078842168579,1.323460722832143E-5,2.664233338527197E-4,7.696695221545855E-4,1.8310465617734782E-4,1.9133009778800618E-4,1.1816406328682289E-4,7.159572440249503E-5,2.664276211422746E-4,2.6732212211111946E-4,8.112413451791113E-4,3.165999881534327E-4,6.239250533039452E-4,7.47552330101026E-4,7.749225966059295E-4,0.29636446653370907,8.594285757371142E-5,1.855821255206262E-4,1.073036993205308E-4,2.292815264178464E-4
3,7.615519205955754E-5,4.3520378973110993E-5,0.20370263743296108,1.7296551677287506E-4,1.5126742720175877E-5,1.5629538398587902E-4,8.044002136602418E-5,1.6530576340294096E-4,1.4568707025749584E-4,2.66693209948922E-4,3.0457314783230015E-4,2.6777677737154756E-4,3.8407782198335915E-5,3.803322099017053E-5,4.3018853423846024E-5,1.0366726773325724E-4,0.13892623286364797,3.117838514899909E-5,8.59023501379871E-5,1.5262752908365066E-4,5.332735161140591E-5,1.8632441362565437E-4,3.5932171835271605E-5,3.588186106287681E-5,1.2153595090834261E-5,3.207225081371203E-4,1.688326935802915E-4,2.9516116966524946E-5,3.7173779490743414E-5,5.5380200520274174E-5,2.268350054200096E-4,2.5390923815145615E-4,6.316212546877781E-4,6.895941167559546E-5,6.133852848338832E-5,1.1728123947960563E-5,1.3496052122342382E-4,2.7259936573547657E-4,2.6194245278080707E-5,1.970699477753711E-5,2.144801504671048E-5,4.7325217936924975E-5,8.760723663346503E-4,1.1290823481863322E-4,5.825820155700281E-4,2.2190830611097136E-4,6.408050627915873E-5,3.109707259771463E-5,3.495230540930168E-4,0.24149769752464414,0.008781656784415797,4.7771883820334714E-4,2.3097221385398206E-5,3.8104103066710046E-4,1.1156911076823138E-4,2.721375762290077E-4,2.0702261045361014E-4,8.366414123550695E-5,3.969359826296781E-5,1.8384464021965562E-4,4.2826462179787955E-4,0.11907081188099003,1.6964969922824986E-4,1.0059966445266774E-5,3.125038793980467E-4,1.50995682145066E-4,2.0215445993366208E-4,7.039857469851615E-5,4.169568733150724E-5,0.05947860244837698,8.87216512219939E-5,4.95105857200418E-5,1.0923376153188695E-4,5.040873172747671E-5,4.6945622452407805E-5,4.279144635363357E-5,1.498424706370195E-4,1.5036302992267833E-4,0.12788215919612458,2.105531177420739E-4,9.584284304974444E-4,7.957566558914574E-6,1.601922426110283E-4,4.627788603961385E-4,1.1009525735379277E-4,1.1504096507024164E-4,7.104845517927372E-5,4.30483302177165E-5,1.6019482042776303E-4,1.6073265663807114E-4,4.877747324296631E-4,1.9036193782095656E-4,3.751471467030592E-4,4.494804659046219E-4,4.659373741974435E-4,3.8783626513388855E-5,5.167482476870331E-5,0.08494784720337062,6.451844883871021E-5,1.3786000413334144E-4
4,1.4053776504589094E-4,8.031306375076774E-5,1.7643598031243812E-4,3.191927759601353E-4,2.7915084406263005E-5,2.884294997928259E-4,1.4844504382818355E-4,0.06292822660415788,2.6885278201465174E-4,4.921590592250661E-4,5.620631808776492E-4,4.941586883998338E-4,7.087821229972284E-5,7.018699225753209E-5,7.93875420903143E-5,1.9130890122701143E-4,0.13112990778296538,5.75369905594036E-5,1.585252951780479E-4,2.8166079346393034E-4,9.841097643640978E-5,3.4384545500137437E-4,6.630968928585642E-5,6.621684514327232E-5,2.2428399760357493E-5,5.918654168484456E-4,3.1156601120375097E-4,5.4469419603911624E-5,6.860096792681125E-5,1.021993300578361E-4,4.186042190133231E-4,4.68567354231131E-4,0.0011656019384716596,1.272585799296323E-4,1.1319490465623809E-4,2.1643229873789186E-5,2.490578712917596E-4,5.030583546218409E-4,4.833919512101527E-5,3.636754010993957E-5,3.958044117304592E-5,8.733456221820981E-5,0.0016167151451321824,2.0836230002910125E-4,0.1889446120046353,4.095124251221872E-4,1.1825498553584072E-4,5.738693533770892E-5,6.450143125610025E-4,0.007300753835972656,5.49989391817683E-4,0.016537380760247824,4.262390763502304E-5,7.031779894778223E-4,2.058910633862274E-4,5.022061623627757E-4,3.820421720473501E-4,1.5439487585464342E-4,7.325107370413171E-5,3.3926924945485364E-4,0.1103808711695283,0.23539059083525204,3.1307372387164283E-4,1.8564790691470852E-5,0.06319986788929494,2.7864936226083766E-4,0.016028850733588642,1.2991442977135798E-4,7.694575446726727E-5,1.7202721144351648E-4,1.6372806944231486E-4,9.136746786438484E-5,2.0158138004880243E-4,9.30249179890077E-5,8.66340518580779E-5,7.896788217561934E-5,2.765212110004573E-4,2.77481857761392E-4,0.0011584868808141096,3.885574153338602E-4,0.0017686960788335046,1.4684995062702661E-5,2.9562081251973744E-4,8.540180254511665E-4,2.031711954524893E-4,2.122980677016771E-4,1.3111372751905705E-4,7.944193894257403E-5,2.9562556965569625E-4,2.9661809947425854E-4,0.12614648419725397,3.5129635376980926E-4,0.01634809364940772,8.294769982409044E-4,8.59846787200659E-4,7.157180020376798E-5,9.536138227387206E-5,2.0592017201419527E-4,1.1906317033418919E-4,2.544086141226608E-4
5,2.6886559473237835E-5,1.536485203324424E-5,3.3754318466217036E-5,6.106540509931767E-5,5.340490343249476E-6,0.0030503208000344987,2.839931671099638E-5,5.836113229845588E-5,5.143476069099286E-5,0.0060844374859425135,1.0752942552807443E-4,0.009079960817490377,1.3559851828659728E-5,1.342761314699728E-5,1.5187788642778158E-5,3.659968656054998E-5,0.09397496148626171,1.1007516151131218E-5,3.0327789654441973E-5,5.3885086846759544E-5,1.882719972039502E-5,0.0030609225366922174,1.2685838600421285E-5,1.266807640276207E-5,4.290821786225895E-6,1.132309505921925E-4,5.960631355802297E-5,1.0420653047777606E-5,1.312418767641289E-5,1.9551957189783228E-5,8.008400607889885E-5,8.964255289415783E-5,0.44949411040290194,2.434609214569895E-5,2.165554244521847E-5,4.1406093728939996E-6,4.764775693264589E-5,9.62410948091618E-5,9.247867604022535E-6,6.957546462632049E-6,7.572212958051486E-6,1.67081488764414E-5,3.0929699135806544E-4,3.98622062182627E-5,0.009191102678345916,7.83446368987171E-5,2.262359658685367E-5,1.0978808788088645E-5,1.2339897158673412E-4,0.13018777521941124,0.003100360343430137,1.686584408426873E-4,8.154464582787604E-6,1.345263803518843E-4,3.9389429018843195E-5,9.607806021238628E-5,7.308924812260893E-5,2.9537590914965345E-5,1.4013808665461262E-5,6.490627519179685E-5,1.5119864992589577E-4,1.0593063565754086E-4,5.989475706856686E-5,3.551667047440621E-6,1.1032936707036576E-4,5.3308963951144436E-5,7.137054956851829E-5,2.485418806353448E-5,1.4720645393939437E-5,3.291086812132707E-5,3.1323142751428874E-5,1.7479692080294362E-5,3.856493492414444E-5,1.7796782161633327E-5,1.6574132845567735E-5,1.5107502669457778E-5,5.29018230989217E-5,5.3085606342252846E-5,0.024182758658420504,7.43356922797945E-5,0.227969071933076,2.809415625676361E-6,5.6555805869998096E-5,1.6338388777573126E-4,3.886908567244145E-5,4.061516576310108E-5,2.50836281020117E-5,1.5198195412822924E-5,5.655671596714413E-5,5.674659882167099E-5,1.7220867019488947E-4,6.720720444984572E-5,1.324455470240184E-4,1.5868889502835404E-4,1.6449899978410773E-4,1.3692543510685116E-5,1.8243775793071742E-5,0.03598108433998726,2.277821202875334E-5,4.867141819054371E-5
6,6.655632877564598E-5,3.8034920181276935E-5,8.355712153024149E-5,1.5116434598683704E-4,1.3220115852393592E-5,1.3659537427920495E-4,7.03010834057136E-5,1.444700543720119E-4,1.2732416903151416E-4,2.33078277180514E-4,2.661836969369961E-4,0.03730562875496113,3.356673275194023E-5,3.323938253138321E-5,3.759660864343509E-5,9.060068746372055E-5,0.00278635976202516,2.7248553861536388E-5,7.507492140408825E-5,1.3338982846975887E-4,4.66057881359879E-5,1.6283944136730936E-4,3.1403156864486E-5,3.1359187435509356E-5,1.0621714013130437E-5,2.802975361237372E-4,1.4755243809535555E-4,2.5795803698690986E-5,3.248826800521182E-5,4.8399888882244437E-5,1.982439383351916E-4,2.219056413168252E-4,5.52009531481576E-4,6.026752939007318E-5,5.360720862160002E-5,1.0249870721769481E-5,1.1794963126419474E-4,2.3824000070453444E-4,2.2892632184479598E-5,1.7223057130076373E-5,1.8744633194772594E-5,4.1360184108337175E-5,7.656491812065417E-4,9.86768911591719E-5,5.091513673385985E-4,1.9393821721331908E-4,5.6003578071080166E-5,2.7177490224895E-5,3.0546796185202714E-4,0.1665725699291389,2.6046575290977677E-4,4.1750550681975823E-4,2.0185967873710015E-5,0.12637646515944645,9.750655492654555E-5,2.3783641674149158E-4,1.8092876601988333E-4,7.31188240776506E-5,3.469048012133456E-5,1.606722271612224E-4,3.7428467055884885E-4,2.622259728417164E-4,1.4826646553125973E-4,8.791973548954006E-6,2.7311481172045596E-4,1.319636651522134E-4,1.7667421399562207E-4,6.152529533780203E-5,3.6440218972752945E-5,0.10388195896594835,7.753886804764665E-5,4.327010059249598E-5,9.546556116923827E-5,4.4055041176883474E-5,4.102843414899734E-5,3.7397864745328574E-5,1.3095580840336065E-4,1.3141075459975957E-4,0.386093316223628,1.840142759829078E-4,8.376248027610174E-4,6.9545674014584245E-6,1.400010593918472E-4,4.0444861538601603E-4,9.621847108399193E-5,1.0054080472799078E-4,6.209326263947136E-5,3.762237008045649E-5,1.4000331229166243E-4,0.007554794055156741,4.2629392142629475E-4,0.09655253712811034,3.278623053788327E-4,0.05970739197553836,4.072090192050711E-4,3.3895204352163595E-5,4.516155148082354E-5,9.752034028461357E-5,5.638632083871131E-5,1.2048365333955008E-4
7,1.0215437918943614E-4,5.83781246669339E-5,1.282481476036798E-4,2.3201550031276636E-4,2.029097386465008E-5,2.0965422697332992E-4,1.0790203822485011E-4,2.217407267997816E-4,1.9542426216249666E-4,3.577415874030476E-4,0.2849064150316252,3.5919508196296737E-4,5.152010047385439E-5,5.101766503046852E-5,5.770537958222927E-5,1.3905900689310777E-4,0.40257366689141594,4.1822605824883045E-5,1.1522919202143012E-4,2.0473417582040208E-4,7.153317259602744E-5,2.4993509026776425E-4,4.8199323086069824E-5,4.813183634509342E-5,1.63028012647253E-5,4.302163493357587E-4,2.2647174188841754E-4,3.959284355083875E-5,4.9864812408746364E-5,7.428685885409827E-5,3.042758941372184E-4,3.405932004418005E-4,8.472551300904379E-4,9.250197784912706E-5,8.227934469279158E-5,1.573207536557332E-5,1.8103569681604295E-4,3.6566408961799486E-4,3.513689339297427E-5,2.6434912219962167E-5,2.877031234100106E-5,6.348192588852657E-5,0.01255507567962196,1.5145481642607215E-4,0.023541302932009314,2.976672323276043E-4,8.595742667122173E-5,4.171353337726479E-5,4.688493277693309E-4,0.0053067869371990345,3.997774182872824E-4,6.408108235824092E-4,3.098255349131123E-5,5.111274606603191E-4,1.496585188614956E-4,3.650446463591212E-4,2.776995983744078E-4,1.1222686434362298E-4,5.3244890843124956E-5,2.466087285848712E-4,5.744730646118894E-4,4.0247910237491136E-4,2.2756767116788383E-4,1.3494413172500333E-5,4.191919018368681E-4,2.0254522052484024E-4,2.711694737602238E-4,9.443246743470752E-5,5.593048798164513E-5,1.25043492636758E-4,1.1901099526026358E-4,6.641337262442744E-5,1.4652588738913691E-4,6.761814337386275E-5,6.297273747976201E-5,5.7400336321847575E-5,2.0099830556746646E-4,2.0169658245732297E-4,8.420833223726567E-4,2.824354117907109E-4,0.0012856334370268925,1.067425936039664E-5,2.148814631324851E-4,6.207703756927132E-4,1.4768149567375997E-4,1.5431565531229285E-4,9.53042154437888E-5,5.774491967787998E-5,2.1488492100923753E-4,2.1560637312148032E-4,0.21687267443278674,2.5535101486172845E-4,5.032214198365978E-4,6.029319434498442E-4,6.250071979999992E-4,5.2024257073526354E-5,6.931647733015323E-5,1.496796774007547E-4,8.654488169669953E-5,0.034324668422881316
8,1.8513519358701347E-5,1.0579913947122552E-5,2.3242513754357428E-5,4.204835358642531E-5,3.6773493259009432E-6,3.7995802240709937E-5,1.9555172175386028E-5,4.018624821367213E-5,3.5416894404458856E-5,6.48337923087664E-5,7.404250079395908E-5,0.002127488154733012,9.337028770114408E-6,9.245971995246513E-6,1.0457991820553179E-5,0.030961065941121763,0.16164155632967692,7.579544104853972E-6,2.088307808341972E-5,3.710413745856078E-5,1.2964013742279477E-5,4.529593512100284E-5,8.735201643930423E-6,8.722970968207697E-6,2.9545696348058695E-6,7.796845103514698E-5,4.104365383959587E-5,7.175442515148555E-6,9.037039598032259E-6,1.3463066492157637E-5,0.01242948982890738,6.1725976505894E-5,1.5354872083947252E-4,1.6764206989621367E-5,1.4911551055158107E-5,2.8511365263449155E-6,3.2809243267041375E-5,6.626959368399466E-5,6.367887125319871E-6,4.790820158794034E-6,5.214066579498024E-6,1.1504879900306972E-5,2.1297540292558852E-4,2.7448276795583574E-5,0.4930530628815062,0.0021163374136256605,1.5578132776381065E-5,7.5597768184536814E-6,8.496993643194917E-5,0.04839674493814781,7.245197936065203E-5,0.02486482598843129,5.614992802018874E-6,9.26320360691618E-5,2.7122732359802643E-5,0.004190939220388787,5.0327718999440045E-5,2.0338963851359512E-5,9.649613900037984E-6,4.469309594857653E-5,1.0411221023645095E-4,7.294160771583651E-5,0.03716427927006604,2.445603228033071E-6,0.012450316148347166,3.6707431350009476E-5,4.914425932381285E-5,0.010329068793399784,1.0136326804645482E-5,2.2661731586829947E-5,2.1568457291129524E-5,1.2036148322911366E-5,0.012400900669764727,1.2254489883688765E-5,1.1412599280154532E-5,1.0402708587948482E-5,3.642708272240442E-5,3.655363199832063E-5,1.5261143001491504E-4,5.118599423010183E-5,2.3299636993978686E-4,1.9345045104922734E-6,3.894313840576619E-5,1.1250270873246928E-4,2.6764434875650047E-5,2.796674890145341E-5,0.010329226780984555,1.046515770352445E-5,0.004163725653978608,3.907451441941404E-5,0.11767486310192214,4.627746744111694E-5,0.010403153940252676,1.0926983547458558E-4,1.1327055140771924E-4,9.428397471504442E-6,1.2562280296853696E-5,2.712656693869475E-5,1.56845977177066E-5,0.0020959050593285047
9,1.1099627607596429E-4,6.343100015626282E-5,1.3934857135445368E-4,2.5209743068246176E-4,2.2047244129929384E-5,2.278006938348764E-4,1.172414194966126E-4,2.4093333173227994E-4,2.1233906492354487E-4,0.09930786205808927,4.439156975099077E-4,3.902849471460844E-4,5.597938474133196E-5,5.5433461369011425E-5,6.270002611733152E-5,1.5109515658975255E-4,0.07883619148131663,4.54425306011257E-5,1.2520276968159172E-4,2.2245479128609244E-4,7.772467354859455E-5,2.715680375188519E-4,5.237117991794567E-5,5.2297851911918706E-5,1.7713878194447058E-5,4.6745340789270323E-4,2.4607383633976223E-4,4.3019772899327794E-5,5.4180824439582514E-5,8.071670308812727E-5,3.3061226955611624E-4,3.7007299350064215E-4,9.205886724826796E-4,1.0050841826246639E-4,8.940097263901674E-5,1.7093753536369486E-5,0.2845892797914234,3.9731387498366077E-4,3.8178141264663534E-5,2.8722966534500053E-5,3.126050548916367E-5,6.897655712527161E-5,0.0012768764362140477,1.645638762670022E-4,8.491139276036679E-4,3.2343159990168735E-4,9.339740828815119E-5,4.532401746831457E-5,5.094302352580541E-4,0.14177995202941893,4.3437985763551267E-4,6.962757314096084E-4,3.3664225539295697E-5,5.553677207342492E-4,1.6261210149264246E-4,3.9664081627075094E-4,3.0173568213057736E-4,1.2194057774776955E-4,5.785346306787831E-5,2.67953765055816E-4,6.241961566779359E-4,4.3731538399512587E-4,2.472646229690637E-4,1.4662412143882597E-5,4.554747474781297E-4,0.09913923278423255,2.9464034740055763E-4,1.0260599994915557E-4,6.0771510084376956E-5,1.3586653984235336E-4,1.293119041082629E-4,7.216173306958087E-5,1.592083274155138E-4,7.34707818619443E-5,6.842329628963868E-5,6.236858006271205E-5,2.1839556554100853E-4,2.191542812716406E-4,0.03800965287713485,3.068814003814362E-4,0.2363299069678647,1.1598162000240054E-5,2.3348036956135612E-4,6.745006973454722E-4,1.604639585222119E-4,1.676723329513207E-4,1.0355320146369097E-4,6.274298857677514E-5,2.3348412673207847E-4,2.3426802359936393E-4,7.109322082898973E-4,2.7745273346833715E-4,5.46777378382794E-4,6.551182727670786E-4,6.791042346801982E-4,5.6527178243350475E-5,7.531611386021361E-5,1.6263509139364922E-4,9.403571004973528E-5,2.0093110745030994E-4
