,T0,T1,T2,T3,Text
1624395,"Removing Array Elements in Python while keeping track of their position I'v got two numpy arrays. The first array contains some zeros (which are distributed randomly over the length of the array) which I would like to remove. My issue is that I would also like to remove the entries of the second array at the index positions where the first array elements are zero. I only came up with a very cumbersome for-loop. Does anyone have an ""elegant"" method for doing this? Thx! You can use boolean indexing. x!=0 gives you a boolean array with True where x!=0 false where x==0. If you index either x or y with this array (ie x_nozeros=x[x!=0]) then you will get only the elements where x!=0. eg: In [1]: import numpy as np In [2]: x = np.array([120304]) In [3]: y = np.arange(17) In [4]: indx = x!=0 In [5]: x_nozeros = x[indx] In [6]: y_nozeros = y[indx] In [7]: x_nozeros Out[7]: array([1 2 3 4]) In [8]: y_nozeros Out[8]: array([1 2 4 6])  Is it what you want? I am a NumPy newbie. In [1]: import numpy as np In [2]: a = np.array([120304]) In [3]: b = np.array([123456]) In [4]: b[np.where(a)] Out[4]: array([1 2 4 6]) In [5]: np.where(a) Out[5]: (array([0 1 3 5])) In [6]: a[np.where(a)] Out[6]: array([1 2 3 4]) That's exactly what I looked for thanks! @AFoglia thanks for the introduction of np.extract. it's really cool. @Dzz Glad it helped :) This is the way I usually do it but there is an even simpler method. `np.extract(ab)`. It does the same as `b[np.where(a)]`.",python arrays numpy,8.160785648340539E-4,0.0013308720939911964,0.001137591162953122,0.9967154581782217
299495,"How to add an image to a JPanel? I have a JPanel to which I'd like to add JPEG and PNG images that I generate on the fly. All the examples I've seen so far in the Swing Tutorials specially in the Swing examples use ImageIcons. I'm generating these images as byte arrays and they are usually larger than the common icon they use in the examples at 640x480. Is there any (performance or other) problem in using the ImageIcon class to display an image that size in a JPanel? What's the usual way of doing it? How to add an image to a JPanel without using the ImageIcon class? Edit: A more careful examination of the tutorials and the API shows that you cannot add an ImageIcon directly to a JPanel. Instead they achieve the same effect by setting the image as an icon of a JLabel. This just doesn't feel right... I'm doing something very similar in a private project I'm working on. Thus far I've generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems. Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do. The way I do it is: Class MapIcon implements Icon {...} OR Class MapIcon extends ImageIcon {...} The code you use to generate the image will be in this class. I use a BufferedImage to draw onto then when the paintIcon() is called use g.drawImvge(bufferedImage); This reduces the amount of flashing done while you generate your images and you can thread it. Next I extend JLabel: Class MapLabel extends Scrollable MouseMotionListener {...} This is because I want to put my image on a scroll pane I.e. display part of the image and have the user scroll around as needed. So then I use a JScrollPane to hold the MapLabel which contains only the MapIcon. MapIcon map = new MapIcon (); MapLabel mapLabel = new MapLabel (map); JScrollPane scrollPane = new JScrollPane(); scrollPane.getViewport ().add (mapLabel); But for your scenario (just show the whole image every time). You need to add the MapLabel to the top JPanel and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).  JLabel imgLabel = new JLabel(new ImageIcon(""path_to_image.png""));  You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free SwingX libraries. Download  I think there is no need to subclass of anything. Just use a Jlabel. You can set an image into a Jlabel. So resize the Jlabel then fill it with an image. Its OK. This is the way I do. Simpler by a long shot.  If you are using JPanels then are probably working with Swing. Try this: BufferedImage myPicture = ImageIO.read(new File(""path-to-file"")); JLabel picLabel = new JLabel(new ImageIcon(myPicture)); add(picLabel); The image is now a swing component. It becomes subject to layout conditions like any other component. +1 Excellent code. +1 that. clean. Nice just used that code myself. +1. Nice one.. Just used this code.. +1 how to scale the image according to the size of the JLabel? Nice code! I'm not much experienced with Swing but I can't get it work. Does anybody tried it in jdk 1.6.0_16? @ATorras I know you asked this a while back but if any other newbies had my issues remember to picLabel.setBounds();  JPanel is almost always the wrong class to subclass. Why wouldn't you subclass JComponent? There is a slight problem with ImageIcon in that the constructor blocks reading the image. Not really a problem when loading from the application jar but maybe if you're potentially reading over a network connection. There's plenty of AWT-era examples of using MediaTracker ImageObserver and friends even in the JDK demos.  There shouldn't be any problem (other than any general problems you might have with very large images). If you're talking about adding multiple images to a single panel I would use ImageIcons. For a single image I would think about making a custom subclass of JPanel and overriding its paintComponent method to draw the image. (see 2)  Fred Haslam's way works fine. I had trouble with the filepath though since I want to reference an image within my jar. To do this I used: BufferedImage wPic = ImageIO.read(this.getClass().getResource(""snow.png"")); JLabel wIcon = new JLabel(new ImageIcon(wPic)); Since I only have a finite number (about 10) images that I need to load using this method it works quite well. It gets file without having to have the correct relative filepath.  Here's how I do it (with a little more info on how to load an image): import java.awt.Graphics; import java.awt.image.BufferedImage; import java.io.File; import java.io.IOException; import java.util.logging.Level; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.JPanel; public class ImagePanel extends JPanel{ private BufferedImage image; public ImagePanel() { try { image = ImageIO.read(new File(""image name and path"")); } catch (IOException ex) { // handle exception... } } @Override protected void paintComponent(Graphics g) { super.paintComponent(g); g.drawImage(image 0 0 null); // see javadoc for more info on the parameters } } Opps... put the example together a little to quick... @Dutow - Good call I edited the answer. Thanks. I tried using this with some custom buttons on top and found that there were strange redrawing issues. Fred Haslam's answer below did not suffer from this problem. -1 for invalid implementation of paintComponent (@Dogmatixed most probably that's why you are having those redrawing issues) - it _must_ garantee to cover its complete area if it reports being opaque (which is the default) easiest achieved by calling super.paintComponent @kleopatra Thanks I didn't realize that... according to the javadoc: ""Further if you do not invoker super's implementation you must honor the opaque property that is if this component is opaque you must completely fill in the background in a non-opaque color. If you do not honor the opaque property you will likely see visual artifacts."" I'll update the answer now. thanks for the edit reverted my vote :-) Please always respect the `Principle of Encapsulation` while overriding methods of the Super Class the Access Specifier of the `paintComponent(...)` method is `protected` and not `public` :-) How do you handle errors in this implementation? I mean if an error is thrown in the constructor not only will you have to deal not just with that but you'll also have to deal with `NullPointerException`s that paintComponent() will throw (and will throw as many times as it is called). Wait nevermind. `drawImage()` doesn't throw a NPE when `img` is null.  You can subclass JPanel - here is an extract from my ImagePanel which puts an image in any one of 5 locations top/left top/right middle/middle bottom/left or bottom/right: protected void paintComponent(Graphics gc) { super.paintComponent(gc); Dimension cs=getSize(); // component size gc=gc.create(); gc.clipRect(insets.leftinsets.top(cs.width-insets.left-insets.right)(cs.height-insets.top-insets.bottom)); if(mmImage!=null) { gc.drawImage(mmImage(((cs.width-mmSize.width)/2) +mmHrzShift)(((cs.height-mmSize.height)/2) +mmVrtShift)null); } if(tlImage!=null) { gc.drawImage(tlImage(insets.left +tlHrzShift)(insets.top +tlVrtShift)null); } if(trImage!=null) { gc.drawImage(trImage(cs.width-insets.right-trSize.width+trHrzShift)(insets.top +trVrtShift)null); } if(blImage!=null) { gc.drawImage(blImage(insets.left +blHrzShift)(cs.height-insets.bottom-blSize.height+blVrtShift)null); } if(brImage!=null) { gc.drawImage(brImage(cs.width-insets.right-brSize.width+brHrzShift)(cs.height-insets.bottom-brSize.height+brVrtShift)null); } }",java image swing jpanel,0.1799600894717954,0.8197437023249882,1.560595988072366E-4,1.401486044091912E-4
2908884,Thoughts/Input about Database Design for a CMS I'm just about to expand the functionality of our own CMS but was thinking of restructuring the database to make it simpler to add/edit data types and values. Currently the CMS is quite flat - the CMS requires a field in the database for every type of stored value (manually created). The first option that comes to mind is simply a table which keeps the data types (ie: Address 1 Suburb Email Address etc) and another table which holds values for each of these data types. Just like how Wordpress keeps values in the 'options' table PHP serialize would be used to store an array of values. The second option is how Drupal works the CMS creates tables for every data type. Unlike Wordpress this can be a bit of an overkill but really useful for SQL queries when ordering and grouping by a particular value. What's everyone's thoughts? I'm talking about CMS through the whole question. The main question I'm asking is what's the best method of how the database should be structured? Wordpress Vs Drupal Method of structuring the database. Are you talking about a CMS (content management system) or a CRM (customer relationship management) product? It sounds like you are confusing the two. I think My Lively wants to know what you mean by CMS. See here http://en.wikipedia.org/wiki/CMS for the possibilities. In my opinion you should avoid serialization where possible. Your relational database should be relational and thus be structured as such. This would include the 'Drupal Method' e.g. one table per data type. This also keeps your database healthy in a sense that it can be indexed en easily queried upon. Very good point I have already adopted the process of creating tables on the fly for the different data types. This has produced a much better system.  Unless you plan to have lots of different data types that will be added in the future which are unknown now this is not really going to help you and would be overkill. If you have very wide tables and lots of holes in your data (i.e. lots of columns that seem to be NULL at random) then that is a pattern that is screaming to maybe have a seperate table for data that may only belong to certain entries. Keep it simple and logical. Don't abstract for the sake of abstraction. Indeed storing integers is cheaper with regards to storage space but unless that is a problem then don't do it in this case. Hi Lloyd after careful consideration with all of our clients the best approach was to create a new table for each data type (blog photo testimonial). We have a master table which keeps record of the structure and we create/amend tables on the fly based on this structure. We tested each scenario with 10 million rows in the database and speed is our biggest consideration. Selecting inserting updating and deleting table rows was much faster and efficient compared to a segmented database with a table full of keys and another table full of values. A good solution: clean separation simple and logical. Well done Dallas good work.,php sql mysql database content-management-system,0.011895870108077503,0.0062707586756868055,0.952450016432355,0.02938335478388051
138793,"How do I add a separator to a JComboBox in Java? I have a JComboBox and would like to have a separator in the list of elements. How do I do this in Java? A sample scenario where this would come in handy is when making a combobox for font-family-selection; similar to the font-family-selection-control in Word and Excel. In this case I would like to show the most-used-fonts at the top then a separator and finally all font-families below the separator in alphabetical order. Can anyone help me with how to do this or is this not possible in Java? By the time I wrote and tested the code below you probably got lot of better answers... I don't mind as I enjoyed the experiment/learning (still a bit green on the Swing front). [EDIT] Three years later I am a bit less green and I took in account the valid remarks of bobndrew. I have no problem with the key navigation that just works (perhaps it was a JVM version issue?). I improved the renderer to show highlight though. And I use a better demo code. The accepted answer is probably better (more standard) mine is probably more flexible if you want a custom separator... The base idea is to use a renderer for the items of the combo box. For most items it is a simple JLabel with the text of the item. For the last recent/most used item I decorate the JLabel with a custom border drawing a line on its bottom. import java.awt.*; import javax.swing.*; @SuppressWarnings(""serial"") public class TwoPartsComboBox extends JComboBox { private int m_lastFirstPartIndex; public TwoPartsComboBox(String[] itemsFirstPart String[] itemsSecondPart) { super(itemsFirstPart); m_lastFirstPartIndex = itemsFirstPart.length - 1; for (int i = 0; i < itemsSecondPart.length; i++) { insertItemAt(itemsSecondPart[i] i); } setRenderer(new JLRenderer()); } protected class JLRenderer extends JLabel implements ListCellRenderer { private JLabel m_lastFirstPart; public JLRenderer() { m_lastFirstPart = new JLabel(); m_lastFirstPart.setBorder(new BottomLineBorder()); // m_lastFirstPart.setBorder(new BottomLineBorder(10 Color.BLUE)); } @Override public Component getListCellRendererComponent( JList list Object value int index boolean isSelected boolean cellHasFocus) { if (value == null) { value = ""Select an option""; } JLabel label = this; if (index == m_lastFirstPartIndex) { label = m_lastFirstPart; } label.setText(value.toString()); label.setBackground(isSelected ? list.getSelectionBackground() : list.getBackground()); label.setForeground(isSelected ? list.getSelectionForeground() : list.getForeground()); label.setOpaque(true); return label; } } } Separator class can be thick with custom color etc. import java.awt.*; import javax.swing.border.AbstractBorder; /** * Draws a line at the bottom only. * Useful for making a separator in combo box for example. */ @SuppressWarnings(""serial"") class BottomLineBorder extends AbstractBorder { private int m_thickness; private Color m_color; BottomLineBorder() { this(1 Color.BLACK); } BottomLineBorder(Color color) { this(1 color); } BottomLineBorder(int thickness Color color) { m_thickness = thickness; m_color = color; } @Override public void paintBorder(Component c Graphics g int x int y int width int height) { Graphics copy = g.create(); if (copy != null) { try { copy.translate(x y); copy.setColor(m_color); copy.fillRect(0 height - m_thickness width - 1 height - 1); } finally { copy.dispose(); } } } @Override public boolean isBorderOpaque() { return true; } @Override public Insets getBorderInsets(Component c) { return new Insets(0 0 m_thickness 0); } @Override public Insets getBorderInsets(Component c Insets i) { i.left = i.top = i.right = 0; i.bottom = m_thickness; return i; } } Test class: import java.awt.*; import java.awt.event.*; import javax.swing.*; @SuppressWarnings(""serial"") public class TwoPartsComboBoxDemo extends JFrame { private TwoPartsComboBox m_combo; public TwoPartsComboBoxDemo() { Container cont = getContentPane(); cont.setLayout(new FlowLayout()); cont.add(new JLabel(""Data: "")) ; String[] itemsRecent = new String[] { ""ichi"" ""ni"" ""san"" }; String[] itemsOther = new String[] { ""one"" ""two"" ""three"" }; m_combo = new TwoPartsComboBox(itemsRecent itemsOther); m_combo.setSelectedIndex(-1); cont.add(m_combo); m_combo.addActionListener(new ActionListener() { public void actionPerformed(ActionEvent ae) { String si = (String) m_combo.getSelectedItem(); System.out.println(si == null ? ""No item selected"" : si.toString()); } }); // Reference to check we have similar behavior to standard combo JComboBox combo = new JComboBox(itemsRecent); cont.add(combo); } /** * Start the demo. * * @param args the command line arguments */ public static void main(String[] args) { // turn bold fonts off in metal UIManager.put(""swing.boldMetal"" Boolean.FALSE); SwingUtilities.invokeLater(new Runnable() { public void run() { JFrame demoFrame = new TwoPartsComboBoxDemo(); demoFrame.setTitle(""Test GUI""); demoFrame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE); demoFrame.setSize(400 100); demoFrame.setVisible(true); } }); } } C++ braces traitor! ;) :-D Not really C++ specific actually. I first used K&R style when I read their C book years ago then I chose to align braces for better readability (for me question of taste) and never came back (except on projects requiring them of course). @bobndrew: hey! As I wrote I was a newbie at the time (3 years already!). Among sins you don't point out I probably used some Swing test template I found and even worse I didn't use SwingUtilities.invokeLater! The code I have currently uses it at least (but it is still a JFrame subclass...). And m_lastRecentIndex is more local... But most of your criticism is about a quickly made test class which isn't really production code. Today I pay more attention to such code as newbies can take inspiration from it... :-) Also you are right about highlighting hovered elements and selection. TODO Your variable-naming is not the worst thing here: You're breaking the whole combobox-item-selection: the selection is not painted anymore and the first-letter-key-jumps are broken. And you should define `m_combo` and `m_renderer` in the smallest possible scope (in `public TestGui()`). And should not use a glooooobal `m_lastRecentIndex` for the Renderer **and** the 'TestGui' class (which should be a lonely Main class not a 'JFrame' subclass). But I like the braces-style! Note: I edited the code above for a more modern / correct version. One advantage of my approach is that it is more flexible (in look at least) than JSeparator and it doesn't take a slot.  You can use a custom ListCellRenderer which would draw the separator items differently. See docs and a small tutorial.  There is a pretty short tutorial with an example that shows how to use a custom ListCellRenderer on java2s http://www.java2s.com/Code/Java/Swing-Components/BlockComboBoxExample.htm Basically it involves inserting a known placeholder in your list model and when you detect the placeholder in the ListCellRenderer you return an instance of 'new JSeparator(JSeparator.HORIZONTAL)' The `BlockComboBoxExample` example breaks the cursor-key and the first-letter-key navigation. Santhosh Kumar's [example](http://www.jroller.com/santhosh/entry/jcombobox%5Fitems%5Fwith%5Fseparators) seems to work better.",java swing,1.1429492373428825E-4,0.9995833009054689,1.5932399258270744E-4,1.430801782141411E-4
310459,"Adding a dimension to every element of a numpy.array I'm trying to transform each element of a numpy array into an array itself (say to interpret a greyscale image as a color image). In other words: >>> my_ar = numpy.array((0510)) [0 5 10] >>> transformed = my_fun(my_ar) # In reality my_fun() would do something more useful array([ [ 0 0 0] [ 5 10 15] [10 20 30]]) >>> transformed.shape (3 3) I've tried: def my_fun_e(val): return numpy.array((val val*2 val*3)) my_fun = numpy.frompyfunc(my_fun_e 1 3) but get: my_fun(my_ar) (array([[0 0 0] [ 5 10 15] [10 20 30]] dtype=object) array([None None None] dtype=object) array([None None None] dtype=object)) and I've tried: my_fun = numpy.frompyfunc(my_fun_e 1 1) but get: >>> my_fun(my_ar) array([[0 0 0] [ 5 10 15] [10 20 30]] dtype=object) This is close but not quite right -- I get an array of objects not an array of ints. Update 3! OK. I've realized that my example was too simple beforehand -- I don't just want to replicate my data in a third dimension I'd like to transform it at the same time. Maybe this is clearer? Use map to apply your transformation function to each element in my_ar: import numpy my_ar = numpy.array((0510)) print my_ar transformed = numpy.array(map(lambda x:numpy.array((xx*2x*3)) my_ar)) print transformed print transformed.shape  I propose:  numpy.resize(my_ar (33)).transpose() You can of course adapt the shape (my_ar.shape[0])*2 or whatever  Does numpy.dstack do what you want? The first two indexes are the same as the original array and the new third index is ""depth"". >>> import numpy as N >>> a = N.array([[123][456][789]]) >>> a array([[1 2 3] [4 5 6] [7 8 9]]) >>> b = N.dstack((aaa)) >>> b array([[[1 1 1] [2 2 2] [3 3 3]] [[4 4 4] [5 5 5] [6 6 6]] [[7 7 7] [8 8 8] [9 9 9]]]) >>> b[11] array([5 5 5])  Does this do what you want: tile(my_ar (113))",python arrays numpy,0.06284239300417485,8.331404192035461E-4,7.121444522461247E-4,0.9356123221243755
1721802,What is the equivalent of MATLAB's repmat in NumPy I would like to execute the equivalent of the following MATLAB code using NumPy: repmat([1; 1] [1 1 1]). How would I accomplish this? Note that some of the reasons you'd need to use MATLAB's repmat are taken care of by NumPy's broadcasting mechanism which allows you to do various types of math with arrays of similar shape. So if you had say a 1600x1400x3 array representing a 3-color image you could (elementwise) multiply it by [1.0 0.25 0.25] to reduce the amount of green and blue at each pixel. See the above link for more information. thank kwatford :)  Here is a much better (official) NumPy for Matlab Users link - I'm afraid the mathesaurus one is quite out of date. The numpy equivalent of repmat(a m n) is tile(a (m n)). This works with multiple dimensions and gives a similar result to matlab. (Numpy gives a 3d output array as you would expect - matlab for some reason gives 2d output - but the content is the same). Matlab: >> repmat([1;1][111]) ans = 1 1 Python: In [46]: a = np.array([[1][1]]) In [47]: np.tile(a [111]) Out[47]: array([[[1] [1]]]) when i try size(repmat([1;1][112])) it get ans = 2 1 2 [in matlab] but in python np.tile(a[112]).shape it get(1 2 2)  i want numpy give result as same as matlab np.tile(a[:np.newaxis][112]) - it gives the same. Problem is tile promotes `a` to the dimension of the tile argument by *prepending* new axes as necessary. Matlab seems to work the other way. Similarly with 4d tiling you will need newaxis twice... so `np.tile(a[:newaxisnewaxis][1234]) = size(repmat(a[1 2 3 4]))` as required...  See NumPy for Matlab users. Matlab: repmat(a 2 3) Numpy: numpy.kron(numpy.ones((23)) a) I don't think the mathesaurus link is very good. There is an Numpy For Matlab Users page as part of the official documentation which is more comprehensive and up to date: http://www.scipy.org/NumPy_for_Matlab_Users thank you rcs i will try it I've edited the answer to point to the official docs. This is probably slow but it works nicely  Know both tile and repeat. x = numpy.arange(5) print numpy.tile(x 2) print x.repeat(2),python matlab numpy,0.06325010969654413,0.008488150466054856,0.01625458908895164,0.9120071507484494
1782114,Why don't these two math functions return the same result? I'm trying to use fancy indexing instead of looping to speed up a function in Numpy. To the best of my knowledge I've implemented the fancy indexing version correctly. The problem is that the two functions (loop and fancy-indexed) do not return the same result. I'm not sure why. It's worth pointing out that the functions do return the same result if a smaller array is used (e.g. 20 x 20 x 20). Below I've included everything necessary to reproduce the error. If the functions do return the same result then the line find_maxdiff(data) - find_maxdiff_fancy(data) should return an array full of zeroes. from numpy import * def rms(data axis=0): return sqrt(mean(data ** 2 axis)) def find_maxdiff(data): samples channels epochs = shape(data) window_size = 50 maxdiff = zeros(epochs) for epoch in xrange(epochs): signal = rms(data[: : epoch] axis=1) for t in xrange(window_size alen(signal) - window_size): amp_a = mean(signal[t-window_size:t] axis=0) amp_b = mean(signal[t:t+window_size] axis=0) the_diff = abs(amp_b - amp_a) if the_diff > maxdiff[epoch]: maxdiff[epoch] = the_diff return maxdiff def find_maxdiff_fancy(data): samples channels epochs = shape(data) window_size = 50 maxdiff = zeros(epochs) signal = rms(data axis=1) for t in xrange(window_size alen(signal) - window_size): amp_a = mean(signal[t-window_size:t] axis=0) amp_b = mean(signal[t:t+window_size] axis=0) the_diff = abs(amp_b - amp_a) maxdiff[the_diff > maxdiff] = the_diff return maxdiff data = random.random((600 20 100)) find_maxdiff(data) - find_maxdiff_fancy(data) data = random.random((20 20 20)) find_maxdiff(data) - find_maxdiff_fancy(data) What magnitude of difference is there between the two? This isn't the typical floating point accuracy issue that catches so many people out is it? At what value between 20x20x20 and 600x20x100 do things start to go wrong? Do things go wrong gradually and more and more or all at once? The magnitude of the differences is rather large to just be floating point errors. First in fancy your signal is now 2D if I understand correctly - so I think it would be clearer to index it explicitly (eg amp_a = mean(signal[t-window_size:t:] axis=0). Similarly with alen(signal) - this should just be samples in both cases so I think it would be clearer to use that. It is wrong whenever you are actually doing something in the t loop - when samples < window_lenght as in the 20x20x20 example that loop never gets executed. As soon as that loop is executed more than once (ie samples > 2 *window_length+1) then the errors come. Not sure why though - they do look equivalent to me.  The problem is this line: maxdiff[the_diff > maxdiff] = the_diff The left side selects only some elements of maxdiff but the right side contains all elements of the_diff. This should work instead: replaceElements = the_diff > maxdiff maxdiff[replaceElements] = the_diff[replaceElements] or simply: maxdiff = maximum(maxdiff the_diff) As for why 20x20x20 size seems to work: This is because your window size is too large so nothing gets executed. Thanks for helping me better understand how fancy assignment works. Also I should have caught the silly reason why the smaller array was working :) Thanks again.,python numpy scipy,2.37270081275033E-4,0.04381076990133719,3.307479932971072E-4,0.9556212120240906
3750707,"""disable"" some MySql records so they are not returned when searching? I have a mysql database which I support using phpMyAdmin. The website this is for is a classifieds website. The issue here is that whenever a new classified is posted (and inserted into mysql database) I need to first review it manually. My question is is there anyway to tell mysql that ""this record is inactive so don't return it""? I know of one way offcourse to add a column named ""state"" and change it to ""active"" for all classifieds which I want active. But is there any other method built into mysql which does the same? In other words I dont want the record returned when users search the website if the record isn't ""reviewed"" first by me. EDIT: I know of the WHERE clause that is not my Q here. Is there any other method built into phpMyAdmin? Thanks No there is no built-in method. Beside of methods mentioned above you could try using views to filter inactive records. Instead of: SELECT * FROM table WHERE status = 'active'; use a view: CREATE VIEW only_active AS SELECT * FROM table WHERE status = 'active'; and then just SELECT * FROM only_active That makes you sure that you will never get inactive records incidentally.  Have a reviewed column in the table of type BOOLEAN. Initialize it to false and update to true once a listing has been reviewed. Whenever you get the list of classifieds for the site include reviewed=true in the WHERE clause. There is no way built into phpMyAdmin.  There really isn't a way to achieve this without having some sort of DB field that tells you which records you've reviewed and which you haven't. So the only sensible answer you're going to get is ""add a state field"". The question really is why you don't want to do it that way? (especially if you already know how to do it). If you can answer that you may get some useful help help with solving the problems you perceive the obvious answer may cause you.  On a row level there are no properties other then ones you specify yourself. So the answer is definitively no. Using views as Piotr described might be useful to you; especially if you reverse the situation and rename the original table create a view in it's name that will return only 'reviewed' records This way the solution might be transparent to your application. Few notes: The database does not care if myphpadmin or any other client/application is looking at the data all clients are essentially equal; so the implication is that what you ask can not be possible (otherwise how would this hiding mechanism determine if it should display the rows or hide them?). There is a semi exception though - RDBMS that support row-level security could do this (but effectively such system store additional attribute per row) EDIT: Forgot to link http://www.sqlmaestro.com/resources/all/row_level_security_mysql/ This gives some examples and details.  I know of the WHERE clause that is not my Q here. Is there any other method built into phpMyAdmin? no it's not. your should realy use a ""state"" column to get what you want. Using a new column 'state' or 'reviewed' will also give you more flexibility in the future. You'll be able to alter the column state to inactive at a later date (eg programmatically when the classified expires after a certain date) or maybe if the ad causes problems in any form you can quickly disable it.  If you are using the ORM Doctrine you can use the SoftDelete behavior which does exactly the thing you want. You can build query's and the ""SoftDeleted"" records do not return. You should be using Doctrine for it though. If you can not go with Doctrine I would use Piotr Pankowski's solution. The only thing is that I would use a DateTime field and not an Boolean field. Set the field to the current DateTime when it's added and NULL when it's not disabled.",php sql mysql html database,2.743312288262845E-4,4.4738312300784033E-4,0.9989348639122939,3.4342173587184247E-4
1727950,"Just Curious about Python+Numpy to Realtime Gesture Recognition i 'm just finish labs meeting with my advisor previous code is written in matlab and it run offline mode not realtime mode so i decide to convert to python+numpy (in offline version) but after labs meeting my advisor raise issue about speed of realtime recognition so i have doubt about speed of python+numpy to do this project. or better in c? my project is about using electronic glove (2x sensors) to get realtime data and do data processing recognition process ohh don't know about accepting answers thankfor that :) What size arrays (N) are you dealing with? I've found for some problems the speed advantage of numpy over pure python only become recognizable when N > 10000 or so. In fact pure python can be faster than numpy when dealing with small arrays since there is a performance hit associated with importing numpy and creating the arrays. NumPy is very fast if you follow some basic rules. You should avoid Python loops using the operators provided by NumPy instead whenever you can. This and this should be a good starting points. After reading through that why don't you write some simple code in both Matlab and NumPy and compare the performance? If it performs well in NumPy it should be enough to convince your advisor especially if the code is representative of the actual algorithms you are using in your project. Note: you should also see that your algorithm really is suited for realtime recognition.  You might look at OpenCV which has Python libs ctypes-opencv and opencv-cython; I haven't used these myself. Ideally you want to combine a fast-running C inner loop with a flexible Python/Numpy play-with-algorithms. Bytheway google ""opencv gesture recognition"" ��� 6680 hits.  I think the answer depends on three things: how well you code in Matlab how well you code in Python/Numpy and your algorithm. Both Matlab and Python can be fast for number crunching if you're diligent about vectorizing everything and using library calls. If your Matlab code is already very good I would be surprised if you saw much performance benefit moving to Numpy unless there's some specific idiom you can use to your advantage. You might not even see a large benefit moving to C. I this case your effort would likely be better spent tuning your algorithm. If your Matlab code isn't so good you could 1) write better Matlab code 2) rewrite in good Numpy code or 3) rewrite in C.",python c numpy gesture-recognition,3.662793334074111E-4,5.97333350541741E-4,5.105833565685681E-4,0.9985258039594822
1824656,Hiding the Cursor I have a windows program with directx/opengl renderers and a custom mouse rendered as a quad. The program currently runs windowed. The problem is the standard windows mouse is overlaid ontop of my custom cursor. How do I hide it when its inside my window? Try ShowCursor(FALSE); when you init your window.,c++ windows opengl directx mouse,0.49667895984724864,0.4979576841018359,0.002825725906566721,0.0025376301443487933
