((42.0, 15.0),112.20038893810766)
((31.0, 38.0),211.3485057383899)
((36.0, 23.0),211.70908513488678)
((30.0, 47.0),122.23096434048557)
((54.0, 42.0),25.80958583443941)
((38.0, 25.0),207.21130854292198)
((33.0, 57.0),20.342186325022418)
((43.0, 37.0),146.27667845421198)
((6.0, 43.0),25.539978343422618)
((32.0, 17.0),175.67630822661727)
((7.0, 21.0),58.19305355739665)
((16.0, 55.0),7.920258074821369)
((51.0, 23.0),78.46276353734564)
((3.0, 35.0),26.446285238285512)
((49.0, 10.0),27.861571857380376)
((50.0, 31.0),96.61245686417317)
((54.0, 15.0),18.76084357182563)
((47.0, 35.0),117.98409803210014)
((36.0, 54.0),44.46097377447842)
((30.0, 25.0),257.6692176618312)
((28.0, 25.0),254.31155943652078)
((19.0, 9.0),71.00785155998608)
((29.0, 42.0),172.0366690520443)
((21.0, 5.0),42.469657293177185)
((28.0, 50.0),91.52371926136581)
((15.0, 7.0),33.31950408712608)
((19.0, 36.0),173.0262855586878)
((12.0, 43.0),75.40772924153096)
((41.0, 45.0),106.17953053336166)
((40.0, 8.0),64.24747489262892)
((41.0, 27.0),185.21137842523592)
((10.0, 42.0),64.87826661274596)
((23.0, 49.0),91.0832492143413)
((16.0, 46.0),83.16918514089814)
((29.0, 45.0),142.07721763204972)
((4.0, 26.0),40.59897406633869)
((24.0, 17.0),164.9498826094265)
((21.0, 41.0),153.36517842899323)
((18.0, 52.0),43.7773506268838)
((11.0, 46.0),48.495629378205436)
((16.0, 22.0),144.77218907634327)
((2.0, 28.0),22.341171929368535)
((49.0, 51.0),9.286734461082133)
((19.0, 27.0),190.33072085398277)
((17.0, 54.0),21.418217810247455)
((37.0, 45.0),126.34099125069731)
((53.0, 22.0),56.42616800943241)
((19.0, 31.0),191.15451799396703)
((43.0, 35.0),155.35953019742215)
((16.0, 42.0),112.39505841331493)
((21.0, 54.0),37.28964155843336)
((32.0, 40.0),189.90316860465504)
((40.0, 9.0),73.20879616774974)
((12.0, 37.0),106.3206107058173)
((20.0, 16.0),135.7604977432337)
((48.0, 6.0),4.556087994526905)
((0.0, 28.0),2.359338676118341)
((48.0, 31.0),116.527846334685)
((11.0, 50.0),20.224310193713215)
((5.0, 31.0),51.97558945246197)
((44.0, 28.0),156.86329267943768)
((44.0, 53.0),22.75815068416609)
((7.0, 12.0),14.73586629707686)
((47.0, 34.0),120.9056351305031)
((8.0, 38.0),65.56924302884333)
((14.0, 30.0),142.42085137509827)
((38.0, 48.0),94.87888161028188)
((29.0, 48.0),112.10482626109328)
((16.0, 39.0),131.3861720255288)
((7.0, 44.0),28.82564410507399)
((28.0, 30.0),280.9626995868421)
((0.0, 29.0),2.6030257139503377)
((25.0, 15.0),150.0641107307266)
((15.0, 53.0),20.270933232529025)
((48.0, 36.0),105.22572968565069)
((26.0, 34.0),239.35393302529363)
((46.0, 50.0),36.177117329137936)
((53.0, 23.0),59.202972045440525)
((58.0, 20.0),2.7133178583220285)
((17.0, 12.0),85.7619696728112)
((43.0, 26.0),163.5232908731545)
((34.0, 55.0),38.75159439103058)
((17.0, 26.0),168.59264778944612)
((30.0, 41.0),182.2211912429243)
((19.0, 51.0),57.20939108623117)
((16.0, 8.0),47.16464901514378)
((7.0, 39.0),52.49132118422647)
((16.0, 27.0),160.8214869671012)
((20.0, 54.0),33.79612762700649)
((52.0, 49.0),2.240195835132326)
((29.0, 0.0),7.656472044016738)
((9.0, 10.0),17.210160318375713)
((35.0, 20.0),193.8017713986702)
((36.0, 50.0),83.02026417296659)
((23.0, 21.0),193.66895276633988)
((36.0, 35.0),214.82224385513277)
((22.0, 32.0),217.78669029491897)
((44.0, 24.0),148.1180431458242)
((52.0, 24.0),71.33873317326103)
((45.0, 8.0),38.58001812199063)
((29.0, 15.0),157.55810322996433)
((49.0, 32.0),105.39974568904583)
((12.0, 44.0),69.1392516567073)
((46.0, 54.0),3.65138504544678)
((39.0, 10.0),86.60595975814715)
((17.0, 42.0),119.5897872240517)
((24.0, 31.0),239.929268493527)
((10.0, 15.0),56.69502800152966)
((41.0, 4.0),23.75464583833729)
((35.0, 6.0),61.86536333085602)
((26.0, 46.0),128.1340349759256)
