,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
0,7.43E-04,0.001053634,0.001105448,8.93E-04,7.70E-04,0.002123601,0.00225052,0.001695168,6.54E-04,8.42E-04,0.001441239,9.39E-04,8.26E-04,5.84E-04,6.57E-04,6.61E-04,0.003880083,0.001387007,0.001510089,0.001234808,6.97E-04,0.002020584,0.001313806,0.031184834,0.002621318,0.031878557,0.124588262,0.001700167,0.15432313,0.00204915,0.00315383,0.165523301,9.31E-04,0.001735755,0.001254785,0.15423079,0.002048077,0.001208824,7.71E-04,0.001592916,0.001301318,7.89E-04,6.91E-04,8.60E-04,0.001436253,0.001628967,4.77E-04,7.98E-04,0.280711088,0.001230845
1,2.01E-04,2.85E-04,2.99E-04,2.41E-04,2.08E-04,0.008865977,6.08E-04,0.09996161,1.77E-04,2.28E-04,3.90E-04,2.54E-04,2.23E-04,1.58E-04,1.78E-04,1.79E-04,0.001048819,3.75E-04,0.589136589,3.34E-04,1.88E-04,5.46E-04,3.55E-04,1.38E-04,7.09E-04,3.25E-04,5.09E-04,4.60E-04,2.55E-04,5.54E-04,8.53E-04,0.15253769,2.52E-04,4.69E-04,3.39E-04,2.30E-04,5.54E-04,3.27E-04,2.09E-04,4.31E-04,3.52E-04,2.13E-04,1.87E-04,2.32E-04,0.033556029,4.40E-04,1.29E-04,2.16E-04,0.100754431,3.33E-04
2,4.13E-04,5.86E-04,6.15E-04,4.97E-04,4.28E-04,0.001181372,0.001251977,9.43E-04,3.64E-04,4.68E-04,0.120257927,5.22E-04,4.59E-04,3.25E-04,3.65E-04,3.68E-04,0.002158512,7.72E-04,0.325078214,6.87E-04,0.017452707,0.001124062,7.31E-04,2.83E-04,0.01852342,0.051864554,0.001048499,9.46E-04,5.25E-04,0.001139954,0.018819659,0.109146721,5.18E-04,9.66E-04,6.98E-04,4.74E-04,0.001139357,6.72E-04,4.29E-04,8.86E-04,7.24E-04,4.39E-04,3.84E-04,4.78E-04,0.256776477,0.017971369,2.65E-04,4.44E-04,0.002574689,0.034815057
3,9.71E-05,0.064240456,1.44E-04,1.17E-04,1.01E-04,2.77E-04,2.94E-04,0.008234253,8.55E-05,1.10E-04,1.88E-04,1.23E-04,1.08E-04,7.63E-05,8.58E-05,8.63E-05,0.01653247,1.81E-04,1.97E-04,1.61E-04,9.10E-05,2.64E-04,1.72E-04,6.65E-05,3.42E-04,1.57E-04,0.032297581,0.476986963,1.23E-04,2.68E-04,4.12E-04,0.017611769,1.22E-04,2.27E-04,1.64E-04,0.068220471,2.67E-04,1.58E-04,1.01E-04,2.08E-04,0.092317799,1.03E-04,9.03E-05,1.12E-04,1.88E-04,2.13E-04,6.22E-05,0.028149171,0.108778017,0.080289311
4,1.06E-04,1.51E-04,1.58E-04,1.28E-04,1.10E-04,0.004697857,0.088196226,2.43E-04,9.37E-05,1.21E-04,2.06E-04,1.34E-04,1.18E-04,8.37E-05,9.41E-05,9.46E-05,0.04888638,1.99E-04,0.066121703,1.77E-04,9.98E-05,0.061801127,0.149573781,7.29E-05,3.75E-04,1.72E-04,2.70E-04,2.44E-04,1.35E-04,2.93E-04,4.52E-04,0.318085355,1.33E-04,0.24629549,1.80E-04,1.22E-04,2.93E-04,1.73E-04,1.10E-04,2.28E-04,1.86E-04,1.13E-04,9.90E-05,1.23E-04,2.06E-04,2.33E-04,6.83E-05,1.14E-04,0.009450283,1.76E-04
5,1.48E-04,2.10E-04,2.20E-04,1.78E-04,1.53E-04,4.23E-04,4.48E-04,3.38E-04,1.30E-04,1.68E-04,2.87E-04,1.87E-04,1.65E-04,1.16E-04,1.31E-04,1.32E-04,0.025223191,2.76E-04,3.01E-04,2.46E-04,1.39E-04,0.012627645,2.62E-04,1.01E-04,5.22E-04,2.40E-04,3.76E-04,3.39E-04,1.88E-04,0.23879622,0.006740946,0.112444997,1.86E-04,0.006458379,2.50E-04,1.70E-04,4.08E-04,2.41E-04,1.54E-04,3.17E-04,2.59E-04,0.311895338,0.275200659,1.71E-04,2.86E-04,3.25E-04,9.50E-05,1.59E-04,9.22E-04,2.45E-04
6,2.97E-04,4.21E-04,4.42E-04,3.57E-04,3.08E-04,8.48E-04,8.99E-04,6.77E-04,2.61E-04,3.36E-04,5.76E-04,0.024885172,3.30E-04,2.33E-04,2.62E-04,2.64E-04,0.0015501,5.54E-04,6.03E-04,0.09853384,2.78E-04,8.07E-04,5.25E-04,2.03E-04,0.28291375,4.80E-04,7.53E-04,0.17225015,3.77E-04,8.19E-04,0.381167021,0.004851515,3.72E-04,6.93E-04,0.012756355,3.40E-04,8.18E-04,4.83E-04,3.08E-04,6.36E-04,5.20E-04,3.15E-04,2.76E-04,3.44E-04,5.74E-04,6.51E-04,1.90E-04,3.19E-04,0.00184897,4.92E-04
7,6.33E-05,8.98E-05,9.42E-05,7.61E-05,6.56E-05,1.81E-04,0.081216554,1.44E-04,5.58E-05,7.17E-05,1.23E-04,8.00E-05,7.04E-05,0.318921566,5.60E-05,5.63E-05,0.010785411,1.18E-04,0.039334214,1.05E-04,5.94E-05,1.72E-04,1.12E-04,4.34E-05,2.23E-04,0.29545094,1.61E-04,1.45E-04,8.04E-05,1.75E-04,2.69E-04,0.116037651,7.94E-05,1.48E-04,1.07E-04,7.25E-05,0.005401911,0.0027167,6.57E-05,1.36E-04,1.11E-04,6.73E-05,5.89E-05,7.33E-05,1.22E-04,1.39E-04,4.06E-05,6.80E-05,0.029145076,0.096811893
8,5.43E-04,7.70E-04,8.08E-04,6.52E-04,5.63E-04,0.001552215,0.001644984,0.001239058,4.78E-04,6.15E-04,0.001053452,6.86E-04,6.04E-04,4.27E-04,4.80E-04,4.83E-04,0.002836088,0.001013812,0.001103777,9.03E-04,5.09E-04,0.001476915,9.60E-04,3.72E-04,0.001916014,8.79E-04,0.001377632,0.001242712,6.90E-04,0.001497796,0.002305245,0.008876413,6.81E-04,0.001268724,9.17E-04,6.22E-04,0.001497011,0.830500361,5.64E-04,0.113274695,9.51E-04,5.77E-04,5.05E-04,6.28E-04,0.001049808,0.001190669,3.48E-04,5.83E-04,0.003382907,9.00E-04
9,2.17E-04,0.009268436,3.23E-04,2.61E-04,2.25E-04,6.20E-04,0.027539379,4.95E-04,1.91E-04,2.46E-04,4.21E-04,2.74E-04,2.41E-04,0.233147824,1.92E-04,0.269012822,0.045936709,4.05E-04,4.41E-04,0.009321359,2.03E-04,0.108118165,3.84E-04,1.49E-04,7.66E-04,0.161643218,5.51E-04,4.97E-04,2.76E-04,0.018519895,9.21E-04,0.102114607,2.72E-04,5.07E-04,3.67E-04,2.49E-04,5.98E-04,3.53E-04,2.25E-04,4.65E-04,3.80E-04,2.31E-04,2.02E-04,2.51E-04,4.20E-04,4.76E-04,1.39E-04,2.33E-04,0.001351931,3.60E-04
